matrix_id,root_invariant,title,summary,source_issue_ids,release_target,status,severity,domain,secondary_domains,data_loss_risk,security_risk,determinism_risk,recovery_risk,affected_commands,affected_files,expected_invariant,planned_fix,required_regression_tests,required_ci_gates,acceptance_criteria,closure_proof,decision_rationale,notes
CK-110-M012,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Review dynamic SQL scanner findings,Groups 8 raw finding(s) from codacy under one remediation invariant.,CK-110-0013;CK-110-0014;CK-110-0040;CK-110-0185;CK-110-0666;CK-110-0987;CK-110-1052;CK-110-1243,v1.10.2,triaged,S1,security,,none,medium,none,none,,internal/observability/stats.go;internal/repository/capabilities/derive.go;internal/listing/search.go;internal/observability/inspect.go,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Centralize validation/security hardening and add invalid-input regression tests.,required: regression/adversarial/integration coverage before closure,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=8; sources=codacy
CK-110-M013,Explicit empty or whitespace-only filters must be rejected before query execution,Reject empty or whitespace-only filters,Groups 34 raw finding(s) from external-audit under one remediation invariant.,CK-110-1452;CK-110-1453;CK-110-1454;CK-110-1462;CK-110-1463;CK-110-1468;CK-110-1482;CK-110-1492;CK-110-1507;CK-110-1511;CK-110-1519;CK-110-1521;CK-110-1525;CK-110-1567;CK-110-1600;CK-110-1636;CK-110-1674;CK-110-1676;CK-110-1678;CK-110-1710;CK-110-1735;CK-110-1740;CK-110-1760;CK-110-1781;CK-110-1784;CK-110-1792;CK-110-1800;CK-110-1803;CK-110-1904;CK-110-1918;CK-110-1941;CK-110-1955;CK-110-1964;CK-110-1975,v1.10.2,triaged,S1,validation,,medium,none,medium,none,"search --path """";snapshot list --path """";remove --path """";search --name "" "";inspect file --limit 0;search --extension """";list --limit 0;repair ref-counts --batch --input """";snapshot create --id """";simulate gc --delete-snapshot """";snapshot list --limit 0;search --name """";runSnapshotCreateCommand;--id;snapshot create missing_dir/;.env.example;--codec=;--output=;snapshot show --limit 0;snapshot diff snap snap;store-folder;snapshot_file;graph.GetReachableChunks();json.Marshal",,Explicit empty or whitespace-only filters must be rejected before query execution,Centralize validation/security hardening and add invalid-input regression tests.,required: regression/adversarial/integration coverage before closure,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=34; sources=external-audit
CK-110-M014,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Review dynamic SQL scanner findings,Groups 2 raw finding(s) from codacy under one remediation invariant.,CK-110-0710;CK-110-1068,v1.10.4,triaged,S1,gc,,medium,medium,medium,none,,internal/maintenance/gc.go,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Align GC/refcount reachability and add dry-run/live-plan regression tests.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=2; sources=codacy
CK-110-M015,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Review dynamic filesystem path scanner findings,Groups 1 raw finding(s) from codacy under one remediation invariant.,CK-110-0939,v1.10.5,triaged,S1,restore,,medium,medium,medium,none,,internal/storage/restore.go,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Harden restore/recovery validation and add unsafe-mode regression tests.,required: regression/adversarial/integration coverage before closure,none,Restore/recovery mode-specific inputs are rejected safely and do not fall through to unintended behavior.,,,source_count=1; sources=codacy
CK-110-M016,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Groups 4 raw finding(s) from codacy under one remediation invariant.,CK-110-0334;CK-110-1047;CK-110-1220;CK-110-1360,v1.10.5,triaged,S1,restore,,medium,medium,medium,none,0600,internal/storage/restore.go,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Harden restore/recovery validation and add unsafe-mode regression tests.,required: regression/adversarial/integration coverage before closure,none,Restore/recovery mode-specific inputs are rejected safely and do not fall through to unintended behavior.,,,source_count=4; sources=codacy
CK-110-M017,Restore mode value flags must reject empty values before fallback behavior,Restore mode value flags must reject empty values before fallback behavior,Groups 10 raw finding(s) from external-audit under one remediation invariant.,CK-110-1502;CK-110-1503;CK-110-1629;CK-110-1675;CK-110-1681;CK-110-1682;CK-110-1701;CK-110-1749;CK-110-1836;CK-110-1988,v1.10.5,triaged,S1,restore,,medium,none,medium,medium,"remove --stored-path """" 123;restore --stored-path """" ...;NormalizeSnapshotPath();--mode=;original;restore --input """";remove --input """";snapshot restore snap missing_dir/;remove --stored-paths --input """";inspect block",,Restore mode value flags must reject empty values before fallback behavior,Harden restore/recovery validation and add unsafe-mode regression tests.,required: regression/adversarial/integration coverage before closure,none,Restore/recovery mode-specific inputs are rejected safely and do not fall through to unintended behavior.,,,source_count=10; sources=external-audit
CK-110-M018,Command execution findings must be reviewed for trusted executable and argument boundaries,Command execution findings must be reviewed for trusted executable and argument boundaries,Groups 2 raw finding(s) from codacy under one remediation invariant.,CK-110-0046;CK-110-1442,v1.10.6,triaged,S1,benchmark,,none,medium,none,none,,internal/benchmark/scenarios.go,Command execution findings must be reviewed for trusted executable and argument boundaries,Harden CI/tooling/benchmark validation and add script or release-gate checks.,required: regression/adversarial/integration coverage before closure,candidate,"Benchmark/script/CI inputs reject malformed, duplicate, mismatched, or non-finite data.",,,source_count=2; sources=codacy
CK-110-M019,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Review dynamic filesystem path scanner findings,Groups 4 raw finding(s) from codacy under one remediation invariant.,CK-110-0049;CK-110-0395;CK-110-0533;CK-110-0639,v1.10.6,triaged,S1,benchmark,,none,medium,none,none,,internal/benchmark/runner.go;internal/benchmark/corpus.go;internal/benchmark/corpus_registry.go,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Harden CI/tooling/benchmark validation and add script or release-gate checks.,required: regression/adversarial/integration coverage before closure,candidate,"Benchmark/script/CI inputs reject malformed, duplicate, mismatched, or non-finite data.",,,source_count=4; sources=codacy
CK-110-M020,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Groups 18 raw finding(s) from codacy under one remediation invariant.,CK-110-0096;CK-110-0338;CK-110-0344;CK-110-0448;CK-110-0479;CK-110-0551;CK-110-0684;CK-110-0688;CK-110-0739;CK-110-0764;CK-110-0883;CK-110-1015;CK-110-1053;CK-110-1073;CK-110-1081;CK-110-1201;CK-110-1307;CK-110-1331,v1.10.6,triaged,S1,benchmark,,none,medium,none,none,0600,internal/benchmark/dataset.go;internal/benchmark/corpus.go;internal/benchmark/runner.go;internal/benchmark/scenarios.go;internal/chunk/benchmark/runner.go,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Harden CI/tooling/benchmark validation and add script or release-gate checks.,required: regression/adversarial/integration coverage before closure,candidate,"Benchmark/script/CI inputs reject malformed, duplicate, mismatched, or non-finite data.",,,source_count=18; sources=codacy
CK-110-M021,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic use,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic u,Groups 4 raw finding(s) from codacy under one remediation invariant.,CK-110-0038;CK-110-0079;CK-110-0153;CK-110-1154,v1.10.6,triaged,S1,benchmark,,none,medium,none,none,math/rand;crypto/rand,internal/chunk/benchmark/datasets.go;internal/benchmark/dataset.go;internal/benchmark/corpus.go;internal/benchmark/scenarios.go,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic use,Harden CI/tooling/benchmark validation and add script or release-gate checks.,required: regression/adversarial/integration coverage before closure,candidate,"Benchmark/script/CI inputs reject malformed, duplicate, mismatched, or non-finite data.",,,source_count=4; sources=codacy
CK-110-M022,Codacy finding must be classified before enforcement,Codacy finding must be classified before enforcement,Groups 3 raw finding(s) from codacy under one remediation invariant.,CK-110-0187;CK-110-0330;CK-110-0432,v1.10.6,triaged,S1,ci,,none,medium,none,none,,.github/workflows/ci.yml,Codacy finding must be classified before enforcement,Harden CI/tooling/benchmark validation and add script or release-gate checks.,required: regression/adversarial/integration coverage before closure,candidate,"Benchmark/script/CI inputs reject malformed, duplicate, mismatched, or non-finite data.",,,source_count=3; sources=codacy
CK-110-M023,Command execution findings must be reviewed for trusted executable and argument boundaries,Command execution findings must be reviewed for trusted executable and argument boundaries,Groups 8 raw finding(s) from codacy under one remediation invariant.,CK-110-0171;CK-110-0326;CK-110-0568;CK-110-0726;CK-110-1089;CK-110-1221;CK-110-1405;CK-110-1418,v1.10.6,triaged,S1,codacy,,none,medium,none,none,,tests/utils/common.go;tests/adversarial/g6_concurrent_operations_adversarial_test.go;tests/adversarial/g10_g13_physical_graph_adversarial_test.go;tests/integration/v18_migration_compatibility_integration_test.go,Command execution findings must be reviewed for trusted executable and argument boundaries,Harden CI/tooling/benchmark validation and add script or release-gate checks.,required: regression/adversarial/integration coverage before closure,none,"Benchmark/script/CI inputs reject malformed, duplicate, mismatched, or non-finite data.",,,source_count=8; sources=codacy
CK-110-M024,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Review production complexity hotspots,Groups 13 raw finding(s) from codacy under one remediation invariant.,CK-110-0140;CK-110-0277;CK-110-0291;CK-110-0353;CK-110-0369;CK-110-0437;CK-110-0578;CK-110-0579;CK-110-0896;CK-110-1178;CK-110-1285;CK-110-1361;CK-110-1416,backlog,triaged,S2,migration,,none,none,none,none,,internal/db/migrations.go,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Track as non-blocking cleanup or policy decision.,recommended,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=13; sources=codacy
CK-110-M025,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Review production complexity hotspots,Groups 32 raw finding(s) from codacy under one remediation invariant.,CK-110-0008;CK-110-0016;CK-110-0030;CK-110-0039;CK-110-0170;CK-110-0207;CK-110-0288;CK-110-0332;CK-110-0351;CK-110-0415;CK-110-0428;CK-110-0489;CK-110-0552;CK-110-0560;CK-110-0643;CK-110-0786;CK-110-0801;CK-110-0848;CK-110-0858;CK-110-1002;CK-110-1012;CK-110-1034;CK-110-1064;CK-110-1130;CK-110-1134;CK-110-1214;CK-110-1222;CK-110-1229;CK-110-1257;CK-110-1261;CK-110-1310;CK-110-1368,backlog,triaged,S2,snapshot,,none,none,none,none,,internal/snapshot/snapshot.go;internal/snapshot/delete_lineage_preview.go;internal/snapshot/path_resolver.go;internal/cli/render/snapshot_diff.go;internal/cli/render/snapshot_delete.go;internal/cli/render/snapshot_list_show.go,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Track as non-blocking cleanup or policy decision.,recommended,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=32; sources=codacy
CK-110-M026,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Review production complexity hotspots,Groups 57 raw finding(s) from codacy under one remediation invariant.,CK-110-0020;CK-110-0047;CK-110-0068;CK-110-0087;CK-110-0091;CK-110-0144;CK-110-0156;CK-110-0191;CK-110-0200;CK-110-0245;CK-110-0294;CK-110-0297;CK-110-0321;CK-110-0412;CK-110-0433;CK-110-0470;CK-110-0512;CK-110-0525;CK-110-0527;CK-110-0561;CK-110-0601;CK-110-0645;CK-110-0650;CK-110-0680;CK-110-0683;CK-110-0700;CK-110-0706;CK-110-0757;CK-110-0791;CK-110-0825;CK-110-0828;CK-110-0839;CK-110-0874;CK-110-0879;CK-110-0885;CK-110-0954;CK-110-0968;CK-110-0983;CK-110-1030;CK-110-1094;CK-110-1105;CK-110-1118;CK-110-1167;CK-110-1173;CK-110-1181;CK-110-1246;CK-110-1254;CK-110-1266;CK-110-1280;CK-110-1289;CK-110-1336;CK-110-1345;CK-110-1393;CK-110-1404;CK-110-1428;CK-110-1434;CK-110-1440,backlog,triaged,S2,storage,,medium,none,medium,none,,internal/container/format.go;internal/container/local_writer.go;internal/storage/store.go;internal/chunk/simplecdc/chunker.go;internal/container/container.go;internal/storage/physical_file_repository.go;internal/storage/context.go;internal/storage/remove.go;internal/chunk/fastcdc/chunker.go,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Track as non-blocking cleanup or policy decision.,recommended,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=57; sources=codacy
CK-110-M027,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Review production complexity hotspots,Groups 52 raw finding(s) from codacy under one remediation invariant.,CK-110-0063;CK-110-0073;CK-110-0113;CK-110-0130;CK-110-0173;CK-110-0205;CK-110-0216;CK-110-0256;CK-110-0265;CK-110-0267;CK-110-0276;CK-110-0299;CK-110-0301;CK-110-0306;CK-110-0313;CK-110-0337;CK-110-0368;CK-110-0407;CK-110-0423;CK-110-0452;CK-110-0478;CK-110-0492;CK-110-0506;CK-110-0530;CK-110-0539;CK-110-0554;CK-110-0564;CK-110-0574;CK-110-0596;CK-110-0612;CK-110-0620;CK-110-0644;CK-110-0659;CK-110-0663;CK-110-0728;CK-110-0837;CK-110-0902;CK-110-0945;CK-110-1041;CK-110-1100;CK-110-1117;CK-110-1138;CK-110-1150;CK-110-1177;CK-110-1213;CK-110-1228;CK-110-1253;CK-110-1259;CK-110-1269;CK-110-1270;CK-110-1302;CK-110-1353,backlog,triaged,S2,verify,,medium,none,medium,none,,internal/verify/verify_repository.go;internal/verify/verify_file.go;internal/verify/verify_container.go;internal/verify/verify_metadata.go;internal/verify/verify_chunk.go;internal/verify/verify_physical.go;internal/verify/verify_block_pipeline.go;internal/verify/verify_failure.go;internal/verify/verify_system.go;internal/verify/verify_snapshot.go,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Track as non-blocking cleanup or policy decision.,recommended,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=52; sources=codacy
CK-110-M028,Boolean flags with explicit false must not be interpreted as true,Normalize explicit false boolean flag handling,Groups 7 raw finding(s) from external-audit under one remediation invariant.,CK-110-1470;CK-110-1471;CK-110-1513;CK-110-1514;CK-110-1576;CK-110-1591;CK-110-1592,v1.10.1,triaged,S2,cli,,none,none,medium,none,list --sort size --reverse=false;snapshot list --reverse=false;snapshot delete --force=false;snapshot delete --dry-run=false;parseCommandLine;=false,,Boolean flags with explicit false must not be interpreted as true,Centralize CLI/JSON contract validation and add command-level regression tests.,required: release-domain regression tests or documented rationale,none,Affected CLI/JSON cases fail safely or emit valid machine-consumable output; no state mutation on invalid input.,,,source_count=7; sources=external-audit
CK-110-M029,Commands must reject unexpected positional arguments before stateful work,Reject ignored extra positional arguments,Groups 15 raw finding(s) from external-audit under one remediation invariant.,CK-110-1444;CK-110-1445;CK-110-1446;CK-110-1447;CK-110-1448;CK-110-1449;CK-110-1451;CK-110-1484;CK-110-1485;CK-110-1486;CK-110-1516;CK-110-1517;CK-110-1549;CK-110-1663;CK-110-1683,v1.10.1,triaged,S2,cli,,none,none,medium,none,inspect repository extra;inspect snapshot <id> extra;verify system extra;verify file 123 fast extra;snapshot stats extra;simulate store file1 extra;repair ref-counts extra;init;version;help;simulate store;simulate gc;search;verify file;simulate store-folder dir extra,,Commands must reject unexpected positional arguments before stateful work,Centralize CLI/JSON contract validation and add command-level regression tests.,required: release-domain regression tests or documented rationale,none,Affected CLI/JSON cases fail safely or emit valid machine-consumable output; no state mutation on invalid input.,,,source_count=15; sources=external-audit
CK-110-M030,Singleton flags must reject duplicate occurrences instead of last-win behavior,Singleton flags must reject duplicate occurrences instead of last-win behavior,Groups 6 raw finding(s) from external-audit under one remediation invariant.,CK-110-1702;CK-110-1715;CK-110-1716;CK-110-1804;CK-110-1853;CK-110-1880,v1.10.1,triaged,S2,cli,,none,none,low,none,snapshot create;snapshot list;list/search --limit/--offset,,Singleton flags must reject duplicate occurrences instead of last-win behavior,Centralize CLI/JSON contract validation and add command-level regression tests.,required: release-domain regression tests or documented rationale,none,Affected CLI/JSON cases fail safely or emit valid machine-consumable output; no state mutation on invalid input.,,,source_count=6; sources=external-audit
CK-110-M031,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Review production complexity hotspots,Groups 1 raw finding(s) from codacy under one remediation invariant.,CK-110-1212,v1.10.2,triaged,S2,filesystem,,none,none,none,none,,internal/observability/inspect.go,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Centralize validation/security hardening and add invalid-input regression tests.,required: release-domain regression tests or documented rationale,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=1; sources=codacy
CK-110-M032,Snapshot tag input and filtering must use consistent normalization,Snapshot tag input and filtering must use consistent normalization,Groups 3 raw finding(s) from external-audit under one remediation invariant.,CK-110-1475;CK-110-1537;CK-110-1664,v1.10.2,triaged,S2,snapshot,,none,none,medium,none,"snapshot create --tag a,,b;snapshot create --tag """";snapshot create --tag "",""",,Snapshot tag input and filtering must use consistent normalization,Centralize validation/security hardening and add invalid-input regression tests.,required: release-domain regression tests or documented rationale,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=3; sources=external-audit
CK-110-M033,CLI validation must happen before repository initialization when possible,CLI validation must happen before repository initialization when possible,Groups 3 raw finding(s) from external-audit under one remediation invariant.,CK-110-1450;CK-110-1493;CK-110-1671,v1.10.2,triaged,S2,validation,,none,none,low,none,config get compression-level extra;repair ref-counts --batch --input missing.json;snapshot create --from missing --output json,,CLI validation must happen before repository initialization when possible,Centralize validation/security hardening and add invalid-input regression tests.,required: release-domain regression tests or documented rationale,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=3; sources=external-audit
CK-110-M034,Numeric inputs and metrics must reject zero/negative/NaN/Infinity values where invalid,Reject invalid numeric and non-finite values,Groups 27 raw finding(s) from external-audit under one remediation invariant.,CK-110-1515;CK-110-1526;CK-110-1534;CK-110-1540;CK-110-1541;CK-110-1551;CK-110-1557;CK-110-1572;CK-110-1579;CK-110-1669;CK-110-1670;CK-110-1705;CK-110-1706;CK-110-1764;CK-110-1783;CK-110-1791;CK-110-1832;CK-110-1842;CK-110-1900;CK-110-1903;CK-110-1909;CK-110-1910;CK-110-1911;CK-110-1925;CK-110-1929;CK-110-1953;CK-110-1956,v1.10.2,triaged,S2,validation,,none,none,medium,none,"inferOutputModeFromArgs();--;list/search/snapshot --limit "" 10 "";restore --workers -1;restore --limit 0;snapshot restore --limit 0;inspect --output json;version;outputSupportedCommands;snapshot delete --dry-run --output json;search --min-size -1;COLDKEEP_CONTAINER_MAX_SIZE_MB=0;COLDKEEP_CONTAINER_MAX_SIZE_MB;stats;storage_blocks.compression_ratio;(storage_block_id, chunk_id);BlockBuilder.Add();ChunkID;verify fast;physical.total_physical_files;list;search;json.Marshal;ReadPayloadAt()",,Numeric inputs and metrics must reject zero/negative/NaN/Infinity values where invalid,Centralize validation/security hardening and add invalid-input regression tests.,required: release-domain regression tests or documented rationale,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=27; sources=external-audit
CK-110-M035,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Review production complexity hotspots,Groups 3 raw finding(s) from codacy under one remediation invariant.,CK-110-0143;CK-110-0145;CK-110-0916,v1.10.3,triaged,S2,packed-storage,,medium,none,medium,none,,internal/storage/storage_block_reader.go,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,Align packed-storage behavior across affected observability/verify/storage paths.,recommended,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=3; sources=codacy
