ck_id,title,source,source_id,source_file,source_line,source_rule,source_category,source_subcategory,source_severity,source_tool,source_commit,release_target,status,severity,domain,root_invariant,matrix_id,duplicate_of,breaking_risk,data_loss_risk,security_risk,determinism_risk,recovery_risk,requires_regression_test,requires_ci_gate,production_code,test_code,docs_only,area,critical_path,owner,decision,decision_rationale,planned_fix,validation_command,closure_proof,notes
CK-110-0011,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,cce75e251cbeb1bf99ed1fdf95041e8c,tests/adversarial/v110_s0_chunk_reuse_bounds_stabilization_test.go,54,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,Security,FileAccess,High,Opengrep,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,triaged,S3,storage,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M052,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=if err := os.MkdirAll(pathsDir, 0o755); err != nil {; s0_s1_review=downgraded-s3"
CK-110-0012,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-58185: encoding/asn1: Parsing DER payload can cause memory,codacy,8231643c70a76bc5bb524637d42fe591,go.mod,3,Trivy_vulnerability_medium,Security,InsecureModulesLibraries,Warning,Trivy,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.2,triaged,S1,dependencies,Supported Go toolchain must not carry known unplanned CVEs,CK-110-M009,,none,none,medium,none,none,true,true,true,false,false,production,,,fix,"Will be remediated or resolved in v1.10.2 security hardening; v1.10.0 records baseline only. | Phase 12 S0/S1 review: Candidate remains critical for dependencies because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.",,,,bucket=dependency-cve; line_text=go 1.23; s0_s1_review=confirmed-s1
CK-110-0013,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,c675567500c4fe56ff480f07cffc09c,internal/observability/stats.go,418,Semgrep_go_sql_rule-concat-sqli,Security,SQLInjection,Error,Opengrep,bc3e57ca58518f4aa470351716ec12be5c1ecae9,v1.10.2,triaged,S1,security,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,CK-110-M012,,none,none,medium,none,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate remains critical for security because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.",,,,"bucket=production-security-candidate; line_text=if err := s.db.QueryRowContext(ctx, query, args...).Scan(&chunkCount, &totalBytes); err != nil {; s0_s1_review=confirmed-s1"
CK-110-0014,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,6f4f167876fcd0e57400d42ffe940ad5,internal/repository/capabilities/derive.go,340,Semgrep_go_sql_rule-concat-sqli,Security,SQLInjection,Error,Opengrep,dfd535beeebf18e2fb85ff8f275695174f7348dc,v1.10.2,triaged,S1,security,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,CK-110-M012,,none,none,medium,none,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate remains critical for security because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.",,,,"bucket=production-security-candidate; line_text=rows, err := dbconn.QueryContext(ctx, fmt.Sprintf(""PRAGMA table_info(%s)"", tableName)); s0_s1_review=confirmed-s1"
CK-110-0015,Expected: 1; Actual: 0; Below,codacy,3c66e8f7f9c1a3c78d4dc8bbc3671502,docs/STEP64_METRICS_VALIDATION.md,29,markdownlint_MD022,CodeStyle,,Info,markdownlint,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,triaged,S4,docs,Documentation style findings must be classified without blocking correctness releases,CK-110-M072,,none,none,none,none,none,false,false,false,false,true,docs,,,investigate,,,,,bucket=docs-style; line_text=#### 3. CPU Metrics (3 metrics)
CK-110-0016,Method LoadDeleteLineagePreview has 60 lines of code (limit is 50),codacy,8ece105298ae1a5e70de38c5897e27a,internal/snapshot/delete_lineage_preview.go,23,Lizard_nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,triaged,S2,snapshot,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M025,,none,none,none,none,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",,,,"bucket=production-complexity-hotspot; line_text=func LoadDeleteLineagePreview(ctx context.Context, dbconn *sql.DB, snapshotID string) (*DeleteLineagePreview, error) {; s0_s1_review=downgraded-s2"
CK-110-0017,The application was found setting file permissions to overly permissive values.,codacy,d438e412f06e1d2b5451fca2db111a3e,tests/adversarial/g1_deterministic_restore_adversarial_test.go,131,Semgrep_go_file-permissions_rule-fileperm,Security,FileAccess,High,Opengrep,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.5,triaged,S3,restore,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M067,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=if err := os.WriteFile(p, b, 0o644); err != nil {; s0_s1_review=downgraded-s3"
CK-110-0018,String-formatted SQL query detected.,codacy,b2dd6909c2a87103b8d03b3a0ca81967,internal/observability/inspect_test.go,1017,Semgrep_go.lang.security.audit.database.string-formatted-query.string-formatted-query,Security,SQLInjection,Error,Opengrep,fecf6cd2381725cc4884afebca2323934ee28d94,v1.10.2,triaged,S3,security,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M059,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,bucket=test-security-noise; line_text=if err := dbconn.QueryRow(`SELECT COUNT(*) FROM ` + table).Scan(&c); err != nil {; s0_s1_review=downgraded-s3
CK-110-0019,Do not use `math/rand`. Use `crypto/rand` instead.,codacy,ed12003ca7dde7f5c9a4aee261cdd9d4,tests/adversarial/g611_adversarial_compression_longrun_test.go,9,Semgrep_go.lang.security.audit.crypto.math_random.math-random-used,Security,Cryptography,Error,Opengrep,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.6,triaged,S3,codacy,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M071,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,"bucket=test-security-noise; line_text=""math/rand"""
CK-110-0020,Method readAndValidateContainerHeader has a cyclomatic complexity of 10 (limit is 8),codacy,7dea50d66f9721ef0d9be504fc7fa1e9,internal/container/format.go,111,Lizard_ccn-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,triaged,S2,storage,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M026,,none,medium,none,medium,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",,,,"bucket=production-complexity-hotspot; line_text=func readAndValidateContainerHeader(f *os.File) (Header, error) {; s0_s1_review=downgraded-s2"
CK-110-0021,The application was found setting file permissions to overly permissive values.,codacy,78871f84811273d6944a19ed53a44601,internal/storage/phase1_compat_matrix_test.go,535,Semgrep_go_file-permissions_rule-fileperm,Security,FileAccess,High,Opengrep,685c72e624fd873ed17ce60c7884b8e1cb949855,backlog,triaged,S3,storage,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M052,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=if err := os.WriteFile(inputPath, data, 0o644); err != nil {; s0_s1_review=downgraded-s3"
CK-110-0022,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,2d5018fe305ce1c1d054f6afad1e3ff3,internal/benchmark/determinism_test.go,42,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,Security,FileAccess,High,Opengrep,ca56c48f078792eb9b7bd2af01af21fee9325194,v1.10.6,triaged,S3,benchmark,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M069,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,"bucket=test-security-noise; line_text=if err := os.MkdirAll(sub, 0o755); err != nil {"
CK-110-0023,The application dynamically constructs file or path information.,codacy,22abb432263d0fc7476f9f66b7d5702,internal/iodebug/counters_test.go,68,Semgrep_go_filesystem_rule-fileread,Security,FileAccess,Error,Opengrep,6ef1342a74bb186bf6638326bf3cf4de94a96086,v1.10.2,triaged,S3,filesystem,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M057,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=raw, err := os.ReadFile(outPath); s0_s1_review=downgraded-s3"
CK-110-0024,Method TestStandardCorpora has a cyclomatic complexity of 21 (limit is 8),codacy,8a10962f97f53c738c4819fea6eab0fd,internal/benchmark/corpus_test.go,12,Lizard_ccn-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.6,triaged,S3,benchmark,Test complexity findings must be reviewed without weakening invariant coverage,CK-110-M068,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,bucket=test-complexity-hotspot; line_text=func TestStandardCorpora(t *testing.T) {
CK-110-0025,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,5ad3b80238bcca64aed16903b2fe9fcb,tests/adversarial/g4_non_destructive_gc_adversarial_test.go,206,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,Security,FileAccess,High,Opengrep,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.4,triaged,S3,gc,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M063,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=if err := os.MkdirAll(restoreDir, 0o755); err != nil {; s0_s1_review=downgraded-s3"
CK-110-0026,Lists should be surrounded by blank lines,codacy,fb94ef4d9ae2c699acc5ad90a188bc72,docs/BENCHMARK_METRICS.md,324,markdownlint_MD032,CodeStyle,,Info,markdownlint,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,triaged,S4,docs,Documentation style findings must be classified without blocking correctness releases,CK-110-M072,,none,none,none,none,none,false,false,false,false,true,docs,,,investigate,,,,,bucket=docs-style; line_text=- ✅ `TestMetricsStableAcrossMultipleRuns`: deterministic for fixed workloads
CK-110-0027,Method initCommand has 96 lines of code (limit is 50),codacy,ca9ef479b4323eeea16af2f7b84e6414,cmd/coldkeep/init.go,14,Lizard_nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.6,triaged,S2,codacy,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M044,,none,none,none,none,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",,,,"bucket=production-complexity-hotspot; line_text=func initCommand(parsed parsedCommandLine, outputMode cliOutputMode) error {; s0_s1_review=downgraded-s2"
CK-110-0028,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,c85ebf63a512ea8e1729af06f7645230,internal/observability/service_test.go,257,Semgrep_go_sql_rule-concat-sqli,Security,SQLInjection,Error,Opengrep,88f5505f7fd132877670813290f50292f649f103,v1.10.2,triaged,S3,security,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M059,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=if _, err := dbconn.Exec(`INSERT INTO physical_file (path, logical_file_id) VALUES (?, ?)`, ""/broken.txt"", fileID); err != nil {; s0_s1_review=downgraded-s3"
CK-110-0029,File internal/storage/restore.go has 976 non-comment lines of code,codacy,2167b1e40a040b9b074eeee6ac3a296f,internal/storage/restore.go,1,Lizard_file-nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.5,triaged,S1,restore,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M038,,none,medium,none,medium,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.",,,,bucket=production-complexity-hotspot; line_text=package storage; s0_s1_review=confirmed-s1
CK-110-0030,Method ListSnapshots has a cyclomatic complexity of 13 (limit is 8),codacy,25084fdec8d5a4c64c7e6bdecba8f866,internal/snapshot/snapshot.go,465,Lizard_ccn-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,triaged,S2,snapshot,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M025,,none,none,none,none,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",,,,"bucket=production-complexity-hotspot; line_text=func ListSnapshots(ctx context.Context, db *sql.DB, filter SnapshotListFilter) ([]Snapshot, error) {; s0_s1_review=downgraded-s2"
CK-110-0031,Method TestStorageBlockReaderCompressedHashMismatchEncryptedBeforeDecompress has a cyclomatic complexity of 10,codacy,8f1d2a813ade071eca5df8bac0b1b44c,internal/storage/storage_block_reader_test.go,600,Lizard_ccn-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.3,deferred,S3,packed-storage,Test complexity findings must be reviewed without weakening invariant coverage,CK-110-M060,,none,none,none,none,none,false,false,false,true,false,test,,,deferred,Test complexity hotspot deferred; structural refactoring out of scope for v1.10.3 fixes-only release.,,,Inherited from CK-110-M060: 14 test-complexity findings deferred; structural refactoring of test helpers excluded from v1.10.3 fixes-only scope; retained in backlog for post-integrity-hardening review.,bucket=test-complexity-hotspot; line_text=func TestStorageBlockReaderCompressedHashMismatchEncryptedBeforeDecompress(t *testing.T) {; s0_s1_review=downgraded-s3
CK-110-0032,Method restoreFileWithDBAndDir has a cyclomatic complexity of 70 (limit is 8),codacy,b9b115577570f34041161539768476b6,internal/storage/restore.go,890,Lizard_ccn-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.5,triaged,S1,restore,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M038,,none,medium,none,medium,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.",,,,"bucket=production-complexity-hotspot; line_text=func restoreFileWithDBAndDir(dbconn *sql.DB, fileID int64, outputPath string, containersDir string, opts RestoreOptions) (result RestoreFileResult, err error) {; s0_s1_review=confirmed-s1"
CK-110-0033,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,f884e15e1e8cc7c51f01ba472f49bde0,internal/db/migrations_test.go,1709,Semgrep_go_sql_rule-concat-sqli,Security,SQLInjection,Error,Opengrep,7f694cbfbd19c4d06fe733d66e595b149e59901a,backlog,triaged,S3,migration,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M048,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,bucket=test-security-noise; line_text=if err := dbconn.QueryRow(`SELECT COUNT(*) FROM snapshot_file`).Scan(&preRowCount); err != nil {; s0_s1_review=downgraded-s3
CK-110-0034,Method TestFeatureGatedCompressionSwitchDoesNotMigrateExistingBlocksStep513 has 69 lines of code (limit is 50),codacy,a39838f3d5b5d2e997611b579867bed7,internal/storage/store_compression_feature_gate_test.go,729,Lizard_nloc-medium,Complexity,,Warning,Lizard,adf50eefea0cf97c7db048c6124838dd429cf49b,backlog,triaged,S3,storage,Test complexity findings must be reviewed without weakening invariant coverage,CK-110-M051,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,bucket=test-complexity-hotspot; line_text=func TestFeatureGatedCompressionSwitchDoesNotMigrateExistingBlocksStep513(t *testing.T) {; s0_s1_review=downgraded-s3
CK-110-0035,Method inspectLogicalFile has a cyclomatic complexity of 11 (limit is 8),codacy,da557d8a1421b2acf06ae282a5581593,internal/observability/inspect.go,252,Lizard_ccn-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.6,triaged,S2,codacy,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-M044,,none,none,none,none,none,true,false,true,false,false,production,,,investigate,"Phase 12 S0/S1 review: Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",,,,"bucket=production-complexity-hotspot; line_text=func (s *Service) inspectLogicalFile(ctx context.Context, id string, opts InspectOptions) (*InspectResult, error) {; s0_s1_review=downgraded-s2"
CK-110-0036,Method TestSimulateGCMatchesActualGCDeletion has 91 lines of code (limit is 50),codacy,ca9c67634c4381f7b67e058193b22a6c,internal/maintenance/gc_parity_test.go,58,Lizard_nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.4,triaged,S3,gc,Test complexity findings must be reviewed without weakening invariant coverage,CK-110-M062,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,bucket=test-complexity-hotspot; line_text=func TestSimulateGCMatchesActualGCDeletion(t *testing.T) {; s0_s1_review=downgraded-s3
CK-110-0037,The application was found setting file permissions to overly permissive values.,codacy,3af5a794bb2a6e04a0a48c5b6ba39dfb,internal/maintenance/gc_parity_test.go,80,Semgrep_go_file-permissions_rule-fileperm,Security,FileAccess,High,Opengrep,5203403c366c34daedb23d0c4ef345f787d6188b,v1.10.4,triaged,S3,gc,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-M063,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,Phase 12 S0/S1 review: Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,,,,"bucket=test-security-noise; line_text=if err := os.WriteFile(containerPath, payload, 0o644); err != nil {; s0_s1_review=downgraded-s3"
CK-110-0038,Do not use `math/rand`. Use `crypto/rand` instead.,codacy,c1c1f7be40c9e1168fb744b0759c5ba3,internal/chunk/benchmark/datasets.go,7,Semgrep_go.lang.security.audit.crypto.math_random.math-random-used,Security,Cryptography,Error,Opengrep,d4f70178ac46b844b29f82028bdd49c417bb1197,v1.10.6,triaged,S1,benchmark,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic use,CK-110-M021,,none,none,medium,none,none,false,false,false,true,false,benchmark,,,investigate,"Phase 12 S0/S1 review: Candidate remains critical for benchmark because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.",,,,"bucket=production-security-candidate; line_text=""math/rand""; s0_s1_review=confirmed-s1"
