id,invariant,current_owner_type,current_owner_files,current_owner_symbols,ownership_risk,future_owner_candidate,related_operation_candidates,related_phase2_refs,related_phase3_refs,migration_rule,summary,evidence,notes
INV-11012-011,integrity_verification,verify,"internal/verify/verify_repository.go","VerifyRepository; verifyBlockPayloads",critical,engine_operation,"OPC-11012-013; OPC-11012-014","CLI-BC-11012-021","DBFS-11012-016; DBFS-11012-017; DBFS-11012-018",preserve_fail_closed_behavior,"Verify must report all errors and must not partially succeed; GC must not run while verify finds failures","Phase 3 DBFS-11012-016,-017,-018 (verify DB reads); Phase 4 OPC-11012-014 error boundary: fail-closed invariant; exit code 3",Inventory only; fail-closed is non-negotiable
INV-11012-012,integrity_verification,verify,"internal/verify/verify_repository.go","VerifyRepository; verifyBlockPayloads; FilesystemContainerReader",high,engine_operation,"OPC-11012-013; OPC-11012-014","CLI-BC-11012-021","DBFS-11012-017; DBFS-11012-039",preserve_fail_closed_behavior,"Chunk hash verification must check every chunk in declared order; ordering mismatch constitutes silent corruption","Phase 3 DBFS-11012-017 (block payload verification); DBFS-11012-039 (FilesystemContainerReader reads)",Inventory only; no behavior change
INV-11012-013,packed_legacy_parity,verify,"internal/verify/verify_repository.go; internal/maintenance/gc.go","VerifyRepository; LoadLivePackedBlockIDs; LoadLiveLegacyContainerIDs",high,engine_operation,"OPC-11012-014","CLI-BC-11012-021","DBFS-11012-004; DBFS-11012-005; DBFS-11012-016",preserve_current_ordering,"Packed and legacy storage formats must be treated equivalently in both verification and GC reachability; format-specific code paths must remain in parity","Phase 3 DBFS-11012-004 (packed block IDs); DBFS-11012-005 (legacy container IDs); DBFS-11012-016 (verify covers both)",Inventory only; no behavior change
INV-11012-014,data_safety,storage,"internal/container/local_writer.go; internal/storage/store.go","AppendPayload; StoreFileWithStorageContextAndCodecResultWithPolicy; FinalizeContainer",critical,engine_operation,"OPC-11012-001; OPC-11012-002","CLI-BC-11012-005; CLI-BC-11012-007","DBFS-11012-009; DBFS-11012-025; DBFS-11012-034",wrap_first,"Block writes must be fsync'd before DB commit; container finalization must complete before next append; partial writes must not create valid-looking catalog rows","Phase 3 critical DBFS-11012-025 (AppendPayload fsync); DBFS-11012-034 (FinalizeContainer sync+close+DB update); DBFS-11012-009 (store pipeline)",Inventory only; write durability chain must be preserved
INV-11012-015,data_safety,container,"internal/container/local_writer.go; internal/verify/verify_repository.go","AppendPayload; FinalizeContainer; verifyBlockPayloads",critical,engine_operation,"OPC-11012-001; OPC-11012-014","CLI-BC-11012-005","DBFS-11012-025; DBFS-11012-034; DBFS-11012-039",wrap_first,"Container payload written during store must match what verify reads back; hash written at store time is the ground truth for verify","Phase 3 DBFS-11012-025 (write); DBFS-11012-034 (finalize); DBFS-11012-039 (verify read)",Inventory only; write/verify payload chain integrity
INV-11012-016,catalog_consistency,maintenance,"internal/maintenance/repair_refcounts.go","RepairLogicalRefCountsResultWithDB",high,catalog_contract,"OPC-11012-015","CLI-BC-11012-015","DBFS-11012-023; DBFS-11012-037",catalog_before_engine_split,"Ref-count repair must be atomic per repair target; no intermediate inconsistent catalog state; dry-run must not apply changes","Phase 3 DBFS-11012-023,-037 (repair transaction scope); Phase 4 OPC-11012-015 error boundary notes",Inventory only; no behavior change
INV-11012-017,crash_recovery,recovery,"internal/recovery/system_recovery.go","SystemRecoveryWithContainersDir; quarantineMissingContainers; quarantineOrphanContainers",critical,storage_context,"OPC-11012-016","CLI-BC-11012-042; CLI-BC-11012-043","DBFS-11012-019; DBFS-11012-020; DBFS-11012-021; DBFS-11012-027",preserve_fail_closed_behavior,"Recovery quarantine must be fail-closed; stat() error must abort recovery not skip; corrupt mappings must not be legitimized","Phase 3 critical DBFS-11012-019,-020,-021 (quarantine writes); DBFS-11012-027 (filesystem stat checks)",Inventory only; must not legitimize corrupt mappings
INV-11012-018,crash_recovery,recovery,"internal/recovery/system_recovery.go; internal/storage/context.go","SystemRecoveryWithContainersDir; OpenLocalStorage; loadDefaultStorageContextPhase",critical,storage_context,"OPC-11012-016; OPC-11012-031","CLI-BC-11012-042; CLI-BC-11012-006","DBFS-11012-019; DBFS-11012-031; DBFS-11012-030",preserve_current_ordering,"Recovery gate must always run before any DB write by other operations; OpenLocalStorage enforces this sequencing; the ordering is the invariant","Phase 3 DBFS-11012-031 (OpenLocalStorage bundles recovery+context); DBFS-11012-030 (LoadDefaultStorageContext pre-recovery alternative)",Inventory only; sequencing is the invariant
INV-11012-019,catalog_consistency,db,"internal/snapshot/snapshot.go; internal/maintenance/gc.go; internal/maintenance/repair_refcounts.go; internal/storage/store.go","BeginTx; Commit; Rollback across all mutating operations",critical,catalog_contract,"OPC-11012-005; OPC-11012-012; OPC-11012-015; OPC-11012-001","CLI-BC-11012-030; CLI-BC-11012-016; CLI-BC-11012-015","DBFS-11012-010; DBFS-11012-035; DBFS-11012-036; DBFS-11012-037",catalog_before_engine_split,"All mutating operations use BeginTx/Commit/Rollback; catalog contract layer must own transaction scope before engine split","Phase 3 critical DBFS-11012-010,-035,-036,-037 (transaction scopes for snapshot, GC, repair, store)",Inventory only; no behavior change
INV-11012-020,repository_lifecycle,db,"internal/db/db.go; internal/storage/context.go","ConnectDB; EnsureSchema; OpenLocalStorage; LoadDefaultStorageContext",high,storage_context,"OPC-11012-030; OPC-11012-031","CLI-BC-11012-001; CLI-BC-11012-006","DBFS-11012-001; DBFS-11012-030; DBFS-11012-031",preserve_current_ordering,"Schema migration must complete before any operations; bootstrap sequence (ConnectDB + schema + recovery) must remain ordered","Phase 3 DBFS-11012-001 (ConnectDB with schema init); DBFS-11012-030,-031 (context construction order)",Inventory only; no behavior change
INV-11012-021,sqlite_postgres_compatibility,db,"internal/db/db.go; db/schema_sqlite.sql; db/schema_postgres.sql","ConnectDB; EnsurePostgresSchema; EnsureSQLiteSchema",high,keep_current_until_v1.12,"OPC-11012-030; OPC-11012-031","CLI-BC-11012-001","DBFS-11012-001",preserve_current_ordering,"SQLite and PostgreSQL schema migrations must remain in parity; any catalog boundary work must not introduce SQLite-only assumptions","Phase 3 DBFS-11012-001 (dual schema paths in ConnectDB); dual schema files db/schema_sqlite.sql and db/schema_postgres.sql",Inventory only; PostgreSQL compatibility must not be removed
INV-11012-022,catalog_consistency,maintenance,"internal/maintenance/stats.go; internal/observability","RunStatsResultWithDB",medium,engine_query,"OPC-11012-018; OPC-11012-019; OPC-11012-020","CLI-BC-11012-017; CLI-BC-11012-018","DBFS-11012-022",preserve_current_ordering,"Stats and inspect output must truthfully reflect current catalog state; output shape must be stable for scripting consumers","Phase 3 DBFS-11012-022 (stats read-only aggregation); Phase 4 OPC-11012-018,-019,-020 output shape notes",Inventory only; no behavior change
INV-11012-023,catalog_consistency,repository,"internal/listing","SearchFiles; ListFiles",medium,engine_query,"OPC-11012-021; OPC-11012-022","CLI-BC-11012-019; CLI-BC-11012-020","DBFS-11012-001",preserve_current_ordering,"List and search results must be deterministically ordered; pagination must not skip or duplicate rows; MaxPaginationLimit must be enforced","Phase 4 OPC-11012-021,-022 error boundary notes: deterministic ordering; pagination correctness",Inventory only; no behavior change
INV-11012-024,data_safety,cli,"cmd/coldkeep/main.go; internal/storage","runRemoveCommand; physical_file and logical_file delete sequence",high,engine_operation,"OPC-11012-023","CLI-BC-11012-013; CLI-BC-11012-014","DBFS-11012-011",wrap_first,"Physical file record must be checked before logical file delete; dry-run must show would-delete without mutation; force required for batch delete","Phase 4 OPC-11012-023 error boundary notes; Phase 3 DBFS-11012-011 (snapshot delete metadata pattern)",Inventory only; no behavior change
INV-11012-025,json_stability,cli,"cmd/coldkeep/main.go","resolveOutputMode; printCLIError; JSON envelope shape",high,json_contract,"OPC-11012-032","CLI-BC-11012-040; CLI-BC-11012-044; CLI-BC-11012-045","DBFS-11012-040",preserve_json_shape,"JSON error envelope shape (invariant_code; recommended_action; dbHint; verifyDetails) is frozen and must not drift during engine extraction","Phase 4 OPC-11012-032 (frozen JSON contract); Phase 2 CLI-BC-11012-040,-044,-045 (JSON output coupling)",Inventory only; frozen contract
INV-11012-026,json_stability,cli,"cmd/coldkeep/main.go","exit code dispatch; runVerifyCommand; runDoctorCommand; runStartupRecoveryWithOptionalLogBuffering",high,json_contract,"OPC-11012-014; OPC-11012-016; OPC-11012-017; OPC-11012-032","CLI-BC-11012-044; CLI-BC-11012-045","DBFS-11012-040",preserve_cli_exit_semantics,"Exit codes 1 (general), 2 (usage), 3 (verify failure), 4 (recovery failure) must not change; automation scripts depend on exact values","Phase 4 OPC-11012-032 error boundary notes: exit codes 1/2/3/4 must not change",Inventory only; exit codes are frozen automation contract
INV-11012-027,repository_lifecycle,cli,"cmd/coldkeep/main.go","runListCommand; runSearchCommand; runRemoveCommand; flag validation hooks",medium,cli_boundary,"OPC-11012-021; OPC-11012-022; OPC-11012-023","CLI-BC-11012-019; CLI-BC-11012-020; CLI-BC-11012-013","DBFS-11012-001",keep_in_cli,"Numeric flags (limit/offset/workers/min_size/max_size) must be validated before any DB access; validation must remain at CLI boundary even after engine extraction","Phase 4 OPC-11012-021,-022 error boundary notes: MaxPaginationLimit enforced; numeric flags validated before DB query",Inventory only; validation-before-mutation stays in CLI boundary
INV-11012-028,repository_lifecycle,config,"cmd/coldkeep/main.go; internal/storage/repository.go","runConfigCommand; SetDefaultCompression; GetDefaultCompression",medium,cli_boundary,"OPC-11012-024; OPC-11012-025","CLI-BC-11012-003; CLI-BC-11012-004","DBFS-11012-030",keep_in_cli,"Config get must not mutate DB; config set must validate key and value before commit; no partial config state","Phase 4 OPC-11012-024,-025 error boundary notes; Phase 3 DBFS-11012-030 (config access)",Inventory only; keep_cli_owned for now
INV-11012-029,repository_lifecycle,benchmark,"cmd/coldkeep/main.go; internal/benchmark","runBenchmarkRunCommand; runRestoreDeterminismCheck",medium,daemon_future,"OPC-11012-026; OPC-11012-027","CLI-BC-11012-026; CLI-BC-11012-027; CLI-BC-11012-028","DBFS-11012-001",defer_until_daemon,"Benchmark must use temporary database dropped on completion or failure; determinism check must reproduce exact tree hash via subprocess store+restore","Phase 4 OPC-11012-026,-027 error boundary notes; temporary DB lifetime safety",Inventory only; defer until catalog facade
INV-11012-030,data_safety,cli,"cmd/coldkeep/main.go; internal/storage/context.go","runSimulateCommand; ParseStorageContext(simulated)",medium,daemon_future,"OPC-11012-028; OPC-11012-029","CLI-BC-11012-029","DBFS-11012-032",defer_until_daemon,"Simulation mode must use ParseStorageContext(simulated) not production DB; must not write any persistent state or acquire advisory lock","Phase 4 OPC-11012-028,-029 error boundary notes; ParseStorageContext simulated mode flag",Inventory only; no mutation permitted in simulation
INV-11012-031,filesystem_failure_safety,storage,"internal/fsx/osfs.go; internal/container/local_writer.go; internal/storage/restore.go","OSFS interface; AppendPayload; restoreFileWithDBAndDir; FinalizeContainer",medium,filesystem_boundary,"OPC-11012-003; OPC-11012-012; OPC-11012-001","CLI-BC-11012-005; CLI-BC-11012-009; CLI-BC-11012-016","DBFS-11012-028; DBFS-11012-024; DBFS-11012-025; DBFS-11012-026",filesystem_boundary_before_move,"All filesystem operations route through fsx.OSFS interface enabling fault injection; this seam must not be bypassed during engine boundary moves","Phase 3 DBFS-11012-028 (OSFS abstraction seam); filesystem_boundary_candidate rows DBFS-11012-024,-025,-026",Inventory only; OSFS seam must be preserved for testability and failure-mode coverage
