id,assumption_name,assumption_category,backend_scope,risk_level,current_owner_files,current_owner_symbols,future_action,migration_rule_ref,summary,evidence,notes
DBA-11012-011,run_migrations_sqlite_only_path_must_not_be_removed,schema_migration,sqlite_only,high,"internal/db/migrations.go","RunMigrations; incremental SQLite migration path",requires_dual_backend_test,do_not_introduce_sqlite_only_behavior,"RunMigrations handles incremental SQLite schema upgrades; it must not be removed under any catalog facade refactor","internal/db/migrations.go RunMigrations() is the primary SQLite incremental migration path; tests cover this path","Removing this would break SQLite upgrade paths for existing repos"
DBA-11012-012,postgres_schema_migration_must_not_be_removed,schema_migration,postgres_only,high,"internal/db/migrations.go; db/schema_postgres.sql","EnsurePostgresSchema; schema_postgres.sql",requires_postgres_compat_gate,do_not_remove_postgres_paths,"PostgreSQL schema migration from schema_postgres.sql must remain; v1.10.12 must not remove stub or skip PostgreSQL migrations","db/schema_postgres.sql is embedded via db/embed.go and applied by EnsurePostgresSchema(); CI integration tests verify this","Phase 6 MIG-11012-031 release blocker"
DBA-11012-013,sqlite_boolean_as_integer_dialect_difference,sql_dialect,sqlite_only,high,"db/schema_sqlite.sql","INTEGER for BOOLEAN; 0/1 encoding",requires_dual_backend_test,do_not_introduce_sqlite_only_behavior,"SQLite has no native BOOLEAN type; schema uses INTEGER (0/1); queries must handle this encoding; future facades must not assume native BOOLEAN","db/schema_sqlite.sql uses INTEGER where db/schema_postgres.sql uses BOOLEAN; behavior must remain equivalent","Any catalog facade must preserve this encoding difference"
DBA-11012-014,postgres_bigserial_timestamptz_bytea_types,sql_dialect,postgres_only,high,"db/schema_postgres.sql","BIGSERIAL; TIMESTAMPTZ; BYTEA; set_updated_at trigger",requires_dual_backend_test,preserve_sqlite_postgres_compatibility,"PostgreSQL uses BIGSERIAL (vs AUTOINCREMENT) TIMESTAMPTZ (vs DATETIME) BYTEA (vs BLOB) and set_updated_at() triggers; SQLite does not","db/schema_postgres.sql defines BIGSERIAL primary keys, TIMESTAMPTZ columns, BYTEA for block_hash/nonce/compressed_hash, and set_updated_at triggers","Facade must not conflate type semantics"
DBA-11012-015,postgres_returning_clause_not_available_in_sqlite,sql_dialect,postgres_only,high,"db/schema_postgres.sql; internal/db/migrations.go","RETURNING clauses in migrations",document_before_v1.11,preserve_sqlite_postgres_compatibility,"PostgreSQL migrations use RETURNING for generated IDs; SQLite does not support RETURNING; any new query must respect this difference","db/schema_postgres.sql migration scripts use RETURNING; SQLite migrations cannot use RETURNING","New queries or catalog operations must branch on backend capability"
DBA-11012-016,sqlite_pragma_journal_mode_and_busy_timeout,sql_dialect,sqlite_only,medium,"internal/db/db.go","PRAGMA journal_mode; PRAGMA busy_timeout; SQLite-specific connection config",document_before_v1.11,do_not_introduce_sqlite_only_behavior,"PRAGMA statements (journal_mode busy_timeout) are SQLite-specific; must not be applied to PostgreSQL connections; any facade must preserve this branch","internal/db/db.go applies PRAGMA busy_timeout on SQLite connections only","Future SQLite-first work may expand PRAGMA usage but must not leak to PostgreSQL"
DBA-11012-017,placeholder_syntax_differs_by_backend,placeholder_binding,dual_backend,medium,"internal/db/db.go; internal/db/migrations.go","? for SQLite; $1/$2/... for PostgreSQL",requires_dual_backend_test,preserve_sqlite_postgres_compatibility,"SQLite uses ? positional placeholders; PostgreSQL uses $1/$2/... numbered placeholders; queries must use the correct form per backend","Both schemas and Go query code use backend-appropriate placeholder syntax; any new query must respect this","A catalog facade must not mix placeholder styles"
DBA-11012-018,transaction_boundaries_must_remain_explicit,transaction_semantics,dual_backend,critical,"internal/db/db.go; internal/repository/; internal/gc/; internal/snapshot/","BeginTx; Commit; Rollback; all mutating operations",preserve_as_is,preserve_transaction_boundaries,"All mutating catalog operations must use explicit BeginTx/Commit/Rollback on both backends; v1.10.12 must not change this pattern","Phase 5 INV-11012-019 (catalog_consistency): all mutating ops use BeginTx/Commit/Rollback; Phase 6 MIG-11012-013 is release blocker","Transaction semantics are a catalog correctness invariant"
DBA-11012-019,catalog_abstraction_must_not_change_transaction_boundaries,transaction_semantics,dual_backend,high,"internal/db/; future catalog boundary","BeginTx; Commit; Rollback; any future catalog interface",requires_catalog_contract,preserve_transaction_boundaries,"A future catalog contract or facade must not silently hide transaction boundaries; callers must remain able to reason about commit/rollback","Phase 6 MIG-11012-013 explicitly requires transaction boundary preservation; INV-11012-019 is the owning invariant","Must be addressed before any catalog facade PR is merged"
DBA-11012-020,select_for_update_capability_flag_must_remain,locking_semantics,dual_backend,high,"internal/db/backend.go","SupportsSelectForUpdate; QueryWithOptionalForUpdate",requires_catalog_contract,preserve_sqlite_postgres_compatibility,"The SupportsSelectForUpdate/QueryWithOptionalForUpdate capability flag pattern must remain; any catalog facade must not assume FOR UPDATE on SQLite","internal/db/backend.go exposes SupportsSelectForUpdate() and QueryWithOptionalForUpdate(); callers must branch on this capability","Removing or bypassing this pattern would break SQLite locking semantics"
DBA-11012-021,postgres_select_for_update_sqlite_wal_locking_differ,locking_semantics,postgres_only,high,"internal/db/backend.go","SELECT FOR UPDATE (PostgreSQL only); WAL-based locking (SQLite)",document_before_v1.11,preserve_sqlite_postgres_compatibility,"SELECT FOR UPDATE is PostgreSQL-only; SQLite uses WAL/file locking; these semantics must not be conflated under a catalog facade","internal/db/backend.go SupportsSelectForUpdate() returns true only for PostgreSQL; all callers use QueryWithOptionalForUpdate()","Locking semantics are a catalog correctness concern"
DBA-11012-022,backend_from_db_detection_must_remain_capability_basis,capability_derivation,dual_backend,critical,"internal/db/backend.go","BackendFromDB; BackendPostgres; BackendSQLite",requires_catalog_contract,catalog_before_engine_split,"BackendFromDB() detection must remain the authoritative basis for all backend capability derivation; a catalog facade must not bypass or replace this detection","internal/db/backend.go BackendFromDB() inspects the database driver name to return the correct Backend constant; all capability branching flows from this","Phase 5 INV-11012-021 owns sqlite_postgres_compatibility; this is the detection mechanism"
DBA-11012-023,sqlite_first_is_future_local_direction_only,path_portability,future_sqlite_first,medium,"docs/release/v1.10/; ARCHITECTURE.md","future local repository direction",requires_sqlite_first_decision_later,do_not_change_default_backend,"SQLite-first is the intended future local repository direction (v1.12+); v1.10.12 must not implement this; portability assumptions must await the SQLite-first decision","Coldkeep is moving toward SQLite-first local repositories per ARCHITECTURE.md and copilot instructions; not v1.10.12 scope","Any path portability work must await the SQLite-first decision"
DBA-11012-024,repository_config_portability_depends_on_sqlite_first,repository_layout,future_sqlite_first,medium,"db/schema_sqlite.sql; db/schema_postgres.sql; internal/repository/","repository_config table; portability of repo layout state",requires_sqlite_first_decision_later,do_not_change_default_backend,"The repository_config table carries per-repository layout state; portability of this state across backends depends on the SQLite-first decision not to be made in v1.10.12","Both schemas define repository_config; the portability model is deferred to the SQLite-first implementation phase","Do not design catalog contracts around this until SQLite-first scope is confirmed"
DBA-11012-025,postgres_remains_future_server_catalog_direction,repository_layout,future_postgres_server,medium,"ARCHITECTURE.md; docs/release/v1.10/","PostgreSQL future server catalog direction",defer_to_v3_server_mode,preserve_sqlite_postgres_compatibility,"PostgreSQL remains the intended future centralized/server catalog backend direction; v1.10.12 must not implement or constrain this direction","Coldkeep architecture plans SQLite for local and PostgreSQL for server-mode; v1.10.12 must not assume PostgreSQL server mode is done","Server-mode catalog planning is deferred to v3"
DBA-11012-026,sqlite_in_memory_tests_must_continue,test_coverage,sqlite_only,high,"internal/db/*_test.go; tests/integration/","SQLite in-memory test coverage; migrations_test.go",requires_dual_backend_test,preserve_migration_bootstrap_compatibility,"SQLite in-memory tests must continue to cover schema bootstrap migration and operation paths; v1.11 work must not silently drop them","internal/db/migrations_test.go and backend_test.go cover SQLite in-memory paths; quality CI job runs these","Must not be removed or skipped in future refactors"
DBA-11012-027,dual_backend_coverage_must_not_silently_drop_postgres,test_coverage,dual_backend,critical,"internal/db/*_test.go; tests/integration/; .github/workflows/ci.yml","correctness-matrix job; PostgreSQL integration tests",requires_dual_backend_test,preserve_sqlite_postgres_compatibility,"Dual-backend test coverage must not silently drop PostgreSQL; any refactor that removes PostgreSQL test paths must be explicitly rejected","CI correctness-matrix job runs integration tests with COLDKEEP_TEST_DB=1 and PostgreSQL 16 service; Phase 6 MIG-11012-031 is release blocker","Must be checked in scope audits of any future PR"
DBA-11012-028,postgres_ci_service_must_not_be_removed,ci_coverage,postgres_only,critical,".github/workflows/ci.yml","postgres:16 CI service; correctness-matrix job; COLDKEEP_TEST_DB=1; DB_HOST/PORT/SSLMODE env vars",requires_postgres_compat_gate,do_not_remove_postgres_paths,"The PostgreSQL 16 CI service in correctness-matrix job must not be removed; removing it would silently break PostgreSQL compatibility without failing CI",".github/workflows/ci.yml runs PostgreSQL 16 as a service for correctness-matrix with COLDKEEP_TEST_DB=1; pg_isready health check confirms availability","Phase 6 MIG-11012-031 release blocker"
DBA-11012-029,coldkeep_test_db_integration_env_must_remain,ci_coverage,dual_backend,high,".github/workflows/ci.yml; tests/integration/","COLDKEEP_TEST_DB=1; DB_HOST=127.0.0.1; DB_PORT=5432; DB_SSLMODE=disable",requires_dual_backend_test,preserve_sqlite_postgres_compatibility,"The COLDKEEP_TEST_DB=1 integration test environment enabling PostgreSQL tests must remain; removing it would silently skip all PostgreSQL integration coverage",".github/workflows/ci.yml sets COLDKEEP_TEST_DB=1 and DB_HOST/PORT/SSLMODE for the correctness-matrix job","Any CI refactor must preserve this coverage signal"
DBA-11012-030,cli_json_output_must_remain_backend_neutral,json_cli_contract,backend_agnostic,high,"internal/cli/; cmd/coldkeep/","JSON output paths; CLI output paths; exit codes",preserve_as_is,preserve_sqlite_postgres_compatibility,"CLI and JSON outputs must remain backend-neutral; no backend name schema version or driver detail must leak into user-facing output","Phase 6 MIG-11012-021 and MIG-11012-022 cover JSON/CLI contract preservation; current CLI/JSON output contains no backend-specific fields","Any future refactor must not add backend discriminators to CLI/JSON output"
DBA-11012-031,catalog_facade_must_not_assume_sqlite_only,future_catalog_boundary,dual_backend,critical,"future internal/catalog/; internal/db/backend.go","future catalog interface; backend-neutral catalog contract",defer_to_v1.12_catalog_facade,catalog_before_engine_split,"A future v1.12 catalog facade must not assume SQLite-only behavior; it must explicitly support both backends or remain backend-neutral","Phase 6 MIG-11012-029 blocks catalog abstraction PRs until inventory is complete; Phase 5 INV-11012-021 owns sqlite_postgres_compatibility","This assumption must be addressed in every catalog boundary PR review"
DBA-11012-032,engine_facade_must_not_hide_backend_behavior,future_catalog_boundary,dual_backend,critical,"future internal/engine/; internal/db/backend.go","future engine interface; backend capability hiding",defer_to_v1.12_catalog_facade,do_not_introduce_sqlite_only_behavior,"A future v1.11 engine facade must not hide backend-specific behavior behind an incomplete abstraction; all backend capability differences must remain visible at the catalog boundary","Phase 6 MIG-11012-029 blocks catalog abstraction; BackendFromDB() capability detection must remain the authoritative basis for capability derivation","Must be validated in Phase 8 v1.11 transition checklist"
