matrix_id,title,source_status,source_severity,domain,decision,phase_owner,reason,expected_behavior,notes
CK-110-M025,Review production complexity hotspots,triaged,S2,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M026,Review production complexity hotspots,triaged,S2,storage,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M027,Review production complexity hotspots,triaged,S2,verify,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M028,Normalize explicit false boolean flag handling,fixed,S2,cli,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M029,Reject ignored extra positional arguments,fixed,S2,cli,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M030,Singleton flags must reject duplicate occurrences instead of last-win behavior,fixed,S2,cli,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M031,Review production complexity hotspots,triaged,S2,filesystem,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M032,Snapshot tag input and filtering must use consistent normalization,triaged,S2,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M033,CLI validation must happen before repository initialization when possible,fixed,S2,validation,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M034,Reject invalid numeric and non-finite values,triaged,S2,validation,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M035,Review production complexity hotspots,accepted,S2,packed-storage,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M036,Review production complexity hotspots,triaged,S2,gc,include,Phase 3,Root invariant belongs to v1.10.4 GC reachability/deletion correctness scope and requires implementation-phase validation.,GC logical/chunk/block reference accounting and refcount repair paths must preserve reachability invariants and must not permit unsafe deletion of still-referenced data.,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M037,Review production complexity hotspots,triaged,S1,recovery,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M038,Review production complexity hotspots,triaged,S1,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M039,Reject duplicate benchmark case identities,triaged,S2,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M040,Benchmark comparison must reject self-comparison and invalid input pairing,triaged,S2,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M041,Validate benchmark report type and envelope,triaged,S2,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M042,Reject invalid numeric and non-finite values,triaged,S2,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M043,Harden release and benchmark script output validation,triaged,S1,ci,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M044,Review production complexity hotspots,triaged,S2,codacy,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M045,Release and benchmark scripts must not mask failures or mishandle unsafe inputs,triaged,S1,tooling,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M046,Harden release and benchmark script output validation,triaged,S2,tooling,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M047,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,migration,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M048,Classify test-only scanner findings,triaged,S3,migration,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M049,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M050,Classify test-only scanner findings,triaged,S3,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M051,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,storage,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M052,Classify test-only scanner findings,triaged,S3,storage,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M054,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,verify,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M055,Classify test-only scanner findings,triaged,S3,verify,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M056,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,filesystem,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M057,Classify test-only scanner findings,triaged,S3,filesystem,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M058,Container packaging should avoid unnecessary root execution where applicable,triaged,S3,security,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M059,Classify test-only scanner findings,triaged,S3,security,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M060,Test complexity findings must be reviewed without weakening invariant coverage,deferred,S3,packed-storage,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M061,Classify test-only scanner findings,deferred,S3,packed-storage,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M062,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,gc,defer,Phase 3,Row is GC-related but test-structure/classification work is deferred to avoid mixing release-correctness behavior hardening with non-critical cleanup.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M063,Classify test-only scanner findings,triaged,S3,gc,defer,Phase 3,Row is GC-related but test-structure/classification work is deferred to avoid mixing release-correctness behavior hardening with non-critical cleanup.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M064,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,recovery,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M065,Classify test-only scanner findings,triaged,S3,recovery,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M066,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M067,Classify test-only scanner findings,triaged,S3,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M068,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,benchmark,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M069,Classify test-only scanner findings,triaged,S3,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M070,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,codacy,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M071,Classify test-only scanner findings,triaged,S3,codacy,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M072,Classify documentation style findings,triaged,S4,docs,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M073,Low-risk cleanup findings must be tracked without disrupting stabilization scope,triaged,S4,tooling,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M074,Classify documentation style findings,triaged,S4,filesystem,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M075,Codacy finding must be classified before enforcement,triaged,S4,gc,exclude,Phase 3,Codacy policy/classification work is explicitly out of scope for v1.10.4 Phase 0 release-control baseline.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M076,Classify documentation style findings,triaged,S4,codacy,exclude,REVIEW,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M077,Review benchmark backlog correctness gaps,triaged,S3,benchmark,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M078,Review CLI contract backlog behavior gaps,triaged,S3,cli,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M079,Review removal and maintenance backlog behavior gaps,triaged,S3,gc,include,Phase 4,Root invariant belongs to v1.10.4 GC reachability/deletion correctness scope and requires implementation-phase validation.,"GC removal and maintenance behavior must refuse unsafe deletion, preserve snapshot-retained data, and produce accurate orphan/report outputs under deletion-sensitive scenarios.",Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M080,Review unclassified external backlog behavior gaps,triaged,S3,tooling,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M081,Review packed-storage parity and reachability gaps,triaged,S3,packed-storage,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M082,Review restore and recovery backlog behavior gaps,triaged,S3,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M083,Review script and tooling backlog behavior gaps,triaged,S3,tooling,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M084,Review snapshot behavior parity gaps,triaged,S3,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M085,Review verify and inspect behavior gaps,triaged,S3,verify,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M086,Reject flag-token values for value flags,fixed,S2,cli,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M087,Reject restore mode-specific flags outside valid mode,triaged,S1,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M088,Harden script JSON emission contract,triaged,S2,tooling,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
