id,check_name,transition_category,priority,v111_entry_gate,blocking_level,source_phase,source_ref,applies_to,readiness_status,check_statement,required_evidence,v111_owner_candidate,notes
CHK-11012-011,all_critical_invariants_have_documented_future_owners,invariant_ownership,P0,must_before_v111_branch,release_blocker,phase5,"INV-11012-001 through INV-11012-031",all_engine_candidates,ready,"All 31 invariants in the Phase 5 map must have a documented future_owner_candidate before v1.11 branching","Phase 5 invariant ownership map CSV has 31 rows all with non-empty future_owner_candidate; phase5 evidence reviewed",release_gate,"Phase 5 complete; satisfied by Phase 5 evidence"
CHK-11012-012,gc_safety_invariant_covered_by_engine_operation_contract,invariant_ownership,P0,must_before_first_facade_commit,release_blocker,phase5,"INV-11012-005; INV-11012-006; INV-11012-007",gc,ready_with_guardrails,"GC safety invariants (reachability check; dry-run equivalence; commit-then-delete ordering) must all be captured in the v1.11 engine operation contract before any GC facade is created","v1.11 GC facade design references INV-11012-005 INV-11012-006 INV-11012-007; reachability set equivalence confirmed; packed/legacy both covered",engine_operation,GC must never delete reachable data — correctness-critical
CHK-11012-013,verify_fail_closed_invariant_preserved_in_v111,invariant_ownership,P0,must_before_lifting_logic,release_blocker,phase5,"INV-11012-011; INV-11012-012",verify,requires_v111_validation,"Verify fail-closed invariant must be preserved in v1.11; verify must report all errors; GC must not run while verify finds failures; exit code 3 must not change","v1.11 verify facade returns exit code 3 on any verification failure; all chunk hash mismatches reported; packed and legacy parity maintained",engine_operation,Phase 5 INV-11012-011 INV-11012-012 fail-closed
CHK-11012-014,crash_recovery_invariant_preserved_in_v111,invariant_ownership,P0,must_before_first_facade_commit,release_blocker,phase5,"INV-11012-017; INV-11012-018",recovery,requires_v111_validation,"Recovery quarantine must remain fail-closed in v1.11; stat() error must abort recovery not skip; corrupt mappings must not be legitimized","v1.11 recovery facade preserves SystemRecoveryWithContainersDir ordering; quarantine fail-closed behavior confirmed; no legitimization of corrupt mappings",storage_context,Phase 5 INV-11012-017 INV-11012-018 crash_recovery
CHK-11012-015,transaction_boundaries_preserved_across_all_mutating_ops,invariant_ownership,P0,must_before_lifting_logic,release_blocker,phase5,INV-11012-019,all_catalog_candidates,requires_v111_validation,"All mutating catalog operations must continue to use explicit BeginTx/Commit/Rollback in v1.11; no implicit transaction hiding in any catalog facade","v1.11 all store/snapshot/GC/repair operation paths use explicit BeginTx/Commit/Rollback; no silent auto-commit behavior; callers can reason about commit/rollback",catalog_contract,"Phase 5 INV-11012-019 catalog_consistency; Phase 7 DBA-11012-018"
CHK-11012-016,sqlite_postgres_dual_backend_preserved_in_v111,db_backend_compatibility,P0,must_before_v111_branch,release_blocker,phase7,"DBA-11012-001; DBA-11012-002",repository_lifecycle,ready,"v1.11 must preserve SQLite and PostgreSQL as dual backend targets; no v1.11 work may change default backend or remove PostgreSQL paths","v1.11 go.mod shows same SQLite and PostgreSQL drivers; internal/db/backend.go unchanged; EnsureSchema routes correctly; CI PostgreSQL service present",release_gate,"Phase 7 DBA-11012-001 DBA-11012-002; Phase 6 MIG-11012-027"
CHK-11012-017,no_sqlite_only_assumptions_in_v111_engine_facade,db_backend_compatibility,P0,must_before_first_facade_commit,release_blocker,phase7,"DBA-11012-031; DBA-11012-032; DBA-11012-017",all_engine_candidates,requires_v111_validation,"v1.11 engine facade must not introduce SQLite-only assumptions; every new code path must be compatible with both backends; placeholder and RETURNING differences must be preserved","v1.11 engine facade PR scope audit confirms no SQLite-only PRAGMA applied to PostgreSQL paths; placeholder syntax correct per backend; BackendFromDB() used for all capability branching",engine_operation,"Phase 7 DBA-11012-031 DBA-11012-032; Phase 6 MIG-11012-030"
CHK-11012-018,postgres_ci_service_not_removed_in_v111,db_backend_compatibility,P0,must_before_first_pr,release_blocker,phase7,"DBA-11012-027; DBA-11012-028",all_engine_candidates,requires_v111_validation,"The PostgreSQL 16 CI service in the correctness-matrix job must remain in all v1.11 PRs; COLDKEEP_TEST_DB=1 integration tests must pass on every PR","v1.11 .github/workflows/ci.yml retains postgres:16 service; correctness-matrix job runs with COLDKEEP_TEST_DB=1; all PostgreSQL integration tests pass",release_gate,"Phase 7 DBA-11012-027 DBA-11012-028; Phase 6 MIG-11012-031 release blocker"
CHK-11012-019,schema_migration_preserved_for_both_backends_in_v111,db_backend_compatibility,P0,must_before_first_facade_commit,release_blocker,phase7,"DBA-11012-007; DBA-11012-010",repository_lifecycle,requires_v111_validation,"EnsureSchema unified bootstrap and both SQLite and PostgreSQL migration paths must remain operative in v1.11; schema version parity at v15 must be preserved","v1.11 EnsureSchema still routes to EnsureSQLiteSchema and EnsurePostgresSchema; schema_versions table reports v15 on both backends; migration tests pass",catalog_contract,Phase 7 DBA-11012-007 DBA-11012-010
CHK-11012-020,backend_from_db_capability_detection_preserved_in_v111,db_backend_compatibility,P0,must_before_first_facade_commit,release_blocker,phase7,"DBA-11012-022; DBA-11012-021",all_engine_candidates,requires_v111_validation,"BackendFromDB() detection must remain the authoritative basis for all backend capability derivation in v1.11; no facade may bypass this detection","v1.11 all FOR UPDATE branching uses SupportsSelectForUpdate(); no new code applies PostgreSQL-only capability to SQLite paths; BackendFromDB() unchanged",engine_operation,"Phase 7 DBA-11012-022; INV-11012-021"
CHK-11012-021,snapshot_all_or_nothing_tx_preserved_in_v111,catalog_boundary,P0,must_before_catalog_work,release_blocker,phase5,"INV-11012-008; MIG-11012-010",snapshot,requires_v111_validation,"Snapshot creation must remain all-or-nothing in a single BeginTx/Commit in v1.11; no partial snapshot rows may be introduced by catalog facade work","v1.11 snapshot facade preserves single-tx creation; CreateSnapshotWithOptions test shows no partial rows on failure; migration MIG-11012-010 satisfied",catalog_contract,"Phase 5 INV-11012-008; Phase 6 MIG-11012-010 release blocker"
CHK-11012-022,catalog_abstraction_not_before_assumption_inventory,catalog_boundary,P0,must_before_v111_branch,release_blocker,phase6,MIG-11012-029,all_catalog_candidates,ready,"Catalog abstraction must not be introduced before the SQLite/PostgreSQL assumption inventory is complete; Phase 7 is a prerequisite for catalog facade work","Phase 7 SQLite/PostgreSQL assumption inventory is complete (32 rows); Phase 8 transition checklist records all catalog boundary guardrails",release_gate,"Phase 6 MIG-11012-029 release blocker; satisfied by Phase 7 completion"
CHK-11012-023,repair_ref_count_atomicity_preserved_in_v111,catalog_boundary,P1,must_before_catalog_work,phase_blocker,phase5,"INV-11012-016; MIG-11012-012",repair,requires_v111_validation,"Ref-count repair must remain atomic per repair target in v1.11; dry-run must not apply changes; no intermediate inconsistent catalog state","v1.11 repair facade preserves per-target atomicity; dry-run path confirmed read-only; no intermediate inconsistent rows visible on rollback",catalog_contract,"Phase 5 INV-11012-016; Phase 6 MIG-11012-012"
CHK-11012-024,catalog_facade_must_not_assume_sqlite_only_in_v112,catalog_boundary,P0,must_before_catalog_work,release_blocker,phase7,"DBA-11012-031; DBA-11012-022",all_catalog_candidates,requires_v112_followup,"A future v1.12 catalog facade must not assume SQLite-only behavior; this constraint must be documented in every catalog boundary PR; v1.11 must not begin catalog facade work","v1.12 catalog facade PRs reference DBA-11012-031; BackendFromDB() capability detection preserved; no SQLite-only paths in catalog interfaces",catalog_contract,"Phase 7 DBA-11012-031; explicit v1.12 handoff"
CHK-11012-025,path_traversal_rejection_preserved_in_restore,filesystem_boundary,P0,must_before_lifting_logic,release_blocker,phase5,"INV-11012-004; MIG-11012-007",restore,requires_v111_validation,"Path traversal rejection for restore destination must remain operative in v1.11; no restore may write outside the intended destination","v1.11 restore facade preserves sanitizeStoredPath traversal check; test cases confirm rejection of paths with ../ components; security invariant confirmed",filesystem_boundary,Phase 5 INV-11012-004 security-critical
CHK-11012-026,temp_write_rename_fsync_pattern_preserved_in_v111,filesystem_boundary,P0,must_before_lifting_logic,release_blocker,phase5,"INV-11012-003; INV-11012-014",store,requires_v111_validation,"Temp-write-then-rename-then-fsync pattern for restore and fsync-before-DB-commit for store must remain in v1.11 filesystem boundary; this is the write durability chain","v1.11 store and restore fsync+rename patterns preserved; no new code writes directly without fsync; AppendPayload and FinalizeContainer durability chain intact",filesystem_boundary,Phase 5 INV-11012-003 INV-11012-014
CHK-11012-027,commit_then_delete_ordering_preserved_in_gc,filesystem_boundary,P0,must_before_lifting_logic,release_blocker,phase5,INV-11012-007,gc,requires_v111_validation,"File deletion must occur only after DB row is committed in v1.11 GC; crash between commit and file removal leaves dead container not data loss","v1.11 GC facade preserves per-container tx loop ordering; commit confirmed before file remove; crash-between-commit-and-delete scenario leaves only dead files not data loss",filesystem_boundary,Phase 5 INV-11012-007 gc_safety commit-before-delete
CHK-11012-028,osfs_seam_not_bypassed_in_v111,filesystem_boundary,P1,must_before_first_facade_commit,phase_blocker,phase5,INV-11012-031,all_filesystem_candidates,requires_v111_validation,"All filesystem operations must continue to route through fsx.OSFS interface in v1.11; this seam enables fault injection and must not be bypassed","v1.11 no new code uses os.* file operations directly; all file access goes through fsx.OSFS; fault injection tests still compilable",filesystem_boundary,Phase 5 INV-11012-031 OSFS seam
CHK-11012-029,cli_exit_codes_1_2_3_4_unchanged_in_v111,cli_json_contract,P0,must_before_first_pr,release_blocker,phase5,INV-11012-026,all_engine_candidates,ready,"Exit codes 1 (general) 2 (usage) 3 (verify failure) 4 (recovery failure) must not change in v1.11; automation scripts depend on exact values","Phase 5 INV-11012-026 records frozen exit code contract; v1.11 PRs show no change to exit code dispatch; smoke tests confirm correct codes",cli_boundary,Phase 5 INV-11012-026 json_stability
CHK-11012-030,json_error_envelope_shape_unchanged_in_v111,cli_json_contract,P0,must_before_first_pr,release_blocker,phase5,"INV-11012-025; OPC-11012-032",json_output,ready,"JSON error envelope shape (invariant_code recommended_action dbHint verifyDetails) must not change in v1.11; this is a frozen API contract","Phase 5 INV-11012-025 records frozen JSON envelope; v1.11 PRs preserve resolveOutputMode and printCLIError shape; scripting consumers continue to parse without change",cli_boundary,Phase 5 INV-11012-025 json_stability
CHK-11012-031,cli_validation_remains_at_cli_boundary_in_v111,cli_json_contract,P1,must_before_lifting_logic,high,phase5,INV-11012-027,all_engine_candidates,requires_v111_validation,"Numeric flag validation (limit offset workers min_size max_size) must remain at CLI boundary in v1.11; validation must not be pushed into engine layers","v1.11 engine facade does not validate numeric inputs; validation still occurs in cmd/ before any DB access; MaxPaginationLimit still enforced at CLI",cli_boundary,Phase 5 INV-11012-027
CHK-11012-032,backend_neutral_cli_json_output_preserved_in_v111,cli_json_contract,P0,must_before_first_pr,release_blocker,phase7,"DBA-11012-030; INV-11012-025; INV-11012-026",json_output,ready,"CLI and JSON outputs must remain backend-neutral in v1.11; no backend name schema version or driver detail must leak into user-facing output","v1.11 CLI/JSON output does not include backend discriminators; Phase 7 DBA-11012-030 guardrail satisfied; frozen exit code and JSON envelope contracts satisfied",cli_boundary,Phase 7 DBA-11012-030
CHK-11012-033,v111_pr_must_record_affected_invariant_and_operation,validation_evidence,P0,must_before_first_pr,phase_blocker,phase5,"INV-11012-001 through INV-11012-031; OPC-11012-001 through OPC-11012-032",all_engine_candidates,requires_v111_validation,"Every v1.11 implementation PR must record: affected invariant ID; affected operation candidate ID; source v1.10.12 checklist rows; reason behavior is unchanged","v1.11 PR descriptions include INV-11012-XXX and OPC-11012-XXX references; Phase 8 CHK-11012-XXX rows cited where applicable",release_gate,Required v1.11 evidence per Phase 8 plan
CHK-11012-034,v111_pr_must_record_before_after_cli_and_json_behavior,validation_evidence,P1,must_before_first_pr,phase_blocker,phase5,"INV-11012-025; INV-11012-026",all_engine_candidates,requires_v111_validation,"Every v1.11 PR must record before/after CLI behavior; before/after JSON behavior; before/after exit-code behavior","v1.11 PR description includes CLI smoke test results before and after; JSON output diff shows no change; exit code test confirms no drift",release_gate,Required v1.11 evidence per Phase 8 plan
CHK-11012-035,v111_pr_must_record_backend_compatibility_status,validation_evidence,P1,must_before_first_pr,phase_blocker,phase7,"DBA-11012-001; DBA-11012-002; DBA-11012-027; DBA-11012-028",all_engine_candidates,requires_v111_validation,"Every v1.11 PR must record backend compatibility status; SQLite integration test results; PostgreSQL integration test results","v1.11 PR shows CI green on both SQLite and PostgreSQL paths; COLDKEEP_TEST_DB=1 tests pass; backend compatibility confirmed in PR checklist",release_gate,Phase 7 database assumption guardrails
CHK-11012-036,v11012_release_gate_passed_before_v111_branch,validation_evidence,P0,must_before_v111_branch,release_blocker,v1.10.12_evidence,docs/release/v1.10/v1.10.12-checklist.md,repository_lifecycle,requires_v111_validation,"v1.10.12 Phase 9 Release Candidate Gate must pass before v1.11 branch is created; no v1.11 work begins from an unreleased v1.10.12","Phase 9 gate complete; v1.10.12 tag created; CI green on tagged commit; v1.10.12-checklist.md Phase 9 row checked",release_gate,Phase 9 is prerequisite for v1.11 branch creation
CHK-11012-037,v111_starts_only_from_released_v11012,release_process,P0,must_before_v111_branch,release_blocker,v1.10.12_evidence,docs/release/v1.10/v1.10.12-phase-status.md,repository_lifecycle,requires_v111_validation,"v1.11 may only start from a released v1.10.12; v1.11 branch must be cut from the v1.10.12 release tag not from an unreleased commit","git tag shows v1.10.12 tag; v1.11 branch created from that tag; Phase 9 Release Candidate Gate complete",release_gate,Fundamental release ordering invariant
CHK-11012-038,all_phase2_thru_7_inventories_reviewed_before_v111,release_process,P0,must_before_v111_branch,release_blocker,v1.10.12_evidence,"v1.10.12-cli-business-coupling-inventory.csv; v1.10.12-db-fs-storage-access-inventory.csv; v1.10.12-operation-contract-candidates.csv; v1.10.12-invariant-ownership-map.csv; v1.10.12-no-behavior-change-migration-rules.csv; v1.10.12-sqlite-postgres-assumption-inventory.csv",all_engine_candidates,ready,"All v1.10.12 phase inventories must be reviewed by the v1.11 implementation team before any v1.11 work begins; this transition checklist is that review artifact","Phase 8 transition checklist exists and is committed; phase-status.md shows all phases 2-8 complete; each inventory CSV is readable",release_gate,Satisfied when Phase 8 is complete and Phase 9 gate passes
CHK-11012-039,v111_first_pr_scope_limited_to_facade_only,release_process,P0,must_before_first_facade_commit,release_blocker,phase4,"OPC-11012-001; OPC-11012-003; OPC-11012-011; OPC-11012-013",all_engine_candidates,requires_v111_validation,"The first v1.11 PR must be limited to creating wrapper facade functions; no business logic moves; no test changes beyond new tests for the facade itself; no CLI behavior change","v1.11 first PR diff shows only new wrapper functions and new wrapper tests; no internal/ logic changes; no cmd/ behavior changes; CI green",release_gate,Phase 4 wrap_existing_behavior migration mode
CHK-11012-040,packed_legacy_parity_not_broken_at_release_candidate,release_process,P1,must_before_release_candidate,high,phase5,INV-11012-013,store,requires_v111_validation,"Packed and legacy storage parity must be confirmed in v1.11 release candidate testing; regression tests must cover both formats for verify and GC","v1.11 RC integration tests include packed-format and legacy-format repos; verify and GC pass on both; no format-specific regressions",engine_operation,Phase 5 INV-11012-013 packed/legacy parity
CHK-11012-041,catalog_facade_is_explicit_v112_work,defer_to_v1.12,P2,handoff_only,medium,phase6,"MIG-11012-029; DBA-11012-031",all_catalog_candidates,requires_v112_followup,"Catalog facade (abstracting internal/db access behind a catalog interface) is explicitly deferred to v1.12; v1.11 must not begin catalog facade work","v1.12 planning document explicitly includes catalog facade as first item; v1.11 does not create any catalog interface files",handoff_only,"Phase 6 MIG-11012-029; Phase 7 DBA-11012-031"
CHK-11012-042,sqlite_first_local_direction_deferred_to_v112,defer_to_v1.12,P2,handoff_only,medium,phase7,"DBA-11012-023; DBA-11012-024",repository_lifecycle,requires_v112_followup,"SQLite-first local repository productization is deferred to v1.12+; v1.11 must not implement SQLite-first behavior or make assumptions that depend on the SQLite-first decision","v1.12 planning document explicitly includes SQLite-first local repository work; v1.11 does not implement SQLite-only paths",handoff_only,Phase 7 DBA-11012-023 DBA-11012-024
CHK-11012-043,postgres_server_mode_direction_deferred_to_v3,defer_to_v1.12,P3,handoff_only,low,phase7,DBA-11012-025,repository_lifecycle,requires_v112_followup,"PostgreSQL centralized/server catalog direction is deferred to v3; no v1.11 or v1.12 work may implement server-mode catalog behavior or constrain the server-mode direction","v3 planning document explicitly includes PostgreSQL server-mode catalog; v1.11 and v1.12 do not implement server-mode behavior",handoff_only,Phase 7 DBA-11012-025
CHK-11012-044,daemon_local_productization_deferred_to_v112,defer_to_v1.12,P2,handoff_only,medium,phase5,"INV-11012-029; INV-11012-030",benchmark,requires_v112_followup,"Daemon and local productization preconditions (benchmark temporary DB lifecycle; simulation isolation) are deferred to v1.12; v1.11 must not implement daemon behavior","v1.12 planning document explicitly includes daemon/local productization work; v1.11 does not add any daemon-related code",handoff_only,Phase 5 INV-11012-029 INV-11012-030
CHK-11012-045,deeper_catalog_contract_tests_deferred_to_v112,defer_to_v1.12,P2,handoff_only,medium,phase5,"INV-11012-008; INV-11012-016; INV-11012-019",all_catalog_candidates,requires_v112_followup,"Deeper catalog contract tests covering all invariants behind a catalog interface are deferred to v1.12 when the catalog facade is created; v1.11 preserves existing test coverage only","v1.12 PR introducing catalog facade includes comprehensive catalog contract tests; v1.11 does not add catalog interface tests",handoff_only,Phase 5 catalog_contract invariants
