id,severity,domain,status,source,affected_invariant,summary,release_target,rationale,evidence
CK-11011-S1-011,S1,recovery,deferred,CK-110-M037,Recovery must not legitimize corrupt mappings,system_recovery.go production complexity hotspot — targeted v1.10.5 but remediation-matrix.csv still shows triaged status,v1.10.11,Targeted v1.10.5. remediation-matrix.csv shows triaged for CK-110-M037. 8 source complexity findings in internal/recovery/system_recovery.go. Phase 3 must confirm v1.10.5 addressed this or document accepted rationale.,docs/release/v1.10/remediation-matrix.csv (CK-110-M037); docs/release/v1.10/issue-tracker.csv (CK-110-0083)
CK-11011-S1-012,S1,restore,deferred,CK-110-M038,Restore must not write outside the intended destination,restore.go production complexity (976 non-comment lines; restoreFileWithDBAndDir cyclomatic complexity 70) — targeted v1.10.5 but remediation-matrix.csv still shows triaged status,v1.10.11,Targeted v1.10.5. remediation-matrix.csv shows triaged for CK-110-M038. restore.go is 976 NLOC (CK-110-0029) and restoreFileWithDBAndDir has cyclomatic complexity 70 (CK-110-0032). Phase 3 must confirm closure or document accepted rationale.,docs/release/v1.10/remediation-matrix.csv (CK-110-M038); docs/release/v1.10/issue-tracker.csv (CK-110-0029; CK-110-0032)
CK-11011-S1-013,S1,restore,deferred,CK-110-M087,Restore must not write outside the intended destination,Restore mode-specific flags must be rejected outside their valid mode — targeted v1.10.5 but remediation-matrix.csv still shows triaged status,v1.10.11,Targeted v1.10.5. remediation-matrix.csv shows triaged for CK-110-M087. Source candidates CK-110-1500 and CK-110-1501 are mode-specific flag cross-contamination risks. Phase 3 must confirm closure or document accepted rationale.,docs/release/v1.10/remediation-matrix.csv (CK-110-M087); docs/release/v1.10/issue-tracker.csv (CK-110-1500; CK-110-1501)
CK-11011-S1-014,S1,benchmark,accepted,CK-110-M018,Benchmark executable boundaries must be reviewed,OS command injection scanner finding in internal/benchmark/scenarios.go — targeted v1.10.6 but remediation-matrix.csv still shows triaged status,v1.10.11,Targeted v1.10.6. remediation-matrix.csv shows triaged for CK-110-M018. exec.Command(spec.Executable) trust-boundary candidate CK-110-0046. Phase 3 must confirm closure or document accepted rationale.,docs/release/v1.10/remediation-matrix.csv (CK-110-M018); docs/release/v1.10/issue-tracker.csv (CK-110-0046)
CK-11011-S1-015,S1,ci,deferred,CK-110-M043,Release CI must not mask failures,Release scripts must propagate required database environment consistently — targeted v1.10.6 but remediation-matrix.csv still shows triaged status,v1.10.11,Targeted v1.10.6. remediation-matrix.csv shows triaged for CK-110-M043. DB_SSLMODE propagation risk in run_snapshot_release_gate.sh (CK-110-1483; CK-110-1659). Phase 3 must confirm closure or document accepted rationale.,docs/release/v1.10/remediation-matrix.csv (CK-110-M043); docs/release/v1.10/issue-tracker.csv (CK-110-1483; CK-110-1659)
CK-11011-S1-016,S1,tooling,deferred,CK-110-M045,Release tooling must not mask failures or mishandle unsafe inputs,Release and benchmark scripts masking failures — targeted v1.10.6 but remediation-matrix.csv still shows triaged status,v1.10.11,Targeted v1.10.6. remediation-matrix.csv shows triaged for CK-110-M045. 28 source findings across scripts/smoke.sh and scripts/validate_regression_thresholds.py and other release scripts. Phase 3 must confirm closure or document accepted rationale.,docs/release/v1.10/remediation-matrix.csv (CK-110-M045)
CK-11011-S1-C001,S1,json,closed_by_previous_release,CK-110-M028/M029/M030,CLI and JSON automation contracts must be stable,CLI/JSON contract hardening — extra args rejected; boolean =false handled; duplicate singleton flags rejected — all fixed in v1.10.1,v1.10.1,Matrix status fixed for CK-110-M028 (commit 83dd220) and CK-110-M029 (commit 682408c) and CK-110-M030 (commit 14daec5). Regression tests pass. S2 class included here as representative CLI/JSON contract closure.,docs/release/v1.10/remediation-matrix.csv (CK-110-M028; CK-110-M029; CK-110-M030)
CK-11011-S1-C002,S1,gc,closed_by_previous_release,v1.10.4-release,GC must never delete reachable data,GC reachability and refcount correctness covered by v1.10.4 release — CK-110-M036 matrix status is closed,v1.10.4,v1.10.4 GC correctness release. CK-110-M036 matrix status: closed. Closure proof: v1.10.4-phase9-gc-regression-matrix.md and v1.10.4-test-inventory.csv. Phase 9 included-row coverage-gap validation passed.,docs/release/v1.10/v1.10.4-phase9-gc-regression-matrix.md; docs/release/v1.10/v1.10.4-test-inventory.csv; docs/release/v1.10/remediation-matrix.csv (CK-110-M036)
CK-11011-S1-C003,S1,restore,closed_by_previous_release,v1.10.5-release,Restore must not write outside the intended destination,Restore path safety and mode-specific hardening addressed in v1.10.5 restore hardening release,v1.10.5,v1.10.5 restore hardening release. Restore mode validation and stored-path destination safety addressed. Release gate evidence exists.,docs/release/v1.10/v1.10.5-*
CK-11011-S1-C004,S1,filesystem,closed_by_previous_release,v1.10.9-release,Filesystem failures must not silently corrupt state,Filesystem fault injection groundwork (ENOSPC / fsync / partial-write / rename classes) addressed in v1.10.9,v1.10.9,v1.10.9 faultfs release. Filesystem fault injection hardening covered. Release gate evidence exists.,docs/release/v1.10/v1.10.9-*
CK-11011-S1-C005,S1,cross-platform,closed_by_previous_release,v1.10.10-release,Platform-sensitive paths must not weaken restore or path safety,Cross-platform OS matrix validation covering path normalization and restore determinism addressed in v1.10.10,v1.10.10,Covered by PR #66 (https://github.com/franchoy/coldkeep/pull/66) and CI run 26525560129. ubuntu-latest; macos-latest; windows-latest all passed. Tag v1.10.10 pushed and GitHub release published 2026-05-27.,docs/release/v1.10/v1.10.10-os-matrix-validation.md; https://github.com/franchoy/coldkeep/pull/66
