matrix_id,selection,release_target,severity,domain,title,root_invariant,source_issue_ids,affected_commands,include_score,exclude_score,phase_owner,decision,rationale
CK-110-M030,candidate,v1.10.1,S2,cli,Singleton flags must reject duplicate occurrences instead of last-win behavior,Singleton flags must reject duplicate occurrences instead of last-win behavior,CK-110-1702;CK-110-1715;CK-110-1716;CK-110-1804;CK-110-1853;CK-110-1880,snapshot create;snapshot list;list/search --limit/--offset,5,1,Phase 6 — Duplicate Singleton Flags,include,Direct v1.10.1 duplicate singleton flag-handling scope.
CK-110-M031,candidate,v1.10.2,S2,filesystem,Review production complexity hotspots,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,CK-110-1212,,1,0,,exclude,Complexity-hotspot review is unrelated to the v1.10.1 CLI/JSON contract release.
CK-110-M032,candidate,v1.10.2,S2,snapshot,Snapshot tag input and filtering must use consistent normalization,Snapshot tag input and filtering must use consistent normalization,CK-110-1475;CK-110-1537;CK-110-1664,"snapshot create --tag a,,b;snapshot create --tag """";snapshot create --tag "",""",1,0,,defer,Snapshot tag normalization is user-input work but belongs to the broader v1.10.2 validation/snapshot release.
CK-110-M033,candidate,v1.10.2,S2,validation,CLI validation must happen before repository initialization when possible,CLI validation must happen before repository initialization when possible,CK-110-1450;CK-110-1493;CK-110-1671,config get compression-level extra;repair ref-counts --batch --input missing.json;snapshot create --from missing --output json,4,0,Phase 9 — Pre-Stateful Validation Ordering,include,Direct v1.10.1 safe-failure-before-stateful-work scope where the defect is caused by CLI misuse.
CK-110-M034,candidate,v1.10.2,S2,validation,Reject invalid numeric and non-finite values,Numeric inputs and metrics must reject zero/negative/NaN/Infinity values where invalid,CK-110-1515;CK-110-1526;CK-110-1534;CK-110-1540;CK-110-1541;CK-110-1551;CK-110-1557;CK-110-1572;CK-110-1579;CK-110-1669;CK-110-1670;CK-110-1705;CK-110-1706;CK-110-1764;CK-110-1783;CK-110-1791;CK-110-1832;CK-110-1842;CK-110-1900;CK-110-1903;CK-110-1909;CK-110-1910;CK-110-1911;CK-110-1925;CK-110-1929;CK-110-1953;CK-110-1956,"inferOutputModeFromArgs();--;list/search/snapshot --limit "" 10 "";restore --workers -1;restore --limit 0;snapshot restore --limit 0;inspect --output json;version;outputSupportedCommands;snapshot delete --dry-run --output json;search --min-size -1;COLDKEEP_CONTAINER_MAX_SIZE_MB=0;COLDKEEP_CONTAINER_MAX_SIZE_MB;stats;storage_blocks.compression_ratio;(storage_block_id, chunk_id);BlockBuilder.Add();ChunkID;verify fast;physical.total_physical_files;list;search;json.Marshal;ReadPayloadAt()",2,0,,defer,Invalid numeric and non-finite value handling is broader validation work planned for v1.10.2.
CK-110-M041,candidate,v1.10.6,S2,benchmark,Validate benchmark report type and envelope,Benchmark comparison must validate report type and JSON envelope identity,CK-110-1739;CK-110-1923;CK-110-1965;CK-110-1976;CK-110-1990,validate_regression_thresholds.py;data,1,0,,defer,JSON-envelope validation is related but belongs to benchmark/report tooling work scheduled after v1.10.1.
CK-110-M056,review-excluded-candidate,v1.10.2,S3,filesystem,Test complexity findings must be reviewed without weakening invariant coverage,Test complexity findings must be reviewed without weakening invariant coverage,CK-110-0092;CK-110-0095;CK-110-0266;CK-110-0284;CK-110-0341;CK-110-0356;CK-110-0545;CK-110-0762;CK-110-0816;CK-110-0833;CK-110-0867;CK-110-1033;CK-110-1060;CK-110-1062;CK-110-1151;CK-110-1304;CK-110-1314;CK-110-1424,,1,1,,exclude,Filesystem/test complexity review is not part of v1.10.1.
CK-110-M057,candidate,v1.10.2,S3,filesystem,Classify test-only scanner findings,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-0023;CK-110-0045;CK-110-0076;CK-110-0077;CK-110-0116;CK-110-0135;CK-110-0158;CK-110-0159;CK-110-0168;CK-110-0211;CK-110-0219;CK-110-0251;CK-110-0293;CK-110-0295;CK-110-0296;CK-110-0315;CK-110-0323;CK-110-0346;CK-110-0352;CK-110-0354;CK-110-0382;CK-110-0392;CK-110-0398;CK-110-0400;CK-110-0421;CK-110-0442;CK-110-0445;CK-110-0457;CK-110-0466;CK-110-0476;CK-110-0514;CK-110-0515;CK-110-0536;CK-110-0541;CK-110-0547;CK-110-0548;CK-110-0553;CK-110-0555;CK-110-0562;CK-110-0582;CK-110-0584;CK-110-0588;CK-110-0592;CK-110-0602;CK-110-0606;CK-110-0617;CK-110-0619;CK-110-0623;CK-110-0625;CK-110-0628;CK-110-0631;CK-110-0633;CK-110-0636;CK-110-0649;CK-110-0655;CK-110-0662;CK-110-0672;CK-110-0673;CK-110-0692;CK-110-0702;CK-110-0711;CK-110-0713;CK-110-0735;CK-110-0760;CK-110-0768;CK-110-0769;CK-110-0779;CK-110-0780;CK-110-0796;CK-110-0800;CK-110-0802;CK-110-0814;CK-110-0824;CK-110-0855;CK-110-0856;CK-110-0868;CK-110-0870;CK-110-0904;CK-110-0925;CK-110-0936;CK-110-0947;CK-110-0953;CK-110-0964;CK-110-0966;CK-110-0978;CK-110-0982;CK-110-0994;CK-110-1003;CK-110-1005;CK-110-1007;CK-110-1029;CK-110-1035;CK-110-1067;CK-110-1075;CK-110-1099;CK-110-1108;CK-110-1111;CK-110-1114;CK-110-1120;CK-110-1122;CK-110-1124;CK-110-1135;CK-110-1137;CK-110-1140;CK-110-1146;CK-110-1158;CK-110-1170;CK-110-1189;CK-110-1216;CK-110-1232;CK-110-1234;CK-110-1235;CK-110-1277;CK-110-1278;CK-110-1335;CK-110-1337;CK-110-1373;CK-110-1398;CK-110-1407;CK-110-1410;CK-110-1413;CK-110-1419;CK-110-1429;CK-110-1432,0600,1,0,,exclude,Test-only scanner classification is outside the CLI/JSON contract release.
CK-110-M058,candidate,v1.10.2,S3,security,Container packaging should avoid unnecessary root execution where applicable,Container packaging should avoid unnecessary root execution where applicable,CK-110-0056;CK-110-0544,,1,0,,exclude,Container packaging/runtime privilege work is unrelated to v1.10.1 CLI contracts.
CK-110-M059,candidate,v1.10.2,S3,security,Classify test-only scanner findings,Test-only security scanner findings must be reviewed and suppressed only with rationale,CK-110-0018;CK-110-0028;CK-110-0064;CK-110-0074;CK-110-0094;CK-110-0183;CK-110-0247;CK-110-0283;CK-110-0292;CK-110-0327;CK-110-0411;CK-110-0443;CK-110-0462;CK-110-0465;CK-110-0518;CK-110-0519;CK-110-0522;CK-110-0538;CK-110-0556;CK-110-0575;CK-110-0576;CK-110-0591;CK-110-0681;CK-110-0716;CK-110-0835;CK-110-0944;CK-110-0984;CK-110-0999;CK-110-1017;CK-110-1144;CK-110-1172;CK-110-1263;CK-110-1286;CK-110-1288;CK-110-1313;CK-110-1341;CK-110-1395,,1,0,,exclude,Security scanner classification is outside the v1.10.1 release scope.
CK-110-M074,candidate,v1.10.2,S4,filesystem,Classify documentation style findings,Documentation style findings must be classified without blocking correctness releases,CK-110-0616,,1,0,,exclude,Documentation-style classification is not part of v1.10.1 remediation.
CK-110-M077,review-excluded-candidate,backlog,S3,benchmark,Review benchmark backlog correctness gaps,"Benchmark and comparison flows must detect malformed, mismatched, or unsafe inputs",CK-110-1459;CK-110-1506;CK-110-1536;CK-110-1556;CK-110-1562;CK-110-1563;CK-110-1574;CK-110-1584;CK-110-1585;CK-110-1586;CK-110-1590;CK-110-1626;CK-110-1631;CK-110-1633;CK-110-1635;CK-110-1640;CK-110-1648;CK-110-1649;CK-110-1654;CK-110-1655;CK-110-1667;CK-110-1685;CK-110-1687;CK-110-1688;CK-110-1689;CK-110-1694;CK-110-1695;CK-110-1711;CK-110-1743;CK-110-1793;CK-110-1795;CK-110-1802;CK-110-1809;CK-110-1826;CK-110-1827;CK-110-1866;CK-110-1867;CK-110-1888;CK-110-1928;CK-110-1935;CK-110-1936;CK-110-1950;CK-110-1959;CK-110-1973;CK-110-1974;CK-110-1983;CK-110-1984,scripts/compare_phase8_dedup_results.py;benchmark run --workers 0;benchmark;outputSupportedCommands;benchmark --output json;benchmark run --compare;benchmark run;--compare;--threshold;benchmark chunkers;benchmark chunkers --output json;--output;run_phase8_matrix.sh;scripts/run_phase8_gc_sequence.sh;--remove-ratio;.go;%s;validate_regression_thresholds.py;compare_phase8_gc_results.py;benchmark run --corpus;benchmark run --workers N;run_phase8_blocksize_matrix.sh;block_decode_count;compare_phase8_dedup_results.py --max-delta-ratio;benchmark run --workers +3;benchmark run --repeat +2;--repeat +2;Measure();fn,1,1,,exclude,Benchmark backlog review is outside the locked v1.10.1 scope.
CK-110-M078,candidate,backlog,S3,cli,Review CLI contract backlog behavior gaps,CLI commands must reject unsupported combinations and preserve explicit argument contracts,CK-110-1469;CK-110-1510;CK-110-1518;CK-110-1532;CK-110-1533;CK-110-1538;CK-110-1539;CK-110-1548;CK-110-1550;CK-110-1564;CK-110-1568;CK-110-1575;CK-110-1582;CK-110-1583;CK-110-1597;CK-110-1599;CK-110-1604;CK-110-1609;CK-110-1610;CK-110-1616;CK-110-1617;CK-110-1630;CK-110-1665;CK-110-1672;CK-110-1680;CK-110-1704;CK-110-1708;CK-110-1805;CK-110-1870;CK-110-1882;CK-110-1890;CK-110-1924,"search --extension .TXT;search;simulate --help --bad-flag;simulate store --codec plain --output json;list --sort foo;search --sort foo;config set compression-level 0;[1,9];none;search --extension txt;coldkeep search report;search --min-size 100 --max-size 10;init --output json;config get compression extra;config set compression zstd;config bad <valid-key>;config set compression ZSTD;config get compression-level;config;coldkeep init;init --compression-level;init --compression-level ""3 "";+3;search --extension ""."";config get;config set;simulate store-folder --codec plain --output json;list/search --limit +10;--offset +10;stats/inspect/simulate --help --trace --trace-json;list",4,0,Phase 10 — Tracker / Matrix Closure Update,needs-split,Backlog umbrella row mixes in-scope CLI contract gaps with later-release behavior issues; split into release-specific follow-up rows before closure.
CK-110-M079,review-excluded-candidate,backlog,S3,gc,Review removal and maintenance backlog behavior gaps,Removal and maintenance flows must preserve safety invariants under malformed inputs,CK-110-1504;CK-110-1505;CK-110-1543;CK-110-1561;CK-110-1746;CK-110-1779;CK-110-1780;CK-110-1862;CK-110-1864;CK-110-1969;CK-110-1979,repair ref-counts --input file;--input;repair ref-counts --fail-fast;--fail-fast;remove --limit;remove --dryRun;--failFast;repair ref-counts;simulate gc --help --trace --trace-json,1,1,,exclude,GC and maintenance backlog work is explicitly out of scope for v1.10.1.
CK-110-M080,review-excluded-candidate,backlog,S3,tooling,Review unclassified external backlog behavior gaps,Unclassified backlog findings must be assigned to concrete remediation invariants before closure,CK-110-1530;CK-110-1531;CK-110-1545;CK-110-1565;CK-110-1569;CK-110-1589;CK-110-1596;CK-110-1598;CK-110-1601;CK-110-1602;CK-110-1603;CK-110-1605;CK-110-1607;CK-110-1608;CK-110-1618;CK-110-1623;CK-110-1625;CK-110-1627;CK-110-1628;CK-110-1638;CK-110-1639;CK-110-1643;CK-110-1644;CK-110-1646;CK-110-1647;CK-110-1650;CK-110-1651;CK-110-1652;CK-110-1656;CK-110-1660;CK-110-1661;CK-110-1662;CK-110-1673;CK-110-1677;CK-110-1699;CK-110-1709;CK-110-1717;CK-110-1718;CK-110-1723;CK-110-1729;CK-110-1731;CK-110-1733;CK-110-1742;CK-110-1778;CK-110-1787;CK-110-1794;CK-110-1801;CK-110-1816;CK-110-1817;CK-110-1850;CK-110-1851;CK-110-1852;CK-110-1854;CK-110-1855;CK-110-1857;CK-110-1858;CK-110-1863;CK-110-1865;CK-110-1868;CK-110-1869;CK-110-1872;CK-110-1876;CK-110-1877;CK-110-1878;CK-110-1879;CK-110-1881;CK-110-1883;CK-110-1886;CK-110-1887;CK-110-1889;CK-110-1905;CK-110-1906;CK-110-1912;CK-110-1913;CK-110-1914;CK-110-1915;CK-110-1916;CK-110-1937;CK-110-1938;CK-110-1951;CK-110-1960;CK-110-1961;CK-110-1962;CK-110-1963;CK-110-1970;CK-110-1972;CK-110-1980;CK-110-1982;CK-110-1987;CK-110-1989,--output;store --codec plain;store-folder --codec plain --output json;doctor;help --output json;options='...';COLDKEEP_KEY;help --bad-flag;generateJSON;coldkeep version --bad-flag;ParseCodec;jq;README.md;sh -lc;tar;utils_env.GetenvOrDefaultInt64;jpeg_sim;psql;CGO_ENABLED=0;mattn/go-sqlite3;go test ./...;time.Duration;store-folder;int;--;CheckPhysicalFileGraphIntegrity();COMPLETED;ValidateCorpus();COLDKEEP_STRICT_RECOVERY;false;stats --help --trace --trace-json;doctor --output json;--fail-fast;COLDKEEP_COMPRESSION_LEVEL;zstd;COLDKEEP_STORE_FOLDER_WORKERS=+3;execution.FromEnv();NewLocalWriter();none;noneCompressor.Decompress();TransformPipeline;original_name;updatePhysicalFile();RunRegistry(),3,1,,exclude,Unclassified tooling backlog review is not part of the v1.10.1 work list.
CK-110-M081,review-excluded-candidate,backlog,S3,packed-storage,Review packed-storage parity and reachability gaps,Packed-storage and chunk-graph operations must preserve reachability and parity invariants,CK-110-1571;CK-110-1577;CK-110-1580;CK-110-1587;CK-110-1588;CK-110-1606;CK-110-1621;CK-110-1697;CK-110-1707;CK-110-1721;CK-110-1722;CK-110-1728;CK-110-1732;CK-110-1752;CK-110-1754;CK-110-1755;CK-110-1756;CK-110-1757;CK-110-1758;CK-110-1759;CK-110-1763;CK-110-1765;CK-110-1768;CK-110-1769;CK-110-1770;CK-110-1773;CK-110-1774;CK-110-1785;CK-110-1786;CK-110-1789;CK-110-1796;CK-110-1797;CK-110-1798;CK-110-1821;CK-110-1823;CK-110-1833;CK-110-1834;CK-110-1835;CK-110-1837;CK-110-1838;CK-110-1840;CK-110-1841;CK-110-1845;CK-110-1846;CK-110-1847;CK-110-1849;CK-110-1859;CK-110-1871;CK-110-1873;CK-110-1874;CK-110-1884;CK-110-1891;CK-110-1892;CK-110-1893;CK-110-1894;CK-110-1895;CK-110-1901;CK-110-1902;CK-110-1907;CK-110-1908;CK-110-1944;CK-110-1945;CK-110-1946;CK-110-1947;CK-110-1948;CK-110-1949;CK-110-1952;CK-110-1954;CK-110-1957;CK-110-1958;CK-110-1967;CK-110-1968;CK-110-1971;CK-110-1978;CK-110-1981;CK-110-1985;CK-110-1986,$2;O_TRUNC;O_EXCL;max_size;SimulatedWriter.SealContainer();sealing=TRUE;StorageBlockReader;stats;storage_blocks;simulate store;simulate store-folder;blocks.Repository.GetByChunkID();blocks.Repository.GetByChunkHash();replace;chunk_block_refs;COMPLETED;repair chunk-ref-counts;storage_blocks.codec;linkFileChunkWithContext();live_ref_count;FileContainer.SetSize();storage_blocks.logical_size;graph.getFileChunks();chunk_id;StoreService.ResolveActiveChunker();chunk.NewRegistry();ChunkID == 0;EncodePackedBlockV1FromChunks();NewStorageChunkResolver(nil);FileContainer.ReadAt();rows.Err();file_chunk;cleanupLogicalFileChunkMappingsWithContext();RemoveFileWithDBResult();UpdateContainerSize();SealContainerInDir(),1,2,,exclude,Packed-storage parity and reachability work is explicitly out of scope for v1.10.1.
CK-110-M084,candidate,backlog,S3,snapshot,Review snapshot behavior parity gaps,"Snapshot operations must enforce consistent path, collision, and lifecycle invariants",CK-110-1460;CK-110-1461;CK-110-1498;CK-110-1499;CK-110-1512;CK-110-1527;CK-110-1528;CK-110-1535;CK-110-1546;CK-110-1547;CK-110-1555;CK-110-1560;CK-110-1573;CK-110-1593;CK-110-1619;CK-110-1620;CK-110-1634;CK-110-1645;CK-110-1653;CK-110-1657;CK-110-1679;CK-110-1691;CK-110-1692;CK-110-1693;CK-110-1700;CK-110-1725;CK-110-1726;CK-110-1727;CK-110-1776;CK-110-1777;CK-110-1782;CK-110-1790;CK-110-1824;CK-110-1825;CK-110-1828;CK-110-1897;CK-110-1898;CK-110-1899;CK-110-1917;CK-110-1922;CK-110-1926;CK-110-1927;CK-110-1931;CK-110-1932;CK-110-1939;CK-110-1940;CK-110-1942;CK-110-1943;CK-110-1966;CK-110-1977;CK-110-1991,"snapshot create --tag "" a "";snapshot list --tag ""a "";""a"";snapshot create --from self;snapshot delete;snapshot create --from <missing>;snapshot;snapshot create --id;snapshot restore --workers 0;inspect file --id <snapshot-id>;snapshot list --path ../x;snapshot delete --force --dry-run;snapshot delete --dryRun;snapshot restore --mode override;NormalizeSnapshotPath(""."");..;snapshot list --tree --limit N;--mode override;snapshot restore --path <file> --mode override;ResolveSnapshotPaths();IN (...);LoadSnapshotPathsByID();SnapshotQuery.Match();snapshot_path;snapshot delete --force;snapshot_file.snapshot_id;NULL;snapshot_file""",1,0,Phase 10 — Tracker / Matrix Closure Update,needs-split,Snapshot backlog row mixes CLI contract cases with snapshot lifecycle/path work that belongs to later releases; split before closure.
CK-110-M085,candidate,backlog,S3,verify,Review verify and inspect behavior gaps,Verify and inspect commands must reject invalid inputs and preserve reporting invariants,CK-110-1522;CK-110-1524;CK-110-1529;CK-110-1542;CK-110-1544;CK-110-1552;CK-110-1553;CK-110-1668;CK-110-1703;CK-110-1744;CK-110-1745;CK-110-1753;CK-110-1766;CK-110-1767;CK-110-1771;CK-110-1772;CK-110-1775;CK-110-1818;CK-110-1819;CK-110-1820;CK-110-1822;CK-110-1829;CK-110-1831;CK-110-1839;CK-110-1844;CK-110-1856;CK-110-1875;CK-110-1896;CK-110-1919;CK-110-1920;CK-110-1921;CK-110-1933,"verify system fast;verify file 0;verify file -1;verify file 123 extra;extra;search --limit -1;inspect --limit -1;verify --workers 0;inspect repository;inspect --limit "" 10 "";inspect repository --limit;inspect chunk;inspect container;verify system;verifyStorageBlocks();compressed_hash;physical_hash;verify --fast;verify file --deep;verify file --output json;COLDKEEP_VERIFY_STRICT_SEGMENTS;VerifySystemDeep;inspect --help --trace --trace-json;logical_file.total_size;storage_blocks;chunk.size;blocks.plaintext_size",1,0,Phase 10 — Tracker / Matrix Closure Update,needs-split,Verify/inspect backlog row mixes v1.10.1 CLI misuse cases with deeper verify invariants; split into release-scoped follow-up rows.
CK-110-M086,candidate,v1.10.1,S2,cli,Reject flag-token values for value flags,Value flags must reject another flag token as their value,CK-110-1508;CK-110-1509,--output,3,0,Phase 4 — Value Flags Reject Flag Tokens,include,Direct v1.10.1 value-flag validation scope.
CK-110-M087,review-excluded-candidate,v1.10.5,S1,restore,Reject restore mode-specific flags outside valid mode,Restore mode-specific flags must be rejected outside their valid mode,CK-110-1500;CK-110-1501,restore;--mode;--stored-path;--destination,1,2,,defer,Restore mode-specific flag validation is intentionally deferred to the restore/recovery release.
CK-110-M088,candidate,v1.10.6,S2,tooling,Harden script JSON emission contract,Release scripts must emit standards-compliant JSON,CK-110-1457;CK-110-1490;CK-110-1523;CK-110-1808,summarize_phase8_blocksize.py;Infinity;NaN;scripts/summarize_phase8_blocksize.py --json-output;simulate store --codec plain --output json;validate_regression_thresholds.py --json-report,3,0,,defer,Script JSON-emission hardening is JSON-related but intentionally kept with later tooling/release automation work.
