matrix_id,current_severity,release_target,domain,data_loss_risk,security_risk,recovery_risk,title,candidate_reason,review_decision,final_severity,review_rationale,required_followup
CK-110-M011,S1,v1.10.2,filesystem,none,medium,none,Filesystem permission scanner findings must be reviewed by runtime area and threat model,severity=S1; critical_domain=filesystem; keyword=unsafe,confirmed-s1,S1,"Candidate remains critical for filesystem because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.2 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M011."
CK-110-M012,S1,v1.10.2,security,none,medium,none,Review dynamic SQL scanner findings,severity=S1; keyword=unsafe,confirmed-s1,S1,"Candidate remains critical for security because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.2 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M012."
CK-110-M013,S1,v1.10.2,validation,medium,none,none,Reject empty or whitespace-only filters,severity=S1; data_loss_risk=medium; keyword=unsafe,confirmed-s1,S1,"Candidate remains critical for validation because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.2 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M013."
CK-110-M014,S1,v1.10.4,gc,medium,medium,none,Review dynamic SQL scanner findings,severity=S1; data_loss_risk=medium; critical_domain=gc; keyword=gc;refcount,confirmed-s1,S1,"Candidate remains critical for gc because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.4 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M014."
CK-110-M015,S1,v1.10.5,restore,medium,medium,none,Review dynamic filesystem path scanner findings,severity=S1; data_loss_risk=medium; critical_domain=restore; keyword=path;recovery;restore;unsafe,confirmed-s1,S1,"Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.5 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M015."
CK-110-M016,S1,v1.10.5,restore,medium,medium,none,Filesystem permission scanner findings must be reviewed by runtime area and threat model,severity=S1; data_loss_risk=medium; critical_domain=restore; keyword=recovery;restore;unsafe,confirmed-s1,S1,"Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.5 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M016."
CK-110-M017,S1,v1.10.5,restore,medium,none,medium,Restore mode value flags must reject empty values before fallback behavior,severity=S1; data_loss_risk=medium; recovery_risk=medium; critical_domain=restore; keyword=recovery;restore;unsafe,confirmed-s1,S1,"Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.5 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M017."
CK-110-M018,S1,v1.10.6,benchmark,none,medium,none,Command execution findings must be reviewed for trusted executable and argument boundaries,severity=S1,confirmed-s1,S1,"Candidate remains critical for benchmark because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M018."
CK-110-M019,S1,v1.10.6,benchmark,none,medium,none,Review dynamic filesystem path scanner findings,severity=S1; keyword=path,confirmed-s1,S1,"Candidate remains critical for benchmark because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M019."
CK-110-M020,S1,v1.10.6,benchmark,none,medium,none,Filesystem permission scanner findings must be reviewed by runtime area and threat model,severity=S1,confirmed-s1,S1,"Candidate remains critical for benchmark because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M020."
CK-110-M021,S1,v1.10.6,benchmark,none,medium,none,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic u,severity=S1,confirmed-s1,S1,"Candidate remains critical for benchmark because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M021."
CK-110-M022,S1,v1.10.6,ci,none,medium,none,Codacy finding must be classified before enforcement,severity=S1; critical_domain=ci,confirmed-s1,S1,"Candidate remains critical for ci because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M022."
CK-110-M023,S1,v1.10.6,codacy,none,medium,none,Command execution findings must be reviewed for trusted executable and argument boundaries,severity=S1,confirmed-s1,S1,"Candidate remains critical for codacy because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M023."
CK-110-M024,S2,backlog,migration,none,none,none,Review production complexity hotspots,critical_domain=migration; keyword=path,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",backlog should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M024.
CK-110-M025,S2,backlog,snapshot,none,none,none,Review production complexity hotspots,keyword=path,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",backlog should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M025.
CK-110-M026,S2,backlog,storage,medium,none,none,Review production complexity hotspots,data_loss_risk=medium; critical_domain=storage; keyword=path,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",backlog should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M026.
CK-110-M027,S2,backlog,verify,medium,none,none,Review production complexity hotspots,data_loss_risk=medium; critical_domain=verify; keyword=path,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",backlog should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M027.
CK-110-M031,S2,v1.10.2,filesystem,none,none,none,Review production complexity hotspots,critical_domain=filesystem; keyword=path;unsafe,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.2 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M031.
CK-110-M032,S2,v1.10.2,snapshot,none,none,none,Snapshot tag input and filtering must use consistent normalization,keyword=snapshot;unsafe,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.2 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M032.
CK-110-M033,S2,v1.10.2,validation,none,none,none,CLI validation must happen before repository initialization when possible,keyword=unsafe,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.2 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M033.
CK-110-M034,S2,v1.10.2,validation,none,none,none,Reject invalid numeric and non-finite values,keyword=unsafe,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.2 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M034.
CK-110-M035,S2,v1.10.3,packed-storage,medium,none,none,Review production complexity hotspots,data_loss_risk=medium; critical_domain=packed-storage; keyword=path;verify,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.3 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M035.
CK-110-M036,S2,v1.10.4,gc,medium,none,none,Review production complexity hotspots,data_loss_risk=medium; critical_domain=gc; keyword=gc;path;refcount,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.4 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M036.
CK-110-M037,S2,v1.10.5,recovery,medium,none,medium,Review production complexity hotspots,data_loss_risk=medium; recovery_risk=medium; critical_domain=recovery; keyword=path;recovery;restore;unsafe,confirmed-s1,S1,"Candidate remains critical for recovery because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.5 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M037."
CK-110-M038,S2,v1.10.5,restore,medium,none,none,Review production complexity hotspots,data_loss_risk=medium; critical_domain=restore; keyword=path;recovery;restore;unsafe,confirmed-s1,S1,"Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.5 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M038."
CK-110-M039,S2,v1.10.6,benchmark,none,none,none,Reject duplicate benchmark case identities,requires_ci_gate,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M039.
CK-110-M040,S2,v1.10.6,benchmark,none,none,none,Benchmark comparison must reject self-comparison and invalid input pairing,requires_ci_gate,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M040.
CK-110-M041,S2,v1.10.6,benchmark,none,none,none,Validate benchmark report type and envelope,requires_ci_gate,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M041.
CK-110-M042,S2,v1.10.6,benchmark,none,none,none,Reject invalid numeric and non-finite values,requires_ci_gate,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M042.
CK-110-M043,S2,v1.10.6,ci,none,none,none,Harden release and benchmark script output validation,critical_domain=ci; requires_ci_gate,confirmed-s1,S1,"Candidate remains critical for ci because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M043."
CK-110-M044,S2,v1.10.6,codacy,none,none,none,Review production complexity hotspots,keyword=path,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M044.
CK-110-M045,S2,v1.10.6,tooling,none,none,none,Release and benchmark scripts must not mask failures or mishandle unsafe inputs,requires_ci_gate; keyword=unsafe,confirmed-s1,S1,"Candidate remains critical for tooling because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.6 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M045."
CK-110-M046,S2,v1.10.6,tooling,none,none,none,Harden release and benchmark script output validation,requires_ci_gate,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M046.
CK-110-M047,S3,backlog,migration,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=migration,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M047.
CK-110-M048,S3,backlog,migration,none,none,none,Classify test-only scanner findings,critical_domain=migration,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M048.
CK-110-M051,S3,backlog,storage,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=storage,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M051.
CK-110-M052,S3,backlog,storage,none,none,none,Classify test-only scanner findings,critical_domain=storage,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M052.
CK-110-M054,S3,backlog,verify,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=verify,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M054.
CK-110-M055,S3,backlog,verify,none,none,none,Classify test-only scanner findings,critical_domain=verify,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M055.
CK-110-M056,S3,v1.10.2,filesystem,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=filesystem; keyword=unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.2; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M056.
CK-110-M057,S3,v1.10.2,filesystem,none,none,none,Classify test-only scanner findings,critical_domain=filesystem; keyword=unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.2; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M057.
CK-110-M058,S3,v1.10.2,security,none,low,none,Container packaging should avoid unnecessary root execution where applicable,keyword=unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.2; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M058.
CK-110-M059,S3,v1.10.2,security,none,none,none,Classify test-only scanner findings,keyword=unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.2; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M059.
CK-110-M060,S3,v1.10.3,packed-storage,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=packed-storage; keyword=path;verify,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.3; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M060.
CK-110-M061,S3,v1.10.3,packed-storage,none,none,none,Classify test-only scanner findings,critical_domain=packed-storage; keyword=path;verify,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.3; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M061.
CK-110-M062,S3,v1.10.4,gc,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=gc; keyword=gc;refcount,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.4; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M062.
CK-110-M063,S3,v1.10.4,gc,none,none,none,Classify test-only scanner findings,critical_domain=gc; keyword=gc;refcount,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.4; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M063.
CK-110-M064,S3,v1.10.5,recovery,none,none,medium,Test complexity findings must be reviewed without weakening invariant coverage,recovery_risk=medium; critical_domain=recovery; keyword=recovery;restore;unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.5; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M064.
CK-110-M065,S3,v1.10.5,recovery,none,none,medium,Classify test-only scanner findings,recovery_risk=medium; critical_domain=recovery; keyword=recovery;restore;unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.5; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M065.
CK-110-M066,S3,v1.10.5,restore,none,none,none,Test complexity findings must be reviewed without weakening invariant coverage,critical_domain=restore; keyword=recovery;restore;unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.5; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M066.
CK-110-M067,S3,v1.10.5,restore,none,none,none,Classify test-only scanner findings,critical_domain=restore; keyword=recovery;restore;unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in v1.10.5; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M067.
CK-110-M074,S4,v1.10.2,filesystem,none,none,none,Classify documentation style findings,critical_domain=filesystem; keyword=unsafe,downgraded-s4,S4,Candidate appears low-risk/non-blocking in current context; retain traceability and avoid treating it as release-blocking without new evidence.,Keep tracked in v1.10.2 and re-evaluate if domain usage or threat context changes for CK-110-M074.
CK-110-M075,S4,v1.10.4,gc,medium,none,none,Codacy finding must be classified before enforcement,data_loss_risk=medium; critical_domain=gc; keyword=gc;refcount,downgraded-s4,S4,Candidate appears low-risk/non-blocking in current context; retain traceability and avoid treating it as release-blocking without new evidence.,Keep tracked in v1.10.4 and re-evaluate if domain usage or threat context changes for CK-110-M075.
CK-110-M077,S3,backlog,benchmark,none,none,none,Review benchmark backlog correctness gaps,requires_ci_gate; keyword=unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M077.
CK-110-M079,S3,backlog,gc,none,none,none,Review removal and maintenance backlog behavior gaps,critical_domain=gc,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M079.
CK-110-M081,S3,backlog,packed-storage,none,none,none,Review packed-storage parity and reachability gaps,critical_domain=packed-storage,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M081.
CK-110-M082,S3,backlog,restore,none,none,none,Review restore and recovery backlog behavior gaps,critical_domain=restore; keyword=recovery;restore;unsafe,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M082.
CK-110-M083,S3,backlog,tooling,none,none,none,Review script and tooling backlog behavior gaps,requires_ci_gate,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M083.
CK-110-M084,S3,backlog,snapshot,none,none,none,Review snapshot behavior parity gaps,keyword=path;snapshot,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M084.
CK-110-M085,S3,backlog,verify,none,none,none,Review verify and inspect behavior gaps,critical_domain=verify; keyword=verify,downgraded-s3,S3,Candidate is meaningful for quality/safety posture but currently appears moderate (S3) with no direct evidence of critical-path catastrophic impact.,Track in backlog; keep documented rationale and promote only if new evidence shows critical-path risk for CK-110-M085.
CK-110-M087,S2,v1.10.5,restore,medium,none,medium,Reject restore mode-specific flags outside valid mode,data_loss_risk=medium; recovery_risk=medium; critical_domain=restore; keyword=path;recovery;restore;unsafe,confirmed-s1,S1,"Candidate remains critical for restore because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.5 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M087."
CK-110-M088,S2,v1.10.6,tooling,none,none,none,Harden script JSON emission contract,requires_ci_gate,downgraded-s2,S2,"Candidate is real and non-trivial, but current evidence supports major risk (S2) rather than critical S1; risk remains tracked with release-targeted remediation.",v1.10.6 should implement scoped hardening/tests and retain matrix linkage until acceptance criteria pass for CK-110-M088.
