id,rule_name,rule_category,rule_priority,applies_to,migration_gate,evidence_source,related_invariants,related_operation_candidates,violation_severity,rule_statement,required_evidence,validation_notes,notes
MIG-11012-015,preserve_verify_packed_legacy_parity,failure_semantics,P1,verify,release_gate_only,phase5_invariant_owner,"INV-11012-013","OPC-11012-014",high,"packed and legacy storage formats must be treated equivalently in both verification and GC reachability; format-specific code paths must remain in parity","verify on packed-format repo and legacy-format repo both pass or both fail correctly; GC reachability covers both formats","run verify on repos with both storage formats; confirm equivalent behavior; confirm GC reachability covers both",Rule only; no behavior change
MIG-11012-016,preserve_recovery_quarantine_behavior,failure_semantics,P0,recovery,must_before_move,phase5_invariant_owner,"INV-11012-017","OPC-11012-016",release_blocker,"recovery quarantine must remain fail-closed; stat() error must abort recovery not skip; corrupt mappings must not be legitimized; any boundary move must preserve this behavior","recovery with stat-error path aborts with exit code 4; corrupt container not marked valid after recovery","simulate stat failure in recovery; confirm abort not skip; confirm corrupt container remains quarantined",Rule only; must not legitimize corrupt mappings
MIG-11012-017,preserve_startup_recovery_gate,ordering_preservation,P0,recovery,must_before_move,phase5_invariant_owner,"INV-11012-018","OPC-11012-016; OPC-11012-031",release_blocker,"recovery gate must always run before any DB write by other operations; OpenLocalStorage ordering must not change; any storage_context boundary work must preserve this gate","OpenLocalStorage call sequence unchanged; recovery runs before any mutating operation in integration test","trace OpenLocalStorage call order; confirm recovery precedes all mutations; diff shows no reordering",Rule only; sequencing is the invariant
MIG-11012-018,preserve_gc_dry_run_live_equivalence,ordering_preservation,P0,gc,must_during_wrap,phase5_invariant_owner,"INV-11012-006","OPC-11012-011",critical,"dry-run and live-run must compute identical reachability sets throughout all wrapping stages; any divergence introduced during wrapping is a correctness bug","GC dry-run and live-run produce same would-delete set on same repo snapshot before and after wrapper","compare dry-run output with live-run candidates on identical input; confirm zero divergence at each wrapping stage",Rule only; single reachability path enforces equivalence
MIG-11012-019,preserve_list_search_deterministic_ordering,ordering_preservation,P1,search_list,must_during_wrap,phase5_invariant_owner,"INV-11012-023","OPC-11012-021; OPC-11012-022",high,"list and search results must be deterministically ordered after wrapping; pagination must not skip or duplicate rows; MaxPaginationLimit must continue to be enforced","repeated list/search calls on same data return identical result order; pagination with offset produces no duplicates","run list twice on identical data; compare output order; test pagination with small limit and offset to confirm no skips or duplicates",Rule only; no behavior change
MIG-11012-020,preserve_migration_bootstrap_compatibility,ordering_preservation,P0,repository_lifecycle,must_before_move,phase5_invariant_owner,"INV-11012-020","OPC-11012-030; OPC-11012-031",critical,"schema migration must complete before any operations; ConnectDB then EnsureSchema then recovery gate bootstrap sequence must remain ordered; any storage_context work must preserve this","bootstrap sequence unchanged in code review; no operation runs before schema migration in integration test","trace ConnectDB then EnsureSchema then recovery sequence in startup path; confirm ordering in integration test",Rule only; no behavior change
MIG-11012-021,preserve_cli_exit_codes,json_cli_contract,P0,json_output,release_gate_only,phase5_invariant_owner,"INV-11012-026","OPC-11012-014; OPC-11012-016; OPC-11012-017; OPC-11012-032",release_blocker,"exit codes 1 (general), 2 (usage), 3 (verify failure), 4 (recovery failure) must not change at any phase; automation scripts depend on exact values","exit code matrix (1/2/3/4) tested before and after any engine boundary work","run exit code smoke tests for all four exit codes; confirm no exit code changes introduced by any boundary work PR",Rule only; exit codes are frozen automation contract
MIG-11012-022,preserve_json_output_shape,json_cli_contract,P0,json_output,release_gate_only,phase5_invariant_owner,"INV-11012-025","OPC-11012-032",release_blocker,"JSON error envelope shape (invariant_code, recommended_action, dbHint, verifyDetails) is frozen and must not drift during engine extraction; shape is a public automation contract","JSON output schema test passes before and after engine boundary work; no fields added, removed, or renamed","run JSON output tests for error envelope shape; diff JSON output schema before and after each boundary work PR",Rule only; frozen contract
MIG-11012-023,preserve_json_no_human_side_channel,json_cli_contract,P1,json_output,release_gate_only,phase2_cli_coupling,"INV-11012-025; INV-11012-026","OPC-11012-032",high,"JSON output mode must not emit human-readable side-channel text outside the JSON envelope; any new operation paths added during engine work must honor the JSON-only contract","JSON output mode produces parseable JSON only; no stderr/stdout human text outside envelope","run all commands in --json mode; confirm output is parseable JSON; grep for any non-JSON lines in stdout",Rule only; no behavior change
MIG-11012-024,preserve_validation_before_mutation,validation_boundary,P1,all_engine_candidates,must_before_move,phase5_invariant_owner,"INV-11012-027","OPC-11012-021; OPC-11012-022; OPC-11012-023",high,"CLI validation-before-mutation ordering must be preserved; numeric flags must be validated at CLI boundary before any DB access; validation must remain at CLI boundary even after engine extraction","invalid flag value produces usage error without DB access; MaxPaginationLimit enforced before query","test invalid limit/offset/workers flags; confirm error without DB side effects; confirm MaxPaginationLimit enforced",Rule only; validation-before-mutation stays in CLI boundary
MIG-11012-025,preserve_cli_command_syntax,validation_boundary,P0,all_engine_candidates,release_gate_only,phase2_cli_coupling,"INV-11012-027; INV-11012-028","OPC-11012-024; OPC-11012-025; OPC-11012-032",release_blocker,"all CLI command names, flag names, and flag semantics must be preserved; engine boundary work must not change how users invoke commands","--help output identical before and after engine boundary work; all flag names and behaviors preserved","diff --help output before and after engine boundary work; confirm no flag renames or semantic changes",Rule only; frozen CLI contract
MIG-11012-026,preserve_restore_deterministic_ordering,ordering_preservation,P0,restore,must_during_wrap,phase5_invariant_owner,"INV-11012-001; INV-11012-010","OPC-11012-003; OPC-11012-009",critical,"restore chunk sequencing must be deterministic after wrapping; snapshot restore must apply same chunk-ordering invariants as single-file restore for every file in the batch","repeated restore of same snapshot produces identical output tree hash; chunk order verified in restore log","restore same snapshot twice; confirm identical output tree hash; confirm chunk ordering matches logged sequence",Rule only; snapshot restore delegates to file restore path
MIG-11012-027,preserve_sqlite_postgres_compatibility,catalog_boundary,P0,repository_lifecycle,must_before_catalog_facade,phase5_invariant_owner,"INV-11012-021","OPC-11012-030; OPC-11012-031",release_blocker,"SQLite and PostgreSQL schema migrations must remain in parity; any catalog boundary work must not introduce SQLite-only assumptions; PostgreSQL compatibility is a hard requirement","catalog facade work runs against both SQLite and PostgreSQL; schema migration passes for both backends","run integration tests against both database backends; confirm no SQLite-only assumption in new catalog boundary code",Rule only; PostgreSQL compatibility must not be removed
MIG-11012-028,do_not_introduce_production_engine_apis,release_control,P0,all_engine_candidates,release_gate_only,v1.10_release_evidence,"INV-11012-001; INV-11012-005; INV-11012-011; INV-11012-014","OPC-11012-001; OPC-11012-003; OPC-11012-011; OPC-11012-013",release_blocker,"production engine Go interfaces, Go request structs, and Go result structs must not be introduced before contract evidence is complete; v1.10.12 establishes that evidence base","no new exported Go interfaces with engine naming introduced; go doc diff shows no new production API types","grep internal/ cmd/ for new exported Engine/Catalog type names not present in baseline; review any new exported types",Rule only; no implementation in v1.10.12
MIG-11012-029,do_not_introduce_catalog_abstraction_before_inventory,release_control,P0,all_catalog_candidates,release_gate_only,v1.10_release_evidence,"INV-11012-008; INV-11012-009; INV-11012-016; INV-11012-019","OPC-11012-005; OPC-11012-008; OPC-11012-015",release_blocker,"catalog abstraction must not be introduced before the SQLite/PostgreSQL assumption inventory is complete; Phase 7 is a prerequisite for catalog facade work","Phase 7 SQLite/PostgreSQL assumption inventory complete before any catalog interface is defined","confirm Phase 7 committed and Phase 7 gates satisfied before any catalog Go interface PR is opened",Rule only; Phase 7 is prerequisite
MIG-11012-030,do_not_introduce_sqlite_only_behavior,release_control,P0,repository_lifecycle,release_gate_only,phase5_invariant_owner,"INV-11012-021","OPC-11012-030; OPC-11012-031",release_blocker,"no engine or catalog boundary work may introduce SQLite-only behavior; every new path must be compatible with both SQLite and PostgreSQL","PostgreSQL integration test suite passes after every engine boundary commit","run CI against PostgreSQL backend; grep new boundary code for SQLite-specific calls; reject any PR that introduces SQLite-only paths",Rule only; no PostgreSQL-incompatible path acceptable
MIG-11012-031,do_not_remove_postgresql_paths_or_tests,release_control,P0,repository_lifecycle,release_gate_only,phase3_db_fs_access,"INV-11012-021","OPC-11012-030; OPC-11012-031",release_blocker,"PostgreSQL code paths in internal/db and PostgreSQL integration tests must not be removed at any phase; removal constitutes a compatibility regression","no PostgreSQL test file deleted; no EnsurePostgresSchema path removed; db/schema_postgres.sql present and unchanged","grep for removed PostgreSQL test files and schema paths in every engine boundary PR; confirm db/schema_postgres.sql intact",Rule only; PostgreSQL compatibility is preserved
MIG-11012-032,preserve_repository_capability_derivation,ordering_preservation,P1,repository_lifecycle,must_before_move,phase4_operation_candidate,"INV-11012-020","OPC-11012-030; OPC-11012-031",high,"repository capability flags and configuration defaults must be derived correctly at open time; any storage-context boundary work must not change how capabilities are derived or defaulted","repository open on existing repo produces same capability flags before and after storage-context boundary work","open existing repo; compare capability flags and config defaults before and after boundary work; confirm identical derivation",Rule only; no behavior change
MIG-11012-033,preserve_benchmark_simulation_semantics,release_control,P2,benchmark,must_before_daemon,phase5_invariant_owner,"INV-11012-029; INV-11012-030","OPC-11012-026; OPC-11012-027; OPC-11012-028; OPC-11012-029",medium,"benchmark temporary DB lifetime and simulation ParseStorageContext semantics must be preserved until daemon/catalog facade is in place; simulation must never acquire production advisory lock","benchmark temp DB dropped on completion and failure; simulation does not appear in production DB advisory lock traces","run benchmark; confirm temp DB absent after completion or error; run simulate; confirm no advisory lock acquired",Rule only; defer until catalog facade
MIG-11012-034,prove_invariant_tests_still_pass,test_evidence,P0,all_engine_candidates,must_after_wrap_before_refactor,v1.10_release_evidence,"INV-11012-001; INV-11012-005; INV-11012-011; INV-11012-014; INV-11012-015; INV-11012-017","OPC-11012-001; OPC-11012-003; OPC-11012-009; OPC-11012-011; OPC-11012-013; OPC-11012-016",release_blocker,"all targeted invariant tests must pass after wrapping and before any refactoring; failing tests at this stage mean wrapping introduced a behavior change","go test ./... passes with no regression after wrapper is in place; critical coverage script reports no reduction","run go test ./... and scripts/critical_coverage.sh after wrapper; confirm no regression; failing tests block the wrap stage",Rule only; no implementation in v1.10.12
MIG-11012-035,record_before_after_command_behavior,test_evidence,P1,all_engine_candidates,must_after_wrap_before_refactor,v1.10_release_evidence,"INV-11012-001; INV-11012-005; INV-11012-011; INV-11012-025; INV-11012-026","OPC-11012-001; OPC-11012-003; OPC-11012-011; OPC-11012-013; OPC-11012-032",high,"every v1.11 migration step must record before/after CLI output, JSON output, exit codes, tests run, and database backend coverage; without this evidence the step must not be merged","PR description includes before/after command outputs; JSON diff shows no shape change; exit code behavior documented","review PR template compliance before merge; reject PRs without before/after evidence record",Rule only; evidence requirement applies to every v1.11 engine boundary commit
