id,area,file_path,function_or_symbol,access_category,risk_surface,future_boundary,summary,evidence,notes
DBFS-11012-011,Snapshot,internal/snapshot/snapshot.go,DeleteSnapshot(),db_write,high,catalog_boundary_candidate,Deletes snapshot metadata rows,ExecContext(DELETE FROM snapshot WHERE id=?),Metadata only; data unaffected
DBFS-11012-012,Snapshot,internal/snapshot/path_resolver.go,ResolveSnapshotPath(),db_transaction,medium,catalog_boundary_candidate,Upserts snapshot_path rows; returns path ID,ExecContext(INSERT OR IGNORE); QueryRowContext(SELECT id),Idempotent path resolution
DBFS-11012-013,Snapshot,internal/snapshot/snapshot.go,ListSnapshots(),db_read,medium,operation_contract_candidate,Lists snapshots with filtering and sorting,QueryContext() with WHERE/ORDER BY,Read-only metadata
DBFS-11012-014,Snapshot,internal/snapshot/snapshot.go,DiffSnapshotsSummarySQL(),db_read,medium,operation_contract_candidate,Computes diff summary between two snapshots,QueryContext() with set difference joins,Analytical query
DBFS-11012-015,Snapshot,internal/snapshot/snapshot.go,RestoreSnapshot(),db_read,high,operation_contract_candidate,Loads snapshot files and plans restore,QueryContext() to load snapshot files,Coordinates with storage layer
DBFS-11012-016,Verify,internal/verify/verify_repository.go,VerifyRepository(),db_read,high,operation_contract_candidate,Full repository verification with GC safety checks,QueryContext() on container/block/chunk tables,Fail-closed; blocks GC if issues found
DBFS-11012-017,Verify,internal/verify/verify_repository.go,verifyBlockPayloads(),db_read,high,operation_contract_candidate,Verifies block payloads match chunk hashes,QueryContext() + filesystem reads for payload content,Deep integrity check
DBFS-11012-018,Verify,internal/verify/verify_repository.go,verifyBlockPayloadsFast(),db_read,medium,operation_contract_candidate,Fast block verification (metadata only),QueryContext() without full content check,Quick integrity gate
DBFS-11012-019,Recovery,internal/recovery/system_recovery.go,SystemRecoveryWithContainersDir(),db_transaction,critical,operation_contract_candidate,Startup recovery: abort incomplete ops + quarantine,quarantineMissingContainers(); quarantineOrphanContainers(); quarantineCorruptActiveContainerTails(),Must not legitimize corrupt mappings
DBFS-11012-020,Recovery,internal/recovery/system_recovery.go,quarantineMissingContainers(),db_write,high,operation_contract_candidate,Quarantines containers missing from filesystem,ExecContext(UPDATE container SET quarantine=TRUE),Fail-closed on stat() error
DBFS-11012-021,Recovery,internal/recovery/system_recovery.go,quarantineOrphanContainers(),db_write,high,operation_contract_candidate,Quarantines containers not in physical_file,ExecContext(UPDATE container SET quarantine=TRUE WHERE id NOT IN(SELECT container_id FROM physical_file)),Prevents GC on orphans
DBFS-11012-022,Maintenance,internal/maintenance/stats.go,RunStatsResultWithDB(),db_read,medium,operation_contract_candidate,Comprehensive stats collection,Multiple QueryRowContext() aggregation calls,Read-only; no schema assumptions
DBFS-11012-023,Maintenance,internal/maintenance/repair_refcounts.go,RepairLogicalRefCountsResultWithDB(),db_transaction,high,operation_contract_candidate,Repairs logical_file.ref_count atomically,BeginTx(); QueryRowContext(); ExecContext(UPDATE); Commit(),Must not partially repair
DBFS-11012-024,Filesystem,internal/storage/restore.go,restoreFileWithDBAndDir(),restore_destination_access,critical,filesystem_boundary_candidate,Restore destination write with atomic temp+rename,fsys.MkdirAll(); fsys.OpenFile(O_CREATE|O_WRONLY|O_TRUNC); fsys.Sync(); fsys.Rename(),fsync before close + rename for durability
DBFS-11012-025,Filesystem,internal/container/local_writer.go,AppendPayload(),filesystem_write,critical,filesystem_boundary_candidate,Block payload write to container file with fsync,fsys.OpenFile(container_path); Write(); Sync() on error + Truncate(),Durability-critical; fsync before DB commit
DBFS-11012-026,Filesystem,internal/maintenance/gc.go,GC container deletion,gc_delete_access,critical,filesystem_boundary_candidate,Deletes empty container files after DB commit,fsys.Remove(container_path),File only deleted after DB row committed
DBFS-11012-027,Filesystem,internal/recovery/system_recovery.go,Recovery quarantine filesystem checks,recovery_quarantine_access,high,filesystem_boundary_candidate,Checks container file existence during recovery,fsys.Stat(container_path); fsys.ReadDir(containers_dir),Fail-closed; stat error aborts recovery
DBFS-11012-028,Filesystem,internal/fsx/osfs.go,OSFS interface,container_access,low,keep_internal,Filesystem abstraction delegating to os package,os.Open; os.OpenFile; os.Stat; os.MkdirAll; os.Rename; os.Remove; os.ReadDir,Seam for testability
DBFS-11012-029,Filesystem,internal/storage/restore.go,syncRestoredFileDir(),filesystem_sync,high,filesystem_boundary_candidate,Syncs parent directory after file rename,fsys.Open(dirname); Sync(),Ensures filename persists to disk
DBFS-11012-030,Storage Context,internal/storage/context.go,LoadDefaultStorageContext(),storage_context,medium,storage_context_boundary_candidate,Constructs default StorageContext from environment,db.ConnectDB(); container.NewLocalWriter(...),Used before recovery in CLI main
DBFS-11012-031,Storage Context,internal/storage/context.go,OpenLocalStorage(),storage_context,critical,engine_boundary_candidate,Runs recovery then opens StorageContext,recovery.SystemRecoveryWithContainersDir(); db.ConnectDB(); container.NewLocalWriter(...),Recommended entry point; bundles startup
DBFS-11012-032,Storage Context,internal/storage/context.go,ParseStorageContext(),storage_context,medium,engine_boundary_candidate,Low-level StorageContext construction without recovery,db.ConnectDB() or simulated mode,For callers managing recovery separately
DBFS-11012-033,Container,internal/container/local_writer.go,NewLocalWriterWithDirAndDB(),container_access,high,engine_boundary_candidate,LocalWriter creation bound to DB and containers dir,DB transaction context + directory path setup,Core container writer setup
DBFS-11012-034,Container,internal/container/local_writer.go,FinalizeContainer(),filesystem_sync,critical,operation_contract_candidate,Finalizes active container: sync + close + DB update,fsys.File.Sync(); fsys.File.Close(); DB metadata updates,Durability gate; must complete before next append
DBFS-11012-035,Transaction,internal/maintenance/gc.go,GC per-container transaction scope,db_transaction,critical,operation_contract_candidate,Each dead container deleted in separate transaction,BeginTx() -> delete row + advisory lock check -> Commit() -> remove file,Crash-safe; file deleted only after commit
DBFS-11012-036,Transaction,internal/snapshot/snapshot.go,CreateSnapshotWithOptions transaction,db_transaction,critical,operation_contract_candidate,Atomic snapshot creation in single BeginTx/Commit,insertSnapshot() + insertSnapshotFiles() in one tx,No partial snapshots possible
DBFS-11012-037,Transaction,internal/maintenance/repair_refcounts.go,Repair transaction scope,db_transaction,high,operation_contract_candidate,Full ref-count repair in single transaction,BeginTx() -> count all physical_file entries -> UPDATE logical_file -> Commit(),Atomic; no intermediate inconsistency
DBFS-11012-038,Repository,internal/storage/context.go,StorageContext.Close(),repository_bootstrap,medium,storage_context_boundary_candidate,Releases all resources: writer + DB + temp cleanup,sgctx.Writer.FinalizeContainer(); sgctx.DB.Close(); os.Remove(tempDB),Idempotent; safe to call multiple times
DBFS-11012-039,Block,internal/verify/verify_repository.go,FilesystemContainerReader,block_access,high,operation_contract_candidate,Reads block/container payloads for verification,filepath.Join(containersDir, filename); os.Open; Read(),Readonly; verify only
DBFS-11012-040,Config,cmd/coldkeep/main.go,env config loading,config_access,low,keep_internal,Environment variable config loading for storage context,os.Getenv(COLDKEEP_*) calls in CLI and context construction,Config from environment; no config file in production path
