ck_id,matrix_id,source_id,source_tool,source_rule,source_file,area,severity,domain,title,recommended_action
CK-110-0022,CK-110-M069,2d5018fe305ce1c1d054f6afad1e3ff3,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,internal/benchmark/determinism_test.go,test,S3,benchmark,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0023,CK-110-M057,22abb432263d0fc7476f9f66b7d5702,Opengrep,Semgrep_go_filesystem_rule-fileread,internal/iodebug/counters_test.go,test,S3,filesystem,The application dynamically constructs file or path information.,review-for-suppression-or-backlog
CK-110-0024,CK-110-M068,8a10962f97f53c738c4819fea6eab0fd,Lizard,Lizard_ccn-medium,internal/benchmark/corpus_test.go,test,S3,benchmark,Method TestStandardCorpora has a cyclomatic complexity of 21 (limit is 8),review-for-suppression-or-backlog
CK-110-0025,CK-110-M063,5ad3b80238bcca64aed16903b2fe9fcb,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,tests/adversarial/g4_non_destructive_gc_adversarial_test.go,test,S3,gc,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0026,CK-110-M072,fb94ef4d9ae2c699acc5ad90a188bc72,markdownlint,markdownlint_MD032,docs/BENCHMARK_METRICS.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0028,CK-110-M059,c85ebf63a512ea8e1729af06f7645230,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/observability/service_test.go,test,S3,security,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0031,CK-110-M060,8f1d2a813ade071eca5df8bac0b1b44c,Lizard,Lizard_ccn-medium,internal/storage/storage_block_reader_test.go,test,S3,packed-storage,Method TestStorageBlockReaderCompressedHashMismatchEncryptedBeforeDecompress has a cyclomatic complexity of 10,review-for-suppression-or-backlog
CK-110-0033,CK-110-M048,f884e15e1e8cc7c51f01ba472f49bde0,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/db/migrations_test.go,test,S3,migration,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0034,CK-110-M051,a39838f3d5b5d2e997611b579867bed7,Lizard,Lizard_nloc-medium,internal/storage/store_compression_feature_gate_test.go,test,S3,storage,Method TestFeatureGatedCompressionSwitchDoesNotMigrateExistingBlocksStep513 has 69 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0036,CK-110-M062,ca9c67634c4381f7b67e058193b22a6c,Lizard,Lizard_nloc-medium,internal/maintenance/gc_parity_test.go,test,S3,gc,Method TestSimulateGCMatchesActualGCDeletion has 91 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0037,CK-110-M063,3af5a794bb2a6e04a0a48c5b6ba39dfb,Opengrep,Semgrep_go_file-permissions_rule-fileperm,internal/maintenance/gc_parity_test.go,test,S3,gc,The application was found setting file permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0041,CK-110-M066,e0f0f028a7aa35bbc6b34fb56025fd3b,Lizard,Lizard_ccn-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFileByStoredPathPrefixMode has a cyclomatic complexity of 14 (limit is 8),review-for-suppression-or-backlog
CK-110-0042,CK-110-M052,6cf51b4c46ac79c04d6d36afe373e623,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,internal/storage/phase1_compat_matrix_test.go,test,S3,storage,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0043,CK-110-M072,8dbd73f18f1ce99815990733d9703110,markdownlint,markdownlint_MD032,docs/STEP64_METRICS_VALIDATION.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0044,CK-110-M066,8b64defdc8433306f3799fd87cf84dc7,Lizard,Lizard_nloc-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFailsOnChunkOrderDiscontinuity has 109 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0045,CK-110-M057,b05a7631a06fc4ef08383f6342083a7a,Opengrep,Semgrep_go_file-permissions_rule-mkdir,tests/utils/common.go,test,S3,filesystem,The application was found setting directory permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0048,CK-110-M068,963e7ef1096d1618951e2e3a62a09c12,Lizard,Lizard_ccn-medium,internal/chunk/benchmark/benchmark_test.go,test,S3,benchmark,Method TestDefaultDatasetsDeterministicAcrossCalls has a cyclomatic complexity of 10 (limit is 8),review-for-suppression-or-backlog
CK-110-0050,CK-110-M066,adb10a34334fd7f890fe4a16c6a8640b,Lizard,Lizard_ccn-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFailsOnCreateTempFilePermissionDenied has a cyclomatic complexity of 14 (limit is 8),review-for-suppression-or-backlog
CK-110-0051,CK-110-M060,582f01f43b90a75a23343190bbd76c24,Lizard,Lizard_nloc-medium,internal/storage/storage_block_reader_test.go,test,S3,packed-storage,Method  has 53 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0052,CK-110-M062,a457d4bd3001b714de34279eaab6c910,Lizard,Lizard_nloc-medium,internal/maintenance/gc_step11_test.go,test,S3,gc,Method TestStep11PackedOnlyDeadBlockDeletionRunGCAndVerify has 55 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0053,CK-110-M072,7c9fd319839c8904528884c82514f3d0,markdownlint,markdownlint_MD032,docs/benchmarking.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0054,CK-110-M066,5ade635a16ccafb941bd4540c94bfdde,Lizard,Lizard_ccn-medium,tests/adversarial/g1_deterministic_restore_adversarial_test.go,test,S3,restore,Method  has a cyclomatic complexity of 9 (limit is 8),review-for-suppression-or-backlog
CK-110-0055,CK-110-M067,a7f741375b45b4d5e74422bfcca13d5e,Opengrep,Semgrep_go_filesystem_rule-fileread,internal/storage/restore_test.go,test,S3,restore,The application dynamically constructs file or path information.,review-for-suppression-or-backlog
CK-110-0056,CK-110-M058,b000e7821647869f3057da339ecdf9f4,Opengrep,Semgrep_dockerfile.security.missing-user.missing-user,Dockerfile,docker,S3,security,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard.",review-for-suppression-or-backlog
CK-110-0057,CK-110-M062,98dda905ad56541c876145098a2e3914,Lizard,Lizard_ccn-medium,internal/maintenance/stats_test.go,test,S3,gc,Method TestRunStatsResultEmptyRepository has a cyclomatic complexity of 14 (limit is 8),review-for-suppression-or-backlog
CK-110-0059,CK-110-M054,6fec1476a65dee2887a0e3ebd66b26ea,Lizard,Lizard_nloc-medium,internal/verify/verify_system_test.go,test,S3,verify,Method TestVerifyRepositorySupportsMixedBlockTypeMatrixInSingleRun has 65 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0060,CK-110-M072,9f7d222dec1711ef8e614383a13347e7,markdownlint,markdownlint_MD007,docs/benchmarking.md,docs,S4,docs,Expected: 2; Actual: 3,review-for-suppression-or-backlog
CK-110-0061,CK-110-M051,a8c271d8c58f010d8243a337855b2207,Lizard,Lizard_ccn-medium,internal/storage/remove_test.go,test,S3,storage,Method TestGetLogicalFileInfoWithDBFound has a cyclomatic complexity of 11 (limit is 8),review-for-suppression-or-backlog
CK-110-0064,CK-110-M059,a63dcd286c6a3af62cabee98e3adcf65,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/observability/service_test.go,test,S3,security,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0065,CK-110-M072,8dc2d54098b334c6116f38a53665dd25,markdownlint,markdownlint_MD032,docs/BENCHMARK_METRICS.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0066,CK-110-M067,30db4a1398fa718fd15bde51c632e087,Opengrep,Semgrep_go_file-permissions_rule-mkdir,tests/adversarial/g1_step11_restore_determinism_test.go,test,S3,restore,The application was found setting directory permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0067,CK-110-M070,83b1c501ca4f61ba1c851344e2a714b3,Lizard,Lizard_ccn-medium,internal/repository/capabilities/derive_test.go,test,S3,codacy,Method TestDeriveFreshSQLiteRepositoryCapabilities has a cyclomatic complexity of 13 (limit is 8),review-for-suppression-or-backlog
CK-110-0070,CK-110-M047,65ec6de53eb0a102158da28bf249e7de,Lizard,Lizard_nloc-medium,internal/db/migrations_test.go,test,S3,migration,Method TestPostgresFreshBootstrapCreatesPhaseOneV8Schema has 172 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0071,CK-110-M051,4558bd8b0391e0d546c83ce4ddace348,Lizard,Lizard_ccn-medium,internal/chunk/chunker_comparison_test.go,test,S3,storage,Method assertFullCoverage has a cyclomatic complexity of 9 (limit is 8),review-for-suppression-or-backlog
CK-110-0072,CK-110-M066,a875337f9450ae897d604a9fe6fdab00,Lizard,Lizard_nloc-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFailsOnPayloadReadShortRead has 70 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0074,CK-110-M059,550b330fc959d7b1f307267995091d0a,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/graph/reachability_test.go,test,S3,security,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0075,CK-110-M062,94f9c907dc26f46fc6c535129a5163f1,Lizard,Lizard_nloc-medium,internal/gc/plan_test.go,test,S3,gc,Method TestReachabilityRootsDocumentation has 76 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0076,CK-110-M057,35dfe679bbcd7b4e32ffc6061f7ba45f,Opengrep,Semgrep_go_file-permissions_rule-mkdir,tests/integration/v18_migration_compatibility_integration_test.go,test,S3,filesystem,The application was found setting directory permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0077,CK-110-M057,ca62b7ca3a4cb6dccb86dab76214b9eb,Opengrep,Semgrep_go_file-permissions_rule-fileperm,tests/adversarial/g8_system_invariants_lifecycle_adversarial_test.go,test,S3,filesystem,The application was found setting file permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0080,CK-110-M051,90b535ae57c6eae1a417a49502376d38,Lizard,Lizard_ccn-medium,internal/storage/repository_config_test.go,test,S3,storage,Method TestRepositoryCompressionConfigControlsNewWritesNotReads has a cyclomatic complexity of 28 (limit is 8),review-for-suppression-or-backlog
CK-110-0081,CK-110-M052,f158592444eeb3da39120ddea60b6018,Opengrep,Semgrep_go.lang.security.audit.crypto.math_random.math-random-used,internal/storage/compression/zstd_test.go,test,S3,storage,Do not use `math/rand`. Use `crypto/rand` instead.,review-for-suppression-or-backlog
CK-110-0082,CK-110-M064,ee1dd6c1615bdd28ad8f74007857c128,Lizard,Lizard_ccn-medium,internal/recovery/system_recovery_test.go,test,S3,recovery,Method TestQuarantineOrphanContainersResyncsExistingQuarantineSizeDrift has a cyclomatic complexity of 12 (lim,review-for-suppression-or-backlog
CK-110-0085,CK-110-M066,d7631b6fb5a53c4e0580be8cd55decd5,Lizard,Lizard_nloc-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFileByStoredPathOverrideMode has 104 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0086,CK-110-M054,764138e25a8ab527348e74b021e87d57,Lizard,Lizard_ccn-medium,internal/verify/verify_corruption_fixtures_test.go,test,S3,verify,Method assertDecryptStageVerifyFailure has a cyclomatic complexity of 14 (limit is 8),review-for-suppression-or-backlog
CK-110-0088,CK-110-M072,acef2e4d361426e7798bc67db73f41a6,markdownlint,markdownlint_MD024,docs/benchmarking.md,docs,S4,docs,Multiple headings with the same content,review-for-suppression-or-backlog
CK-110-0089,CK-110-M047,991ba70cb29f50e192a3d6b89e4a50b2,Lizard,Lizard_ccn-medium,internal/db/migrations_test.go,test,S3,migration,Method TestLoadSQLiteSchemaCreatesPhaseOneV8FreshBootstrap has a cyclomatic complexity of 27 (limit is 8),review-for-suppression-or-backlog
CK-110-0090,CK-110-M070,e9f4cf8ce12f467135ca9f36fa7de549,Lizard,Lizard_nloc-medium,internal/graph/traversal_test.go,test,S3,codacy,Method TestTraverseVisitsAllNodesOnce has 69 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0092,CK-110-M056,d74d19a99d1dd9e5c2db33b121ee6190,Lizard,Lizard_nloc-medium,tests/integration/read_path_regression_test.go,test,S3,filesystem,Method TestBackwardCompatMixedChunkerRestoreIntegration has 51 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0093,CK-110-M072,bd1e0e4153b75027aa23526c3d167cc4,markdownlint,markdownlint_MD032,docs/BENCHMARK_METRICS.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0094,CK-110-M059,9d74a9984c181a3a955aa063fbd6ec96,Opengrep,Semgrep_go.lang.security.audit.database.string-formatted-query.string-formatted-query,tests/adversarial/g6_concurrent_operations_adversarial_test.go,test,S3,security,String-formatted SQL query detected.,review-for-suppression-or-backlog
CK-110-0095,CK-110-M056,89804ca6d6430d7dbbf786462434e3cc,Lizard,Lizard_ccn-medium,tests/integration/read_path_regression_test.go,test,S3,filesystem,Method TestBackwardCompatV15CLIWorkflowIntegration has a cyclomatic complexity of 19 (limit is 8),review-for-suppression-or-backlog
CK-110-0098,CK-110-M051,5556e369616d3c8b2ba95780003c60cd,Lizard,Lizard_ccn-medium,internal/storage/store_compression_feature_gate_test.go,test,S3,storage,Method TestFeatureGatedCompressionSwitchDoesNotMigrateExistingBlocksStep513 has a cyclomatic complexity of 17 ,review-for-suppression-or-backlog
CK-110-0100,CK-110-M070,5e4a0d569b384cccffd98238eaae94b8,Lizard,Lizard_ccn-medium,tests/adversarial/g8_system_invariants_lifecycle_adversarial_test.go,test,S3,codacy,Method  has a cyclomatic complexity of 25 (limit is 8),review-for-suppression-or-backlog
CK-110-0101,CK-110-M050,1539cfa3b4cc76e970a055c312dfccf5,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,tests/adversarial/g14_g17_snapshot_retention_adversarial_test.go,test,S3,snapshot,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0102,CK-110-M051,5cfb1ad378e59f25502b2295535b9b35,Lizard,Lizard_nloc-medium,internal/storage/store_compression_feature_gate_test.go,test,S3,storage,Method  has 55 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0104,CK-110-M070,41764a9276323a0e683f4f4d2293f5b9,Lizard,Lizard_ccn-medium,internal/graph/reachability_test.go,test,S3,codacy,Method TestGetReachableChunksDeduplicatesSharedChunks has a cyclomatic complexity of 11 (limit is 8),review-for-suppression-or-backlog
CK-110-0105,CK-110-M063,3b058acaa56c21d0f39a55c06f69e1ed,Opengrep,Semgrep_go_filesystem_rule-fileread,internal/maintenance/gc_step11_test.go,test,S3,gc,The application dynamically constructs file or path information.,review-for-suppression-or-backlog
CK-110-0106,CK-110-M066,8710e572b7560612b0f25a74a0d52294,Lizard,Lizard_nloc-medium,internal/storage/restore_test.go,test,S3,restore,Method TestPinLogicalFileRestoreChunksReturnsOrderedChunkRows has 63 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0107,CK-110-M052,deec82ea4b2efdb7a6d19550894bff34,Opengrep,Semgrep_go_file-permissions_rule-fileperm,internal/storage/phase1_compat_matrix_test.go,test,S3,storage,The application was found setting file permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0108,CK-110-M072,72c8a76ea436bc446ac18ac968377394,markdownlint,markdownlint_MD032,docs/STEP64_METRICS_VALIDATION.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0109,CK-110-M048,acb841e9436f2beb7320ed51a83d9317,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/db/migrations_test.go,test,S3,migration,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0110,CK-110-M070,49337bca8a53949045e8d52f71386111,Lizard,Lizard_ccn-medium,tests/integration/v18_migration_compatibility_integration_test.go,test,S3,codacy,Method TestPhase7MixedVerifyAfterUpgradeIntegration has a cyclomatic complexity of 24 (limit is 8),review-for-suppression-or-backlog
CK-110-0111,CK-110-M062,9560292f42fa7249e24744460b65b655,Lizard,Lizard_ccn-medium,internal/maintenance/gc_step11_parity_test.go,test,S3,gc,Method TestStep11DryRunPackedReclaimableMatchesActualGC has a cyclomatic complexity of 14 (limit is 8),review-for-suppression-or-backlog
CK-110-0114,CK-110-M070,4917b8834360236a01c28de6d1cfaed6,Lizard,Lizard_ccn-medium,internal/observability/cross_consistency_test.go,test,S3,codacy,Method TestCrossConsistency_InspectBidirectional has a cyclomatic complexity of 13 (limit is 8),review-for-suppression-or-backlog
CK-110-0115,CK-110-M066,415e076b455282180d81ee7388535854,Lizard,Lizard_ccn-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreOptionsOverwriteFalseRejectsExistingDestination has a cyclomatic complexity of 14 (limit is ,review-for-suppression-or-backlog
CK-110-0116,CK-110-M057,4e0fec8c8299cf6c7f6934d55338d2b3,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,tests/utils/common.go,test,S3,filesystem,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0117,CK-110-M070,2715972ab1bde1c010c90e8e959cb250,Lizard,Lizard_ccn-medium,internal/cli/render/stats_test.go,test,S3,codacy,Method TestRenderStatsJSONWritesResultPayload has a cyclomatic complexity of 21 (limit is 8),review-for-suppression-or-backlog
CK-110-0119,CK-110-M048,f06b118cbcf8c335de0a155cd00ff3cf,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/db/migrations_test.go,test,S3,migration,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0120,CK-110-M072,7702586b8ca9423b91d26824e1023100,markdownlint,markdownlint_MD032,docs/benchmarking.md,docs,S4,docs,Lists should be surrounded by blank lines,review-for-suppression-or-backlog
CK-110-0123,CK-110-M051,7f6b429cf357b6a362dd752f076fb37c,Lizard,Lizard_ccn-medium,internal/storage/phase1_compat_matrix_test.go,test,S3,storage,Method TestPhase1CompatMetadataWrittenOnce has a cyclomatic complexity of 10 (limit is 8),review-for-suppression-or-backlog
CK-110-0125,CK-110-M072,60daad78880d36614e17fb24e5204ad7,markdownlint,markdownlint_MD010,docs/internal/storage_contract_v1_9.md,docs,S4,docs,Column: 1,review-for-suppression-or-backlog
CK-110-0126,CK-110-M051,3cc0ee54688920a3f947626dc40a9f0e,Lizard,Lizard_nloc-medium,internal/container/simulated_writer_test.go,test,S3,storage,Method TestSimulatedWriterAppendPayloadCreatesAndRotatesContainer has 59 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0127,CK-110-M054,2b4e2784a8490ae732e11f261d8e0016,Lizard,Lizard_ccn-medium,internal/verify/verify_corruption_fixtures_test.go,test,S3,verify,Method assertBlockDecodeStageVerifyFailure has a cyclomatic complexity of 11 (limit is 8),review-for-suppression-or-backlog
CK-110-0128,CK-110-M052,2bbfc23f7b85c123c20fe82dc9793c03,Opengrep,Semgrep_go_file-permissions_rule-mkdir,tests/adversarial/v110_s0_chunk_reuse_bounds_stabilization_test.go,test,S3,storage,The application was found setting directory permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0129,CK-110-M067,f967ca5f49c42b5e87895c2acc3d08dc,Opengrep,Semgrep_go_filesystem_rule-fileread,tests/adversarial/g67_deterministic_restore_matrix_test.go,test,S3,restore,The application dynamically constructs file or path information.,review-for-suppression-or-backlog
CK-110-0131,CK-110-M048,dbcf384936f64d70126a02806c8eb795,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/db/migrations_test.go,test,S3,migration,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0134,CK-110-M054,9ac9a4da5d86a320c89734017ac748ea,Lizard,Lizard_ccn-medium,internal/verify/verify_regression_test.go,test,S3,verify,Method TestVerifySystemFullDetectsMissingContainerFileForReferencedChunk has a cyclomatic complexity of 9 (lim,review-for-suppression-or-backlog
CK-110-0135,CK-110-M057,7404fcaadcb647e4a6da000b0a62795,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,tests/adversarial/g7_deep_corruption_adversarial_test.go,test,S3,filesystem,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0138,CK-110-M070,74e717746ee5edac7ae9dd8d50011808,Lizard,Lizard_ccn-medium,tests/integration/v18_migration_compatibility_integration_test.go,test,S3,codacy,Method TestPhase8MetadataMigrationIntegration has a cyclomatic complexity of 48 (limit is 8),review-for-suppression-or-backlog
CK-110-0139,CK-110-M066,f88de90adc313302c9f3af8f391fbc3f,Lizard,Lizard_ccn-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFailsOnAESGCMDecodeFailure has a cyclomatic complexity of 11 (limit is 8),review-for-suppression-or-backlog
CK-110-0141,CK-110-M067,1c28003e810c479a071a182189e02576,Opengrep,Semgrep_go_file-permissions_rule-mkdir,tests/adversarial/g1_step11_restore_determinism_test.go,test,S3,restore,The application was found setting directory permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0146,CK-110-M048,ea2a512b657417f458d4011ef8301fc,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/db/migrations_test.go,test,S3,migration,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0148,CK-110-M062,4444e18b034400208d340d9657a161d,Lizard,Lizard_ccn-medium,internal/maintenance/gc_step11_test.go,test,S3,gc,Method TestStep11SnapshotRetainsPackedBlockAndRestoreSucceeds has a cyclomatic complexity of 15 (limit is 8),review-for-suppression-or-backlog
CK-110-0151,CK-110-M066,30a0f378781261fc0bfce660eec30894,Lizard,Lizard_nloc-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreFailureDoesNotCorruptDestination has 85 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0152,CK-110-M051,9e4c165f9a700e45386098d7b29647e7,Lizard,Lizard_ccn-medium,internal/storage/test_repository_fixture_test.go,test,S3,storage,Method NewTestRepository has a cyclomatic complexity of 10 (limit is 8),review-for-suppression-or-backlog
CK-110-0155,CK-110-M052,63eb3394747b9a0bba82088ddcc4f832,Opengrep,Semgrep_go_filesystem_rule-fileread,internal/storage/store_v2chunker_test.go,test,S3,storage,The application dynamically constructs file or path information.,review-for-suppression-or-backlog
CK-110-0157,CK-110-M049,b5b9b018df62a310321a4bcd200d7bd7,Lizard,Lizard_ccn-medium,tests/adversarial/g14_g17_snapshot_retention_adversarial_test.go,test,S3,snapshot,Method TestAdversarialG16SnapshotQueryContractChaos has a cyclomatic complexity of 10 (limit is 8),review-for-suppression-or-backlog
CK-110-0158,CK-110-M057,4ab3b89e78b5ddafd051c654f7ec33e1,Opengrep,Semgrep_go_filesystem_rule-fileread,tests/adversarial/g7_deep_corruption_adversarial_test.go,test,S3,filesystem,The application dynamically constructs file or path information.,review-for-suppression-or-backlog
CK-110-0159,CK-110-M057,ff8567d28f1825e349833714f8d5a4ce,Opengrep,Semgrep_go_file-permissions_rule-mkdir,tests/adversarial/g3_no_data_loss_valid_sequences_adversarial_test.go,test,S3,filesystem,The application was found setting directory permissions to overly permissive values.,review-for-suppression-or-backlog
