id,operation_name,operation_category,contract_kind,contract_priority,invariant_surface,current_entry_points,phase2_refs,phase3_refs,request_shape_notes,result_shape_notes,error_boundary_notes,migration_mode,summary,notes
OPC-11012-011,gc_dry_run,gc,engine_query,P0,gc_safety,"cmd/coldkeep/main.go:runGCCommand(dryRun=true); internal/maintenance/gc.go:RunGCWithContainersDirResult()","CLI-BC-11012-016","DBFS-11012-002; DBFS-11012-003","candidate fields: dry_run=true; containers_dir","candidate fields: containers_to_delete list; bytes_reclaimable; reachable_set_size; advisory_lock_acquired flag","dry-run result must match live-run would-delete set exactly; advisory lock still acquired in dry-run; reachability check must complete before reporting",lift_without_behavior_change,Future engine query candidate for GC dry-run with no container deletions,Inventory only; no API implementation
OPC-11012-012,gc_live,gc,filesystem_sensitive_operation,P0,gc_safety,"cmd/coldkeep/main.go:runGCCommand(dryRun=false); internal/maintenance/gc.go:RunGCWithContainersDirResult()","CLI-BC-11012-016","DBFS-11012-002; DBFS-11012-026; DBFS-11012-035","candidate fields: containers_dir","candidate fields: containers_deleted list; bytes_reclaimed; errors list","advisory lock required before any delete; reachability check before delete; file removed only after DB row committed; must never delete reachable data",wrap_existing_behavior,Future engine operation candidate for live GC with container deletion,Inventory only; no API implementation
OPC-11012-013,verify_file,verify,validation_contract,P2,integrity_verification,"cmd/coldkeep/main.go:runVerifyCommand; internal/verify/verify_repository.go:VerifyRepository()","CLI-BC-11012-021","DBFS-11012-016; DBFS-11012-017","candidate fields: file_id or stored_path; deep flag (payload check vs metadata-only)","candidate fields: verified flag; error list with chunk/container/block detail; duration_ms","fail-closed: any verification error must be reported; must not succeed partially; blocks GC on inconsistency",lift_without_behavior_change,Future validation contract candidate for verifying a single file,Inventory only; no API implementation
OPC-11012-014,verify_repository,verify,validation_contract,P0,integrity_verification,"cmd/coldkeep/main.go:runVerifyCommand; internal/verify/verify_repository.go:VerifyRepository()","CLI-BC-11012-021","DBFS-11012-016; DBFS-11012-017; DBFS-11012-018","candidate fields: deep flag; containers_dir; fast_mode flag","candidate fields: verified flag; errors list with detail by entity; summary counts (blocks/containers/chunks checked)","fail-closed invariant: all errors reported; exit code 3 on verify failure; GC must not run concurrently with verify failure",wrap_existing_behavior,Future validation contract candidate for full repository verification,Inventory only; no API implementation
OPC-11012-015,repair_ref_counts,repair,engine_operation,P1,catalog_consistency,"cmd/coldkeep/main.go:runRepairCommand; internal/maintenance/repair_refcounts.go:RepairLogicalRefCountsResultWithDB()","CLI-BC-11012-015","DBFS-11012-023; DBFS-11012-037","candidate fields: repair_target (logical_ref_counts/chunk_live_ref_counts/all); dry-run flag","candidate fields: rows_repaired; rows_unchanged; errors; duration_ms","must be atomic per repair target; no intermediate inconsistent state; dry-run must report delta without applying",wrap_existing_behavior,Future engine operation candidate for repairing ref-count inconsistencies,Inventory only; no API implementation
OPC-11012-016,recovery_startup_gate,recovery,storage_context_operation,P0,crash_recovery,"cmd/coldkeep/main.go:runStartupRecoveryWithOptionalLogBuffering; internal/recovery/system_recovery.go:SystemRecoveryWithContainersDir()","CLI-BC-11012-042; CLI-BC-11012-043","DBFS-11012-019; DBFS-11012-020; DBFS-11012-021","candidate fields: containers_dir; quiet_if_healthy flag","candidate fields: quarantined_containers list; incomplete_ops_aborted count; healthy flag; recovery_report","must not legitimize corrupt mappings; stat error must abort quarantine; must run before any DB write by other operations; exit code 4 on failure",wrap_existing_behavior,Future storage-context operation candidate for startup recovery gate,Inventory only; no API implementation
OPC-11012-017,doctor,recovery,validation_contract,P1,crash_recovery,"cmd/coldkeep/main.go:runDoctorCommand","CLI-BC-11012-023","DBFS-11012-019","candidate fields: output_mode (text/json)","candidate fields: recovery phase result; schema version phase result; verify phase result; system audit result; overall healthy flag","frozen v1.0 JSON contract; recovery counters must not change shape; schema version must be exact; verify failure must short-circuit and report; exit code mirrors verify/recovery codes",wrap_existing_behavior,Future validation contract candidate for doctor health check command,Inventory only; frozen JSON contract must not change shape
OPC-11012-018,stats_repository,observability,engine_query,P2,performance_observability,"cmd/coldkeep/main.go:runStatsCommand; internal/maintenance/stats.go:RunStatsResultWithDB()","CLI-BC-11012-017","DBFS-11012-022","candidate fields: output_mode; trace options","candidate fields: total_files; total_bytes; dedup_ratio; chunk_count; container_count; storage_breakdown by format","read-only; output shape must be stable across versions for scripting consumers",lift_without_behavior_change,Future engine query candidate for repository-level statistics,Inventory only; no API implementation
OPC-11012-019,inspect_repository,observability,engine_query,P2,performance_observability,"cmd/coldkeep/main.go:runInspectCommand(entity=repository); internal/observability","CLI-BC-11012-018","DBFS-11012-022","candidate fields: entity=repository; output_mode; trace options","candidate fields: storage format breakdown; container health summary; block distribution; schema version","read-only deep inspection; output for diagnostic use only; not a health gate",lift_without_behavior_change,Future engine query candidate for full repository inspection,Inventory only; no API implementation
OPC-11012-020,inspect_file,observability,engine_query,P2,performance_observability,"cmd/coldkeep/main.go:runInspectCommand(entity=file); internal/observability","CLI-BC-11012-018","DBFS-11012-007","candidate fields: entity=file; file_id or stored_path; output_mode","candidate fields: logical_file_id; chunk list; container references; dedup stats; codec; size","read-only; useful for debugging storage layout; not a correctness gate",lift_without_behavior_change,Future engine query candidate for per-file storage inspection,Inventory only; no API implementation
OPC-11012-021,search_files,search_list,engine_query,P2,json_stability,"cmd/coldkeep/main.go:runSearchCommand; internal/listing","CLI-BC-11012-020","DBFS-11012-001","candidate fields: path pattern; min_size; max_size; limit; offset; output_mode","candidate fields: files list with id/stored_path/size/created_at; total_count; pagination cursor","numeric flags (limit/offset/min_size/max_size) validated before DB query; MaxPaginationLimit enforced; output shape must be stable",lift_without_behavior_change,Future engine query candidate for searching stored files,Inventory only; no API implementation
OPC-11012-022,list_files,search_list,engine_query,P2,json_stability,"cmd/coldkeep/main.go:runListCommand; internal/listing","CLI-BC-11012-019","DBFS-11012-001","candidate fields: path prefix; limit; offset; sort; output_mode","candidate fields: files list with id/stored_path/size/codec/created_at; total_count","output ordering must be deterministic; pagination must not skip or duplicate rows; empty result is valid",lift_without_behavior_change,Future engine query candidate for listing stored files with pagination,Inventory only; no API implementation
OPC-11012-023,remove_file_or_query,repository_lifecycle,engine_operation,P2,data_safety,"cmd/coldkeep/main.go:runRemoveCommand; three modes: single stored_path / batch stored_paths / batch fileID","CLI-BC-11012-013; CLI-BC-11012-014","DBFS-11012-011","candidate fields: stored_path or file_id or batch file; dry-run flag; force flag","candidate fields: removed list with id/stored_path; dry-run preview list; errors","dry-run must show what would be deleted without mutation; force required for batch delete; physical_file check before logical_file delete",wrap_existing_behavior,Future engine operation candidate for removing stored files,Inventory only; no API implementation
OPC-11012-024,config_get,config,cli_boundary_contract,P3,repository_lifecycle,"cmd/coldkeep/main.go:runConfigCommand(get path); internal/storage/repository.go:GetDefaultCompression","CLI-BC-11012-003","DBFS-11012-030","candidate fields: config key (compression/chunker)","candidate fields: current value; default flag; valid options list","read-only; must not modify DB on get; invalid key must return usage error not panic",keep_cli_owned,Future CLI boundary contract candidate for getting repository configuration,Inventory only; keep_cli_owned for now
OPC-11012-025,config_set,config,cli_boundary_contract,P3,repository_lifecycle,"cmd/coldkeep/main.go:runConfigCommand(set path); internal/storage/repository.go:SetDefaultCompression","CLI-BC-11012-003; CLI-BC-11012-004","DBFS-11012-030","candidate fields: config key; new value","candidate fields: old value; new value; validation result","chunker version must exist and not be deprecated before set; commit to DB; no partial config state",keep_cli_owned,Future CLI boundary contract candidate for setting repository configuration,Inventory only; keep_cli_owned for now
OPC-11012-026,benchmark_run,benchmark,cli_boundary_contract,P3,performance_observability,"cmd/coldkeep/main.go:runBenchmarkRunCommand; internal/benchmark","CLI-BC-11012-026; CLI-BC-11012-027","DBFS-11012-001","candidate fields: dataset preset; workers; repeat count; compare baseline flag; output_mode","candidate fields: throughput metrics (MB/s); latency percentiles; dedup ratio; comparison delta if baseline provided","temporary database must be dropped on completion or failure; determinism check must pass before reporting results",defer_until_catalog_facade,Future CLI boundary contract candidate for benchmark execution,Inventory only; no API implementation
OPC-11012-027,benchmark_compare,benchmark,cli_boundary_contract,P3,performance_observability,"cmd/coldkeep/main.go:runBenchmarkRunCommand --compare; cmd/coldkeep/main.go:runRestoreDeterminismCheck","CLI-BC-11012-027; CLI-BC-11012-028","DBFS-11012-001","candidate fields: baseline JSON file path; current run results","candidate fields: delta table per metric; regression flag; threshold breach list","determinism check via subprocess store+restore must reproduce exact tree hash; baseline file must be readable before run begins",defer_until_catalog_facade,Future CLI boundary contract candidate for benchmark comparison with baseline,Inventory only; no API implementation
OPC-11012-028,simulate_store,simulation,cli_boundary_contract,P3,performance_observability,"cmd/coldkeep/main.go:runSimulateCommand(store); internal/storage:ParseStorageContext(simulated)","CLI-BC-11012-029","DBFS-11012-032","candidate fields: source path or dataset; codec; workers; output_mode","candidate fields: simulated store metrics; chunk dedup analysis; container allocation preview","simulation mode must use ParseStorageContext(simulated) not production DB; must not write any persistent state",defer_until_daemon,Future simulation contract candidate for in-memory store simulation,Inventory only; no API implementation
OPC-11012-029,simulate_gc,simulation,cli_boundary_contract,P3,performance_observability,"cmd/coldkeep/main.go:runSimulateCommand(gc); internal/observability:SimulateGC","CLI-BC-11012-029","DBFS-11012-032","candidate fields: source snapshot or store run; gc policy options","candidate fields: containers_reclaimable; bytes_reclaimable; reachability_set_size; simulation accuracy flag","must not acquire advisory lock; must not touch production containers; must clearly mark output as simulation",defer_until_daemon,Future simulation contract candidate for in-memory GC simulation,Inventory only; no API implementation
OPC-11012-030,repository_init,repository_lifecycle,storage_context_operation,P3,repository_lifecycle,"cmd/coldkeep/init.go:initCommand; internal/db:ConnectDB+EnsureSchema","CLI-BC-11012-001","DBFS-11012-001","candidate fields: encryption key; compression codec; chunker version; containers_dir; db_dsn","candidate fields: repository_id; key_file_path; config summary; schema version","encryption key must be generated securely (blocks.GenerateKeyHex); .env must be 0600; must fail-closed if schema init fails",lift_without_behavior_change,Future storage-context operation candidate for repository initialization,Inventory only; no API implementation
OPC-11012-031,repository_open_bootstrap,repository_lifecycle,storage_context_operation,P0,repository_lifecycle,"cmd/coldkeep/main.go:shouldRunStartupRecovery+loadDefaultStorageContextPhase; internal/storage/context.go:OpenLocalStorage()","CLI-BC-11012-042; CLI-BC-11012-006","DBFS-11012-031; DBFS-11012-030; DBFS-11012-038","candidate fields: containers_dir; db_dsn; quiet_if_healthy flag; command context","candidate fields: StorageContext handle; recovery_report; schema_version","recovery must run before any DB write; OpenLocalStorage bundles recovery+context; LoadDefaultStorageContext is pre-recovery alternative; Close must be idempotent",wrap_existing_behavior,Future storage-context operation candidate for repository open and bootstrap sequence,Inventory only; no API implementation
OPC-11012-032,output_mode_json_contract,output_contract,json_output_contract,P3,json_stability,"cmd/coldkeep/main.go:resolveOutputMode+printCLIError; all commands with --json or --output json","CLI-BC-11012-040; CLI-BC-11012-044; CLI-BC-11012-045","DBFS-11012-040","candidate fields: --json flag or --output json; command-specific payload","candidate fields: JSON envelope with result payload or error with invariant_code+recommended_action+dbHint+verifyDetails","--json and --output json must not be combined; error JSON shape is frozen; invariant_code values must remain stable; exit codes 1/2/3/4 must not change",keep_cli_owned,JSON output mode contract that must remain stable across all engine-boundary work,Frozen contract; must not change during engine extraction
