ck_id,matrix_id,phase_owner,source,source_id,source_file,source_line,severity,domain,status,decision,title,root_invariant,validation_command,closure_proof,notes
CK-110-1484,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0041,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`init` accepts extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=`coldkeep init garbage` still runs init.
CK-110-1485,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0042,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`version` accepts extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=`coldkeep version garbage` still prints version.
CK-110-1486,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0043,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`help` accepts extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=`coldkeep help garbage` still prints help.
CK-110-1493,CK-110-M033,Phase 9 — Pre-Stateful Validation Ordering,external-audit,EXT-RAW-0050,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,validation,triaged,investigate,`repair ref-counts --batch --input missing.json` errors late,CLI validation must happen before repository initialization when possible,,,family=EXT-VAL-005; audit_detail=File existence is not validated before DB/repository initialization work begins.; s0_s1_review=downgraded-s2
CK-110-1508,CK-110-M086,Phase 4 — Value Flags Reject Flag Tokens,external-audit,EXT-RAW-0065,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S3,tooling,triaged,investigate,Value flags accept another flag as their value,External audit finding must be reviewed and assigned to a remediation invariant,,,"family=EXT-CODE-001; audit_detail=Example: ```bash coldkeep search --name --limit 10 ``` `--name` becomes `""--limit""` and `10` is then silently ignored/treated oddly."
CK-110-1509,CK-110-M086,Phase 4 — Value Flags Reject Flag Tokens,external-audit,EXT-RAW-0066,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S3,tooling,triaged,investigate,Same parser bug affects `--output`,External audit finding must be reviewed and assigned to a remediation invariant,,,"family=EXT-CODE-001; audit_detail=Example: ```bash coldkeep list --output --limit 10 ``` `--output` receives `""--limit""` instead of reporting “missing value”."
CK-110-1513,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0070,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`snapshot delete --force=false` deletes,Boolean flags with explicit false must not be interpreted as true,,,family=EXT-CLI-003; audit_detail=Because boolean values are ignored and presence means true.
CK-110-1514,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0071,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`snapshot delete --dry-run=false` still dry-runs,Boolean flags with explicit false must not be interpreted as true,,,"family=EXT-CLI-003; audit_detail=Same boolean parser bug, but opposite operational effect."
CK-110-1516,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0073,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`simulate store` ignores extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=`coldkeep simulate store file1 file2` Only `file1` is used; `file2` is silently ignored.
CK-110-1517,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0074,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`simulate gc` ignores extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=`coldkeep simulate gc garbage` Extra arg is accepted instead of rejected.
CK-110-1549,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0106,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`search` does not reject extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=`runSearchCommand()` never checks `len(parsed.positionals)`. So typos like `coldkeep search foo bar` are silently ignored.
CK-110-1576,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0133,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`parseCommandLine` boolean parsing is incompatible with standard CLI expectations,Boolean flags with explicit false must not be interpreted as true,,,family=EXT-CLI-003; audit_detail=`--flag=false` `--flag=0` `--flag=no` all become `true`.
CK-110-1591,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0148,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`parseCommandLine` accepts values for boolean flags,Boolean flags with explicit false must not be interpreted as true,,,"family=EXT-CLI-003; audit_detail=Beyond `=false`, even: ```bash --overwrite=definitely-not-a-bool ``` is accepted as true."
CK-110-1592,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0149,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,Boolean flags accept `=false` as true,Boolean flags with explicit false must not be interpreted as true,,,family=EXT-CLI-003; audit_detail=Parser treats presence as true. Examples affected: `--dry-run=false` `--force=false` `--overwrite=false` `--summary=false` These still enable the flag.
CK-110-1663,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0220,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`verify file` accepts non-numeric verification modes as positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Example: ```bash coldkeep verify file 123 potato ``` Extra positional tokens are interpreted as verification level candidates instead of being rejected immediately.
CK-110-1671,CK-110-M033,Phase 9 — Pre-Stateful Validation Ordering,external-audit,EXT-RAW-0228,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,validation,triaged,investigate,`snapshot create --from missing --output json` may emit partial human-readable initialization output before failure,CLI validation must happen before repository initialization when possible,,,family=EXT-VAL-005; audit_detail=JSON mode is not consistently enforced during early snapshot initialization errors.; s0_s1_review=downgraded-s2
CK-110-1683,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0240,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`simulate store-folder dir extra` ignores trailing args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Earlier list included `simulate store`; `store-folder` has the same issue.
CK-110-1702,CK-110-M030,Phase 6 — Duplicate Singleton Flags,external-audit,EXT-RAW-0259,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,Duplicate singleton snapshot query flags silently override earlier values,Singleton flags must reject duplicate occurrences instead of last-win behavior,,,family=EXT-CLI-004; audit_detail=These use only `lastFlagValue()`: `--pattern` `--regex` `--min-size` `--max-size` `--modified-after` `--modified-before` Example: ```bash coldkeep snapshot show snap --regex a --regex b ``` Only `b` is used; `a` is silently ignored.
CK-110-1715,CK-110-M030,Phase 6 — Duplicate Singleton Flags,external-audit,EXT-RAW-0272,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`snapshot create` duplicate singleton flags silently last-win,Singleton flags must reject duplicate occurrences instead of last-win behavior,,,family=EXT-CLI-004; audit_detail=Examples: ```bash coldkeep snapshot create --id a --id b coldkeep snapshot create --label one --label two coldkeep snapshot create --from p1 --from p2 ``` Earlier values are silently ignored.
CK-110-1716,CK-110-M030,Phase 6 — Duplicate Singleton Flags,external-audit,EXT-RAW-0273,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`snapshot list` duplicate singleton flags silently last-win,Singleton flags must reject duplicate occurrences instead of last-win behavior,,,family=EXT-CLI-004; audit_detail=Examples: ```bash coldkeep snapshot list --type full --type partial coldkeep snapshot list --label a --label b coldkeep snapshot list --since 2026-01-01 --since 2026-02-01 ```
CK-110-1804,CK-110-M030,Phase 6 — Duplicate Singleton Flags,external-audit,EXT-RAW-0361,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`list/search --limit/--offset` accept duplicate flags silently,Singleton flags must reject duplicate occurrences instead of last-win behavior,,,"family=EXT-CLI-004; audit_detail=`list --limit 10 --limit 20` uses only `20`. Files: `cmd/coldkeep/main.go:5531-5564`, `internal/listing/query.go:19-53`."
CK-110-1853,CK-110-M030,Phase 6 — Duplicate Singleton Flags,external-audit,EXT-RAW-0410,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,Duplicate singleton flags outside snapshot commands silently last-win,Singleton flags must reject duplicate occurrences instead of last-win behavior,,,"family=EXT-CLI-004; audit_detail=Examples: `store --codec a --codec b`, `restore --mode prefix --mode override`, `benchmark run --repeat 1 --repeat 5`. Root cause: broad use of `lastFlagValue()`, e.g. `cmd/coldkeep/main.go:1271`, `1545`, `3052-3073`."
CK-110-1880,CK-110-M030,Phase 6 — Duplicate Singleton Flags,external-audit,EXT-RAW-0437,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,Duplicate singleton flags outside snapshot commands silently last-win,Singleton flags must reject duplicate occurrences instead of last-win behavior,,,"family=EXT-CLI-004; audit_detail=Examples: `store --codec a --codec b`, `restore --mode prefix --mode override`. Broad `lastFlagValue()` pattern."
