matrix_id,title,source_status,source_severity,domain,decision,phase_owner,reason,expected_behavior,notes
CK-110-M026,Review production complexity hotspots,triaged,S2,storage,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M027,Review production complexity hotspots,triaged,S2,verify,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M031,Review production complexity hotspots,triaged,S2,filesystem,include,Phase 5,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,"Symlink handling policy must be explicit, deterministic, and test-covered for restore/path flows.",
CK-110-M032,Snapshot tag input and filtering must use consistent normalization,triaged,S2,snapshot,include,Phase 3,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Snapshot/stored path selectors must normalize consistently and reject traversal and drive-style forms.,
CK-110-M033,CLI validation must happen before repository initialization when possible,fixed,S2,validation,duplicate,Phase 0,Already fixed in v1.10.1 CLI stabilization; retained for traceability only.,,Do not re-implement in v1.10.2.
CK-110-M034,Reject invalid numeric and non-finite values,triaged,S2,validation,review,Phase 1,Candidate selected by v1.10.2 validation/security scan; requires manual triage.,,
CK-110-M035,Review production complexity hotspots,triaged,S2,packed-storage,defer,Phase 1,Primary ownership remains v1.10.3; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M036,Review production complexity hotspots,triaged,S2,gc,defer,Phase 1,Primary ownership remains v1.10.4; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M037,Review production complexity hotspots,triaged,S1,recovery,defer,Phase 1,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M038,Review production complexity hotspots,triaged,S1,restore,defer,Phase 1,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M041,Validate benchmark report type and envelope,triaged,S2,benchmark,defer,Phase 7,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M043,Harden release and benchmark script output validation,triaged,S1,ci,include,Phase 10,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Security-sensitive script arguments must be validated before filesystem or shell-sensitive operations.,Scope-split: source release_target=v1.10.6; v1.10.2 includes only validation/security hardening subset.
CK-110-M044,Review production complexity hotspots,triaged,S2,codacy,defer,Phase 3,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M047,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,migration,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M048,Classify test-only scanner findings,triaged,S3,migration,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M050,Classify test-only scanner findings,triaged,S3,snapshot,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M051,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,storage,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M052,Classify test-only scanner findings,triaged,S3,storage,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M054,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,verify,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M055,Classify test-only scanner findings,triaged,S3,verify,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M056,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,filesystem,review,Phase 1,Candidate selected by v1.10.2 validation/security scan; requires manual triage.,,
CK-110-M057,Classify test-only scanner findings,triaged,S3,filesystem,exclude,Phase 1,Documentation/test-only classification work; not a v1.10.2 implementation-phase hardening invariant.,,
CK-110-M058,Container packaging should avoid unnecessary root execution where applicable,triaged,S3,security,review,Phase 1,Candidate selected by v1.10.2 validation/security scan; requires manual triage.,,
CK-110-M059,Classify test-only scanner findings,triaged,S3,security,exclude,Phase 1,Documentation/test-only classification work; not a v1.10.2 implementation-phase hardening invariant.,,
CK-110-M060,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,packed-storage,defer,Phase 1,Primary ownership remains v1.10.3; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M061,Classify test-only scanner findings,triaged,S3,packed-storage,defer,Phase 1,Primary ownership remains v1.10.3; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M062,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,gc,defer,Phase 1,Primary ownership remains v1.10.4; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M063,Classify test-only scanner findings,triaged,S3,gc,defer,Phase 1,Primary ownership remains v1.10.4; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M064,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,recovery,defer,Phase 1,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M065,Classify test-only scanner findings,triaged,S3,recovery,defer,Phase 1,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M066,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,restore,defer,Phase 1,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M067,Classify test-only scanner findings,triaged,S3,restore,defer,Phase 1,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M069,Classify test-only scanner findings,triaged,S3,benchmark,defer,Phase 1,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M070,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,codacy,defer,Phase 3,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M071,Classify test-only scanner findings,triaged,S3,codacy,defer,Phase 1,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M074,Classify documentation style findings,triaged,S4,filesystem,exclude,Phase 1,Documentation/test-only classification work; not a v1.10.2 implementation-phase hardening invariant.,,
CK-110-M076,Classify documentation style findings,triaged,S4,codacy,defer,Phase 1,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M077,Review benchmark backlog correctness gaps,triaged,S3,benchmark,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M079,Review removal and maintenance backlog behavior gaps,triaged,S3,gc,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M080,Review unclassified external backlog behavior gaps,triaged,S3,tooling,defer,Phase 8,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M081,Review packed-storage parity and reachability gaps,triaged,S3,packed-storage,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M082,Review restore and recovery backlog behavior gaps,triaged,S3,restore,defer,Phase 4,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M083,Review script and tooling backlog behavior gaps,triaged,S3,tooling,include,Phase 6,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Temporary/rename/cleanup workflows must avoid unsafe path reuse and destructive boundary violations.,Scope-split: source release_target=backlog; v1.10.2 includes only validation/security hardening subset.
CK-110-M084,Review snapshot behavior parity gaps,triaged,S3,snapshot,defer,Phase 8,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M085,Review verify and inspect behavior gaps,triaged,S3,verify,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M087,Reject restore mode-specific flags outside valid mode,triaged,S1,restore,defer,Phase 3,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
