ck_id,matrix_id,title,source,source_file,source_line,status,severity,domain,decision,phase_owner,notes
CK-110-0022,CK-110-M069,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,internal/benchmark/determinism_test.go,42,triaged,S3,benchmark,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0023,CK-110-M057,The application dynamically constructs file or path information.,codacy,internal/iodebug/counters_test.go,68,triaged,S3,filesystem,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0024,CK-110-M068,Method TestStandardCorpora has a cyclomatic complexity of 21 (limit is 8),codacy,internal/benchmark/corpus_test.go,12,triaged,S3,benchmark,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0025,CK-110-M063,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,tests/adversarial/g4_non_destructive_gc_adversarial_test.go,206,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0026,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/BENCHMARK_METRICS.md,324,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0027,CK-110-M044,Method initCommand has 96 lines of code (limit is 50),codacy,cmd/coldkeep/init.go,14,triaged,S2,codacy,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0028,CK-110-M059,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/observability/service_test.go,257,triaged,S3,security,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0029,CK-110-M038,File internal/storage/restore.go has 976 non-comment lines of code,codacy,internal/storage/restore.go,1,triaged,S1,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0030,CK-110-M025,Method ListSnapshots has a cyclomatic complexity of 13 (limit is 8),codacy,internal/snapshot/snapshot.go,465,triaged,S2,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0031,CK-110-M060,Method TestStorageBlockReaderCompressedHashMismatchEncryptedBeforeDecompress has a cyclomatic complexity of 10,codacy,internal/storage/storage_block_reader_test.go,600,deferred,S3,packed-storage,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0032,CK-110-M038,Method restoreFileWithDBAndDir has a cyclomatic complexity of 70 (limit is 8),codacy,internal/storage/restore.go,890,triaged,S1,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0033,CK-110-M048,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/db/migrations_test.go,1709,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0034,CK-110-M051,Method TestFeatureGatedCompressionSwitchDoesNotMigrateExistingBlocksStep513 has 69 lines of code (limit is 50),codacy,internal/storage/store_compression_feature_gate_test.go,729,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0035,CK-110-M044,Method inspectLogicalFile has a cyclomatic complexity of 11 (limit is 8),codacy,internal/observability/inspect.go,252,triaged,S2,codacy,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0036,CK-110-M062,Method TestSimulateGCMatchesActualGCDeletion has 91 lines of code (limit is 50),codacy,internal/maintenance/gc_parity_test.go,58,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0037,CK-110-M063,The application was found setting file permissions to overly permissive values.,codacy,internal/maintenance/gc_parity_test.go,80,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0038,CK-110-M021,Do not use `math/rand`. Use `crypto/rand` instead.,codacy,internal/chunk/benchmark/datasets.go,7,triaged,S1,benchmark,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0039,CK-110-M025,Method LoadSnapshotPathsByID has a cyclomatic complexity of 13 (limit is 8),codacy,internal/snapshot/path_resolver.go,79,triaged,S2,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0040,CK-110-M012,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/observability/stats.go,355,triaged,S1,security,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0041,CK-110-M066,Method TestRestoreFileByStoredPathPrefixMode has a cyclomatic complexity of 14 (limit is 8),codacy,internal/storage/restore_test.go,761,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0042,CK-110-M052,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,internal/storage/phase1_compat_matrix_test.go,114,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0043,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/STEP64_METRICS_VALIDATION.md,113,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0044,CK-110-M066,Method TestRestoreFailsOnChunkOrderDiscontinuity has 109 lines of code (limit is 50),codacy,internal/storage/restore_test.go,1532,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0045,CK-110-M057,The application was found setting directory permissions to overly permissive values.,codacy,tests/utils/common.go,944,triaged,S3,filesystem,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0046,CK-110-M018,OS command injection is a critical vulnerability that can lead to a full system compromise as it may allow an ,codacy,internal/benchmark/scenarios.go,449,triaged,S1,benchmark,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0047,CK-110-M026,Method AppendPayload has a cyclomatic complexity of 18 (limit is 8),codacy,internal/container/local_writer.go,114,triaged,S2,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0048,CK-110-M068,Method TestDefaultDatasetsDeterministicAcrossCalls has a cyclomatic complexity of 10 (limit is 8),codacy,internal/chunk/benchmark/benchmark_test.go,84,triaged,S3,benchmark,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0049,CK-110-M019,The application dynamically constructs file or path information.,codacy,internal/benchmark/runner.go,139,triaged,S1,benchmark,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0050,CK-110-M066,Method TestRestoreFailsOnCreateTempFilePermissionDenied has a cyclomatic complexity of 14 (limit is 8),codacy,internal/storage/restore_test.go,1825,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0051,CK-110-M060,Method  has 53 lines of code (limit is 50),codacy,internal/storage/storage_block_reader_test.go,1056,deferred,S3,packed-storage,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0052,CK-110-M062,Method TestStep11PackedOnlyDeadBlockDeletionRunGCAndVerify has 55 lines of code (limit is 50),codacy,internal/maintenance/gc_step11_test.go,154,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0053,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/benchmarking.md,1427,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0054,CK-110-M066,Method  has a cyclomatic complexity of 9 (limit is 8),codacy,tests/adversarial/g1_deterministic_restore_adversarial_test.go,141,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0055,CK-110-M067,The application dynamically constructs file or path information.,codacy,internal/storage/restore_test.go,2225,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0056,CK-110-M058,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard.",codacy,Dockerfile,38,triaged,S3,security,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0057,CK-110-M062,Method TestRunStatsResultEmptyRepository has a cyclomatic complexity of 14 (limit is 8),codacy,internal/maintenance/stats_test.go,215,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0058,CK-110-M009,Insecure dependency golang/stdlib@v1.23.0 (CVE-2026-27139: os: FileInfo can escape from a Root in golang os mo,codacy,go.mod,3,triaged,S1,dependencies,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0059,CK-110-M054,Method TestVerifyRepositorySupportsMixedBlockTypeMatrixInSingleRun has 65 lines of code (limit is 50),codacy,internal/verify/verify_system_test.go,904,triaged,S3,verify,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0060,CK-110-M072,Expected: 2; Actual: 3,codacy,docs/benchmarking.md,652,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0061,CK-110-M051,Method TestGetLogicalFileInfoWithDBFound has a cyclomatic complexity of 11 (limit is 8),codacy,internal/storage/remove_test.go,167,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0062,CK-110-M044,Method enrichStatsWithGraph has a cyclomatic complexity of 13 (limit is 8),codacy,internal/observability/stats.go,218,triaged,S2,codacy,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0063,CK-110-M027,Method verifyLegacyChunkHashes has 107 lines of code (limit is 50),codacy,internal/verify/verify_repository.go,795,triaged,S2,verify,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0064,CK-110-M059,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/observability/service_test.go,36,triaged,S3,security,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0065,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/BENCHMARK_METRICS.md,172,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0066,CK-110-M067,The application was found setting directory permissions to overly permissive values.,codacy,tests/adversarial/g1_step11_restore_determinism_test.go,35,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0067,CK-110-M070,Method TestDeriveFreshSQLiteRepositoryCapabilities has a cyclomatic complexity of 13 (limit is 8),codacy,internal/repository/capabilities/derive_test.go,13,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0068,CK-110-M026,File internal/storage/store.go has 2588 non-comment lines of code,codacy,internal/storage/store.go,1,triaged,S2,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0069,CK-110-M002,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/snapshot/path_resolver.go,228,triaged,S1,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0070,CK-110-M047,Method TestPostgresFreshBootstrapCreatesPhaseOneV8Schema has 172 lines of code (limit is 50),codacy,internal/db/migrations_test.go,1272,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0071,CK-110-M051,Method assertFullCoverage has a cyclomatic complexity of 9 (limit is 8),codacy,internal/chunk/chunker_comparison_test.go,26,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0072,CK-110-M066,Method TestRestoreFailsOnPayloadReadShortRead has 70 lines of code (limit is 50),codacy,internal/storage/restore_test.go,1660,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0073,CK-110-M027,Method checkFileChunkOrdering has a cyclomatic complexity of 12 (limit is 8),codacy,internal/verify/verify_file.go,21,triaged,S2,verify,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0074,CK-110-M059,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/graph/reachability_test.go,412,triaged,S3,security,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0075,CK-110-M062,Method TestReachabilityRootsDocumentation has 76 lines of code (limit is 50),codacy,internal/gc/plan_test.go,795,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0076,CK-110-M057,The application was found setting directory permissions to overly permissive values.,codacy,tests/integration/v18_migration_compatibility_integration_test.go,826,triaged,S3,filesystem,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0077,CK-110-M057,The application was found setting file permissions to overly permissive values.,codacy,tests/adversarial/g8_system_invariants_lifecycle_adversarial_test.go,371,triaged,S3,filesystem,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0078,CK-110-M038,Method pinLogicalFileRestoreChunksWithContext has 108 lines of code (limit is 50),codacy,internal/storage/restore.go,498,triaged,S1,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0079,CK-110-M021,Do not use `math/rand`. Use `crypto/rand` instead.,codacy,internal/benchmark/dataset.go,5,triaged,S1,benchmark,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0080,CK-110-M051,Method TestRepositoryCompressionConfigControlsNewWritesNotReads has a cyclomatic complexity of 28 (limit is 8),codacy,internal/storage/repository_config_test.go,619,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0081,CK-110-M052,Do not use `math/rand`. Use `crypto/rand` instead.,codacy,internal/storage/compression/zstd_test.go,7,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0082,CK-110-M064,Method TestQuarantineOrphanContainersResyncsExistingQuarantineSizeDrift has a cyclomatic complexity of 12 (lim,codacy,internal/recovery/system_recovery_test.go,89,triaged,S3,recovery,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0083,CK-110-M037,Method quarantineOrphanContainers has 103 lines of code (limit is 50),codacy,internal/recovery/system_recovery.go,437,triaged,S1,recovery,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0084,CK-110-M045,"The result of command substitution $(...) or `...`, if unquoted, is split on whitespace or other separators sp",codacy,scripts/smoke.sh,1209,triaged,S1,tooling,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0085,CK-110-M066,Method TestRestoreFileByStoredPathOverrideMode has 104 lines of code (limit is 50),codacy,internal/storage/restore_test.go,878,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0086,CK-110-M054,Method assertDecryptStageVerifyFailure has a cyclomatic complexity of 14 (limit is 8),codacy,internal/verify/verify_corruption_fixtures_test.go,145,triaged,S3,verify,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0087,CK-110-M026,Method claimChunkWithContext has a cyclomatic complexity of 36 (limit is 8),codacy,internal/storage/store.go,1919,triaged,S2,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0088,CK-110-M072,Multiple headings with the same content,codacy,docs/benchmarking.md,472,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0089,CK-110-M047,Method TestLoadSQLiteSchemaCreatesPhaseOneV8FreshBootstrap has a cyclomatic complexity of 27 (limit is 8),codacy,internal/db/migrations_test.go,339,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0090,CK-110-M070,Method TestTraverseVisitsAllNodesOnce has 69 lines of code (limit is 50),codacy,internal/graph/traversal_test.go,63,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0091,CK-110-M026,Method ChunkFile has a cyclomatic complexity of 11 (limit is 8),codacy,internal/chunk/simplecdc/chunker.go,36,triaged,S2,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0092,CK-110-M056,Method TestBackwardCompatMixedChunkerRestoreIntegration has 51 lines of code (limit is 50),codacy,tests/integration/read_path_regression_test.go,265,triaged,S3,filesystem,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0093,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/BENCHMARK_METRICS.md,320,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0094,CK-110-M059,String-formatted SQL query detected.,codacy,tests/adversarial/g6_concurrent_operations_adversarial_test.go,438,triaged,S3,security,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0095,CK-110-M056,Method TestBackwardCompatV15CLIWorkflowIntegration has a cyclomatic complexity of 19 (limit is 8),codacy,tests/integration/read_path_regression_test.go,454,triaged,S3,filesystem,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0096,CK-110-M020,The application was found setting directory permissions to overly permissive values.,codacy,internal/benchmark/dataset.go,34,triaged,S1,benchmark,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0097,CK-110-M009,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-58189: crypto/tls: go crypto/tls ALPN negotiation error co,codacy,go.mod,3,triaged,S1,dependencies,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0098,CK-110-M051,Method TestFeatureGatedCompressionSwitchDoesNotMigrateExistingBlocksStep513 has a cyclomatic complexity of 17 ,codacy,internal/storage/store_compression_feature_gate_test.go,729,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0099,CK-110-M045,Method main has a cyclomatic complexity of 14 (limit is 8),codacy,scripts/validate_regression_thresholds.py,294,triaged,S1,tooling,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0100,CK-110-M070,Method  has a cyclomatic complexity of 25 (limit is 8),codacy,tests/adversarial/g8_system_invariants_lifecycle_adversarial_test.go,227,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0101,CK-110-M050,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,tests/adversarial/g14_g17_snapshot_retention_adversarial_test.go,156,triaged,S3,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0102,CK-110-M051,Method  has 55 lines of code (limit is 50),codacy,internal/storage/store_compression_feature_gate_test.go,464,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0103,CK-110-M009,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-61724: net/textproto: Excessive CPU consumption in Reader.,codacy,go.mod,3,triaged,S1,dependencies,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0104,CK-110-M070,Method TestGetReachableChunksDeduplicatesSharedChunks has a cyclomatic complexity of 11 (limit is 8),codacy,internal/graph/reachability_test.go,230,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0105,CK-110-M063,The application dynamically constructs file or path information.,codacy,internal/maintenance/gc_step11_test.go,500,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0106,CK-110-M066,Method TestPinLogicalFileRestoreChunksReturnsOrderedChunkRows has 63 lines of code (limit is 50),codacy,internal/storage/restore_test.go,144,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0107,CK-110-M052,The application was found setting file permissions to overly permissive values.,codacy,internal/storage/phase1_compat_matrix_test.go,121,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0108,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/STEP64_METRICS_VALIDATION.md,14,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0109,CK-110-M048,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/db/migrations_test.go,1875,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0110,CK-110-M070,Method TestPhase7MixedVerifyAfterUpgradeIntegration has a cyclomatic complexity of 24 (limit is 8),codacy,tests/integration/v18_migration_compatibility_integration_test.go,619,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0111,CK-110-M062,Method TestStep11DryRunPackedReclaimableMatchesActualGC has a cyclomatic complexity of 14 (limit is 8),codacy,internal/maintenance/gc_step11_parity_test.go,17,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0112,CK-110-M009,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-58186: golang.org/net/http: Lack of limit when parsing coo,codacy,go.mod,3,triaged,S1,dependencies,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0113,CK-110-M027,Method VerifyFileStandardWithContainersDir has 102 lines of code (limit is 50),codacy,internal/verify/verify_file.go,118,triaged,S2,verify,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0114,CK-110-M070,Method TestCrossConsistency_InspectBidirectional has a cyclomatic complexity of 13 (limit is 8),codacy,internal/observability/cross_consistency_test.go,72,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0115,CK-110-M066,Method TestRestoreOptionsOverwriteFalseRejectsExistingDestination has a cyclomatic complexity of 14 (limit is ,codacy,internal/storage/restore_test.go,2132,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0116,CK-110-M057,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,tests/utils/common.go,944,triaged,S3,filesystem,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0117,CK-110-M070,Method TestRenderStatsJSONWritesResultPayload has a cyclomatic complexity of 21 (limit is 8),codacy,internal/cli/render/stats_test.go,13,triaged,S3,codacy,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0118,CK-110-M004,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/storage/store.go,2254,triaged,S1,storage,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0119,CK-110-M048,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/db/migrations_test.go,570,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0120,CK-110-M072,Lists should be surrounded by blank lines,codacy,docs/benchmarking.md,1344,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0121,CK-110-M009,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-47906: os/exec: Unexpected paths returned from LookPath in,codacy,go.mod,3,triaged,S1,dependencies,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0122,CK-110-M044,Method inspectLogicalFile has 57 lines of code (limit is 50),codacy,internal/observability/inspect.go,252,triaged,S2,codacy,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
